Category	Question	Answer	Frequency Level
General Information	Does Leonardo Royal Hotel Ibiza Santa Eulalia offer complimentary Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public spaces.	High
General Information	Is the front desk at Leonardo Royal Hotel Ibiza Santa Eulalia staffed 24 hours a day?	Yes, a professionally staffed reception desk is open 24 hours for arrivals and assistance.	High
General Information	What are the official check-in and check-out times at Leonardo Royal Hotel Ibiza Santa Eulalia?	Official check-in begins at 15:00, while check-out is requested by 10:30 in the morning.	High
General Information	Does Leonardo Royal Hotel Ibiza Santa Eulalia have multilingual staff available to assist international guests?	Yes, multilingual team members speak English, Spanish and additional languages to assist international travellers.	Medium
General Information	How many outdoor swimming pools are available at Leonardo Royal Hotel Ibiza Santa Eulalia?	Three outdoor pools are provided, including a main lagoon, a quieter pool and a children’s splash pool with slides.	Medium
General Information	Does Leonardo Royal Hotel Ibiza Santa Eulalia provide accessible rooms and facilities for guests with reduced mobility?	Yes, adapted guestrooms, step-free access and dedicated facilities ensure comfort for guests with reduced mobility.	High
General Information	Is Leonardo Royal Hotel Ibiza Santa Eulalia located directly on the beachfront of Es Canar?	Yes, the property sits directly on Es Canar’s sandy beachfront, offering immediate seaside access.	High
General Information	Does Leonardo Royal Hotel Ibiza Santa Eulalia operate on an all-inclusive basis or offer all-inclusive rate plans?	Yes, all-inclusive packages covering buffet meals, snacks, drinks and activities can be booked.	Medium
General Information	What is the minimum age requirement for check-in at Leonardo Royal Hotel Ibiza Santa Eulalia?	The minimum age for check-in is 18 years when presenting valid identification.	High
General Information	Is a refundable damage deposit required upon arrival at Leonardo Royal Hotel Ibiza Santa Eulalia, and what is the amount?	Yes, a €100 refundable damage deposit is pre-authorised on arrival and released at check-out after inspection.	High
Accommodation & Room Services	Are guest rooms at Leonardo Royal Hotel Ibiza Santa Eulalia equipped with air-conditioning and heating?	Yes, every guestroom features individually controlled air-conditioning and heating for year-round comfort.	High
Accommodation & Room Services	Does Leonardo Royal Hotel Ibiza Santa Eulalia provide in-room tea and coffee making facilities or electric kettles?	Yes, an electric kettle with complimentary tea and coffee supplies is provided in each room.	Medium
Accommodation & Room Services	Is a minibar or small refrigerator included in every room at Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, selected room categories include a small minibar-style refrigerator; availability depends on room type. [VERIFY]	Medium
Accommodation & Room Services	Do rooms at Leonardo Royal Hotel Ibiza Santa Eulalia feature private balconies, and are sea-view rooms available?	Yes, all rooms have a furnished private balcony, and several categories guarantee panoramic sea views.	High
Accommodation & Room Services	Are family rooms or connecting rooms available at Leonardo Royal Hotel Ibiza Santa Eulalia for guests travelling with children?	Yes, spacious family rooms and inter-connecting layouts can be reserved for guests travelling with children.	High
Accommodation & Room Services	Does Leonardo Royal Hotel Ibiza Santa Eulalia supply complimentary toiletries and hairdryers in all bathrooms?	Yes, bathrooms are equipped with premium toiletries and a wall-mounted hairdryer at no extra charge.	High
Accommodation & Room Services	Can extra beds or baby cots be requested for rooms at Leonardo Royal Hotel Ibiza Santa Eulalia?	Baby cots are available on request and must be confirmed in advance; extra beds are not provided.	Medium
Accommodation & Room Services	Is daily housekeeping included in the room rate at Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, a full daily housekeeping service is included in the rate for all accommodations.	High
Accommodation & Room Services	Are USB charging sockets or international power outlets provided in rooms at Leonardo Royal Hotel Ibiza Santa Eulalia?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Does Leonardo Royal Hotel Ibiza Santa Eulalia offer 24-hour room service or in-room dining?	No, 24-hour room service is not offered; dining is available in the restaurants and bars.	Low
Food & Beverage	Does Leonardo Royal Hotel Ibiza Santa Eulalia serve a daily buffet breakfast, and what are the breakfast hours?	Yes, an extensive buffet breakfast is served daily from 07:30 to 10:30 in the main restaurant.	High
Food & Beverage	Are vegetarian, vegan and gluten-free options available at the restaurants of Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, clearly labelled vegetarian, vegan and gluten-free dishes are prepared at every meal service.	High
Food & Beverage	Is lunch and dinner service offered at the main restaurant of Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, buffet lunch is served 13:00–15:00 and dinner 18:30–21:30 each day in the restaurant.	High
Food & Beverage	Does Leonardo Royal Hotel Ibiza Santa Eulalia have multiple on-site bars, including a pool bar and Rosé Bar?	Yes, guests can enjoy several bars, including the pool bar, Blue Café and the chic evening Rosé Bar.	Medium
Food & Beverage	Are refreshing cocktails and show-cooking stations featured at Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, bartenders craft signature cocktails while live show-cooking stations add theatre to the buffet experience.	Medium
Food & Beverage	Does Leonardo Royal Hotel Ibiza Santa Eulalia provide a children’s menu or suitable dining options for younger guests?	Yes, the buffet always includes child-friendly dishes and smaller portions tailored to younger diners.	Medium
Food & Beverage	Is the snack bar at Leonardo Royal Hotel Ibiza Santa Eulalia open throughout the day for light bites?	Yes, the snack bar operates daily from 11:00 to 18:30 offering light bites and refreshments.	Medium
Food & Beverage	Can non-residents access the bars at Leonardo Royal Hotel Ibiza Santa Eulalia?	Currently, bar facilities are primarily reserved for in-house guests and their invited visitors. [VERIFY]	Low
Food & Beverage	Are cold dinners available for late arrivals at Leonardo Royal Hotel Ibiza Santa Eulalia, and how can they be requested?	Yes, pre-plated cold dinners can be arranged for late arrivals when requested before 20:00 on arrival day.	Medium
Food & Beverage	Does Leonardo Royal Hotel Ibiza Santa Eulalia accommodate dairy-free dietary requests?	Yes, dairy-free options are available and additional requests can be accommodated with prior notice to the team.	Medium
Policies & Terms	What is the cancellation policy for reservations at Leonardo Royal Hotel Ibiza Santa Eulalia?	Cancellation conditions depend on the selected rate; flexible rates allow free cancellation within the stated deadline, while non-refundable rates incur full charges.	High
Policies & Terms	Are pets allowed at Leonardo Royal Hotel Ibiza Santa Eulalia?	No, pets are not permitted, although certified service animals are welcome without charge.	High
