Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו בוטיק רחובות מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, חיבור Wi-Fi מהיר וחינמי זמין בכל חדרי המלון והאזורים הציבוריים ללא הגבלת זמן.	High
General Information	האם דלפק הקבלה במלון לאונרדו בוטיק רחובות פועל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24/7 ומעניק סיוע אדיב בכל שעה ביממה.	Medium
General Information	כמה חדרים כוללים במלון לאונרדו בוטיק רחובות?	במלון 116 חדרים וסוויטות מסוגים שונים המעניקים חוויית אירוח אלגנטית.	Medium
General Information	האם מלון לאונרדו בוטיק רחובות נגיש ומציע חדרים מותאמים לאורחים עם מוגבלות?	כן, המלון כולו מונגש וכולל חדרים ייעודיים עם מתקנים מותאמים לנכים.	Medium
General Information	מהן שעות הצ'ק-אין במלון לאונרדו בוטיק רחובות בימי חול?	צ'ק-אין בימים ראשון-שישי מתחיל בשעה 15:00 ונמשך עד שעות הערב.	High
General Information	מהן שעות הצ'ק-אין במלון לאונרדו בוטיק רחובות בשבתות ובחגי ישראל?	בשבתות ובחגי ישראל הכניסה לחדרים אפשרית החל מהשעה 18:00.	High
General Information	מהן שעות הצ'ק-אאוט במלון לאונרדו בוטיק רחובות?	צ'ק-אאוט בימי חול עד 11:00 ובשבתות וחגים עד 16:00 לנוחיות האורחים.	High
General Information	האם טרקלין העסקים של מלון לאונרדו בוטיק רחובות פתוח לאורחים בכל ימות השבוע?	כן, טרקלין העסקים פועל מדי יום בשעות משתנות ומחייב תשלום כניסה סמלי. [VERIFY]	Medium
General Information	האם כל אזורי מלון לאונרדו בוטיק רחובות ממוזגים?	כן, מערכות מיזוג אוויר מרכזיות מקררות ומחממות את כל החדרים והשטחים הציבוריים.	Low
Accommodation & Room Services	אילו סוגי חדרים מציע מלון לאונרדו בוטיק רחובות?	המלון מציע חדרי סופריור, אקזקיוטיב, קלאב, סוויטה, סוויטת ויצמן וחדר נגיש.	High
Accommodation & Room Services	האם בכל חדרי מלון לאונרדו בוטיק רחובות קיימת עמדת עבודה עם אינטרנט מהיר?	כן, בכל חדר קיימת עמדת עבודה מרווחת עם שקעים ואינטרנט אלחוטי מהיר ללא עלות.	Medium
Accommodation & Room Services	האם חדרי מלון לאונרדו בוטיק רחובות כוללים כספת מתאימה למחשב-נייד?	כן, כספת אלקטרונית בגודל מחשב-נייד מותקנת בכל חדר לשמירה מאובטחת.	Medium
Accommodation & Room Services	האם במלון לאונרדו בוטיק רחובות זמינים חדרים מותאמים לאורחים עם מוגבלות?	כן, המלון מחזיק חדרים מונגשים הכוללים מקלחת נגישה, מעברים רחבים וציוד עזר.	Medium
Accommodation & Room Services	האם בחדרי מלון לאונרדו בוטיק רחובות יש מיני-בר או מקרר קטן?	כן, בכל חדר קיים מקרר קטן לשמירת משקאות וחטיפים אישיים. [VERIFY]	Medium
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במלון לאונרדו בוטיק רחובות?	כן, שירות חדרים פעיל ומספק מאכלים ומשקאות לחדר לאורך רוב שעות היום.	Medium
Accommodation & Room Services	האם מלון לאונרדו בוטיק רחובות מספק ערכת Welcome Baby לתינוקות?	כן, ניתן להזמין ללא תוספת תשלום ערכת Welcome Baby הכוללת לול, אמבט ושמיכה.	Low
