Category	Question	Answer	Frequency Level
General Information	Does master Cannon London provide complimentary high-speed Wi-Fi throughout all apartments and public areas?	Yes, complimentary high-speed Wi-Fi is provided in every apartment and common area.	High
General Information	How many serviced apartments are available at master Cannon London?	There are 27 individually designed serviced apartments available for guest stays.	Medium
General Information	Does master Cannon London feature an on-site lobby where guests may relax or meet visitors?	Yes, the property includes a welcoming ground-floor lobby with comfortable seating for guests and visitors.	Medium
General Information	Are self-service laundry facilities available on site at master Cannon London?	Yes, an on-site self-service laundry room is available for guests’ convenience.	High
General Information	Does master Cannon London offer secure lockers or luggage storage for guests’ belongings?	Yes, a dedicated lockers room provides secure short-term storage for luggage and valuables.	Medium
General Information	Is master Cannon London a 100 % smoke-free property?	Yes, the entire building is non-smoking; smoking is prohibited in all areas.	High
General Information	Does master Cannon London provide elevator access to every accommodation floor?	Yes, upper floors are fully accessible by elevator from the ground lobby level.	Medium
General Information	Are the team members at master Cannon London able to assist guests in English and other major languages?	Currently, guest assistance is provided fluently in English; additional language help can be arranged on request. [VERIFY]	Low
Location & Transportation	Where is master Cannon London situated within the City of London?	It is located at 2 Suffolk Lane, EC4R 0AT, between Cannon Street and Bank in the historic financial district.	High
Location & Transportation	How many minutes’ walk is it from master Cannon London to Cannon Street Underground and mainline station?	It is approximately a five-minute walk from the front door to Cannon Street station entrances.	High
Location & Transportation	Which airport is closest to master Cannon London, and what is the approximate travel time by car?	London City Airport, about eight miles away, can generally be reached in 25–30 minutes by car.	High
Location & Transportation	Is on-site parking available for guests staying at master Cannon London?	No, the property does not provide on-site parking facilities for guests.	High
Location & Transportation	What public transport connections are within a five-minute walk of master Cannon London?	Cannon Street rail and Underground, Bank Underground (Central, Northern, DLR, Waterloo & City) and Monument Tube stations are all within a five-minute walk.	Medium
Location & Transportation	How far is master Cannon London from London Bridge on foot?	London Bridge can be reached in roughly five minutes’ walk via King William Street.	Medium
Location & Transportation	What is the walking distance from master Cannon London to St Paul’s Cathedral?	St Paul’s Cathedral is less than 0.6 mile away, around a ten-minute walk.	Medium
Location & Transportation	How far is master Cannon London from the historic Tower of London?	The Tower of London is about 0.7 mile away, roughly a thirteen-minute walk.	Medium
Rooms & Amenities	Do apartments at master Cannon London include fully equipped kitchens with full-size refrigerator, oven and stovetop?	Yes, every apartment features a fully equipped kitchen with full-size refrigerator, oven, stovetop and complete appliances.	High
Rooms & Amenities	Does every apartment at master Cannon London feature a private washer-dryer?	Yes, each unit contains a private washing machine with integrated drying function for guest use. [VERIFY]	High
Rooms & Amenities	Are the apartments at master Cannon London fitted with both air-conditioning and heating?	Yes, individual climate control provides both air-conditioning and efficient heating in all apartments.	High
Rooms & Amenities	Is premium bedding provided in all accommodations at master Cannon London?	Information is currently not available. [VERIFY]	Medium
Rooms & Amenities	Does master Cannon London supply complimentary toiletries and hairdryers in each apartment bathroom?	Yes, complimentary bathroom toiletries and a hairdryer are supplied in every private bathroom.	High
Rooms & Amenities	Are in-room safes available in the apartments at master Cannon London?	Yes, each apartment includes a personal safe deposit box for valuables.	Medium
Rooms & Amenities	Does master Cannon London provide coffee and tea making facilities within every kitchen?	Yes, coffee machines, electric kettles and tea-making facilities are provided in every kitchen.	Medium
Rooms & Amenities	What size flat-screen televisions and cable channels are offered in the apartments at master Cannon London?	Flat-screen smart TVs with satellite and streaming channels are installed; exact screen size is not specified. [VERIFY]	Medium
Rooms & Amenities	Are irons and ironing boards included in the apartments at master Cannon London?	Yes, an iron and full-size ironing board are supplied in every apartment.	Medium
Rooms & Amenities	Are master Cannon London’s apartments sound-proofed to ensure a quiet stay?	Yes, apartments are built with soundproofing to minimise external and internal noise.	Low
Food & Dining	Does master Cannon London provide fully equipped self-catering kitchens so guests can prepare their own meals?	Yes, every apartment includes a self-contained kitchen fully equipped for complete meal preparation.	High
Food & Dining	Are cookware, utensils and tableware supplied in every apartment at master Cannon London?	Yes, a full set of cookware, cooking utensils and dining tableware is provided.	Medium
Food & Dining	Does each apartment at master Cannon London include a separate dining area for in-room meals?	Yes, apartments provide a dedicated dining table or seating area suitable for in-room meals.	Medium
Food & Dining	Are coffee makers or electric kettles available for complimentary hot drinks in the apartments at master Cannon London?	Yes, coffee machines and electric kettles are supplied for complimentary in-room hot beverages.	Medium
Food & Dining	Are full-size refrigerators provided for food storage in the kitchens at master Cannon London?	Yes, full-size refrigerators are fitted in all apartment kitchens for convenient food storage.	Medium
Food & Dining	Is an oven included in the kitchen facilities of all apartments at master Cannon London?	Yes, each kitchen is equipped with a built-in oven for baking and roasting.	Low
Food & Dining	Do the kitchens at master Cannon London feature electric kettles for preparing tea and other beverages?	Yes, electric kettles are standard in every apartment kitchen for quick hot drinks.	Low
Check-in & Check-out	What is the standard check-in time at master Cannon London?	Check-in normally begins at 15:00 (3 p.m.) on the day of arrival.	High
