Category	Question	Answer	Frequency Level
General Information	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide complimentary Wi-Fi throughout the premises?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas. [VERIFY]	High
General Information	Is the reception at Hotel Berlin Potsdamer Platz by Leonardo Hotels staffed 24 hours a day?	Yes, the front-desk team is on duty 24 hours daily to assist arriving or departing guests. [VERIFY]	High
General Information	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer on-site parking and what is the nightly charge?	Yes, limited on-site parking is offered; the current fee is approximately €18 per night. [VERIFY]	High
General Information	Is Hotel Berlin Potsdamer Platz by Leonardo Hotels fully non-smoking?	Yes, all guestrooms and interior public areas are designated non-smoking zones. [VERIFY]	High
General Information	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels have multilingual staff at the front desk?	Yes, reception staff speak German, English and additional languages to assist international guests. [VERIFY]	Medium
General Information	Are family rooms or interconnecting rooms available at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, several rooms can be connected or configured for families upon prior request. [VERIFY]	Medium
General Information	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide accessible facilities for guests with reduced mobility?	Yes, accessible guestrooms and barrier-free public areas are available, including lift access. [VERIFY]	Medium
General Information	How many rooms does Hotel Berlin Potsdamer Platz by Leonardo Hotels feature in total?	The property offers a total of 81 contemporary guestrooms across several categories. [VERIFY]	Low
General Information	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer baggage storage for arriving or departing guests?	Yes, complimentary luggage storage is provided at reception before check-in and after check-out. [VERIFY]	Medium
Accommodation & Room Services	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer air-conditioned guest rooms?	Yes, every room is equipped with individually controlled air conditioning. [VERIFY]	High
Accommodation & Room Services	Are tea and coffee-making facilities provided in every room at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, an electric kettle with complimentary tea and coffee sachets is standard in all rooms. [VERIFY]	Medium
Accommodation & Room Services	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels supply a minibar or small fridge in its guestrooms?	Yes, guestrooms include a small fridge stocked with a selection of drinks. [VERIFY]	High
Accommodation & Room Services	Is an iron and ironing board available in the rooms of Hotel Berlin Potsdamer Platz by Leonardo Hotels or on request?	Ironing facilities are available on request from housekeeping at no extra charge. [VERIFY]	Medium
Accommodation & Room Services	Do bathrooms at Hotel Berlin Potsdamer Platz by Leonardo Hotels include complimentary toiletries and a hairdryer?	Yes, each bathroom provides free toiletries, a hairdryer and spacious walk-in shower. [VERIFY]	High
Accommodation & Room Services	Can guests at Hotel Berlin Potsdamer Platz by Leonardo Hotels request hypoallergenic bedding or extra pillows?	Yes, hypoallergenic bedding and additional pillows can be supplied when requested in advance. [VERIFY]	Low
Accommodation & Room Services	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide daily housekeeping service?	Yes, rooms are cleaned and refreshed daily unless guests choose the eco housekeeping option. [VERIFY]	High
Accommodation & Room Services	Is 24-hour room service available at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, room service is not available around the clock; limited evening service is offered. [VERIFY]	Medium
Accommodation & Room Services	Are rooms at Hotel Berlin Potsdamer Platz by Leonardo Hotels equipped with USB charging sockets or international power outlets?	Currently, standard European outlets are fitted; USB charging ports are not guaranteed. [VERIFY]	Low
Accommodation & Room Services	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer laundry and dry-cleaning services?	Yes, same-day laundry and external dry-cleaning services can be arranged through reception. [VERIFY]	Medium
Food & Beverage	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels serve a daily buffet breakfast?	Yes, a hot and cold buffet breakfast is prepared every morning in the restaurant. [VERIFY]	High
Food & Beverage	What are the breakfast hours at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Breakfast is served Monday–Friday 6:30–10:30 and weekends or holidays 7:00–11:00. [VERIFY]	Medium
Food & Beverage	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels cater for vegetarian and vegan dietary requirements?	Yes, vegetarian and plant-based options are included in the daily buffet selection. [VERIFY]	Medium
Food & Beverage	Are gluten-free options available at the breakfast buffet of Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, gluten-free bread and cereals are available; guests are asked to advise staff in advance. [VERIFY]	Medium
Food & Beverage	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels have an on-site bar?	Yes, a cosy lobby bar serves cocktails, German beers and light snacks each evening. [VERIFY]	High
Food & Beverage	Is the bar at Hotel Berlin Potsdamer Platz by Leonardo Hotels open to non-resident guests?	Yes, walk-in visitors are welcome at the bar subject to space and house rules. [VERIFY]	Low
Food & Beverage	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer room service for late-night snacks and drinks?	Currently, room service is available until 22:00, after which no in-room orders are taken. [VERIFY]	Medium
Food & Beverage	Are children welcome in the bar area at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, children accompanied by an adult are permitted until 21:00 in accordance with local law. [VERIFY]	Low
Food & Beverage	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide lunch or dinner service at its restaurant?	No, the restaurant focuses on breakfast; for other meals guests are directed to nearby eateries. [VERIFY]	Medium
Food & Beverage	Is there a dedicated children’s menu available at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, a specific children’s menu is not offered; however staff can recommend suitable items. [VERIFY]	Low
Policies & Terms	What are the standard check-in and check-out times at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Check-in begins at 15:00 and check-out is required by 12:00 noon. [VERIFY]	High
Policies & Terms	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels allow pets, and is there an additional fee?	Yes, dogs up to 40 kg are welcome at a surcharge of €15 per night, per pet. [VERIFY]	High
Policies & Terms	Is smoking permitted anywhere inside Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, smoking is prohibited inside; designated outdoor smoking areas are provided. [VERIFY]	High
Policies & Terms	What is the cancellation policy for flexible and non-refundable reservations at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Flexible rates may be cancelled free of charge until 18:00 on arrival day; non-refundable bookings are charged immediately and cannot be changed or refunded. [VERIFY]	High
Policies & Terms	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels require a security deposit at check-in, and can it be paid by credit card?	A credit-card guarantee is taken for incidentals; no cash deposit is normally required. [VERIFY]	Medium
Policies & Terms	What is the minimum age requirement for check-in at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Guests must be at least 18 years old to register and occupy a room. [VERIFY]	Medium
Policies & Terms	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer express check-in and express check-out services?	Yes, express procedures are available; guests provide details in advance to shorten formalities. [VERIFY]	Medium
Policies & Terms	Can guests arrange early check-in or late check-out at Hotel Berlin Potsdamer Platz by Leonardo Hotels, and are additional fees applied?	Yes, subject to availability early arrival or late departure can be arranged for an extra charge. [VERIFY]	Medium
Policies & Terms	Under what conditions does Hotel Berlin Potsdamer Platz by Leonardo Hotels accept group bookings?	Groups of 10 rooms or more require prior written agreement and may be subject to different payment and cancellation terms. [VERIFY]	Low
Location & Transportation	How far is Hotel Berlin Potsdamer Platz by Leonardo Hotels from Potsdamer Platz square?	The hotel is roughly 900 metres, a 10-minute walk, south of Potsdamer Platz. [VERIFY]	High
Location & Transportation	Which U-Bahn or S-Bahn station is closest to Hotel Berlin Potsdamer Platz by Leonardo Hotels?	The closest station is U-Bahn Möckernbrücke (U1/U7), located about 350 metres away. [VERIFY]	High
Location & Transportation	What is the approximate travel time from Berlin Brandenburg Airport (BER) to Hotel Berlin Potsdamer Platz by Leonardo Hotels by taxi or public transport?	The journey takes around 35 minutes by taxi or 45–50 minutes on public transport. [VERIFY]	Medium
Location & Transportation	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels arrange an airport shuttle service?	No, the property does not run its own shuttle, but can book private transfers on request. [VERIFY]	Medium
Location & Transportation	Are major attractions such as the Brandenburg Gate within walking distance of Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, Brandenburg Gate can be reached on foot in about 25 minutes via Tiergarten. [VERIFY]	Medium
Location & Transportation	Can guests rent bicycles through Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, a limited number of rental bicycles can be arranged at reception for a daily fee. [VERIFY]	Medium
Location & Transportation	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide on-site car-hire or can the concierge arrange taxis?	Taxis can be ordered at any time through reception; car-hire partners are also available. [VERIFY]	Medium
Location & Transportation	Is the Berlin Hauptbahnhof main railway station easily reachable from Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Yes, Berlin Hauptbahnhof is about 3 km away and reachable in 10 minutes by S-Bahn. [VERIFY]	Medium
Location & Transportation	How far is Hotel Berlin Potsdamer Platz by Leonardo Hotels from the Berlin Messe ICC exhibition grounds?	The ICC is approximately 8 km west; travel time is 20–25 minutes by car or S-Bahn. [VERIFY]	Low
Location & Transportation	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels offer secure parking for motorcycles or bicycles?	Yes, the underground garage includes marked, covered spaces suitable for bikes and motorcycles. [VERIFY]	Low
Activities & Entertainment	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels feature an on-site fitness room?	No, the hotel does not have a gym, but reception can recommend nearby fitness centres. [VERIFY]	Medium
Activities & Entertainment	Is there a sauna or wellness area available for guests at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, a sauna or wellness area is not provided at this property. [VERIFY]	Low
Activities & Entertainment	Are spa treatments or massages offered at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, spa or massage services are not offered on-site. [VERIFY]	Low
Activities & Entertainment	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels have a rooftop terrace with city views?	No, the building does not include a rooftop terrace accessible to guests. [VERIFY]	Low
Activities & Entertainment	Can the concierge at Hotel Berlin Potsdamer Platz by Leonardo Hotels arrange guided city tours or theatre tickets?	Yes, reception is happy to book city tours, concert tickets and restaurant reservations. [VERIFY]	Medium
Activities & Entertainment	Are there any live music evenings or special events regularly held at the bar of Hotel Berlin Potsdamer Platz by Leonardo Hotels?	Currently, no regular live music programme is scheduled at the bar. [VERIFY]	Low
Activities & Entertainment	Is there an indoor or outdoor pool at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	No, the hotel does not feature a swimming pool. [VERIFY]	Low
Activities & Entertainment	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels provide complimentary access to nearby fitness clubs?	No, complimentary external gym access is not included; day passes may be purchased locally. [VERIFY]	Low
Activities & Entertainment	Are children permitted to use the wellness facilities at Hotel Berlin Potsdamer Platz by Leonardo Hotels?	The property has no wellness facilities, so no child access policy is required. [VERIFY]	Low
Activities & Entertainment	Does Hotel Berlin Potsdamer Platz by Leonardo Hotels have a games room or children’s play area?	No, there is no dedicated games room or play area on-site. [VERIFY]	Low
