Category	Question	Answer	Frequency Level
General Information	Does Nordoy Hotel offer complimentary high-speed Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is available in all guest rooms and public areas.	High
General Information	Is the front desk at Nordoy Hotel staffed 24 hours a day for late-night arrivals and assistance?	Yes, the reception desk operates 24 hours a day, ensuring seamless late-night check-in and assistance.	High
General Information	Does Nordoy Hotel occupy a restored 1920s heritage building, and does the hotel preserve original architectural features?	Yes, the property occupies a lovingly restored 1925 landmark that retains its historic dome, balconies, and Bauhaus-era architectural details.	Low
General Information	Does Nordoy Hotel provide multilingual staff assistance for international guests?	Yes, multilingual team members speak several languages—such as English, Hebrew, French, Russian, Spanish, and more—to assist international guests with ease.	Medium
General Information	Is an elevator available to all guest-room floors at Nordoy Hotel?	Yes, a guest elevator services all accommodation levels for convenient access to every floor.	Medium
General Information	Does Nordoy Hotel offer concierge and tour-ticket services for city experiences?	Yes, dedicated concierge staff arrange restaurant reservations, tours, tickets, and tailored Tel Aviv experiences upon request.	Medium
General Information	Is Nordoy Hotel an entirely smoke-free property?	Yes, all indoor areas and guest rooms are strictly non-smoking, ensuring a smoke-free environment.	Medium
General Information	Does Nordoy Hotel provide on-site conference or meeting space for small events?	Yes, an intimate conference space is available and may be reserved for small meetings or private gatherings.	Low
General Information	Are daily newspapers available in the lobby of Nordoy Hotel?	Yes, complimentary daily newspapers are provided in the lobby for guests’ convenience.	Low
Accommodation & Room Services	Are guest rooms at Nordoy Hotel equipped with an espresso coffee maker and a fully stocked minibar?	Yes, every room includes an in-room espresso machine, complimentary bottled water, and a stocked minibar.	High
Accommodation & Room Services	Does Nordoy Hotel offer hypoallergenic bedding or pillow options upon request?	Yes, hypo-allergenic bedding is available; guests may request it before or during their stay.	Medium
Accommodation & Room Services	Can guests reserve a room at Nordoy Hotel that includes a private balcony or terrace?	Yes, several categories—such as Deluxe Room with Balcony and Roof-Top Suite—feature furnished private balconies.	High
Accommodation & Room Services	Are connecting or adjoining rooms available at Nordoy Hotel for families or groups?	Yes, a selection of connecting or adjoining rooms can be confirmed, subject to availability.	Medium
Accommodation & Room Services	Do all bathrooms at Nordoy Hotel feature bathrobes, slippers, and premium toiletries?	Yes, every bathroom provides plush bathrobes, comfortable slippers, and premium toiletries for added comfort.	High
Accommodation & Room Services	Are rainfall showers or deep-soaking bathtubs available in the guest bathrooms at Nordoy Hotel?	Yes, bathrooms are fitted with either a rainfall shower or a deep-soaking bathtub, depending on room type.	High
Accommodation & Room Services	Is daily housekeeping included for every stay at Nordoy Hotel?	Yes, attentive housekeeping is performed daily, keeping rooms immaculate throughout the stay.	High
Accommodation & Room Services	Can guests request an iron and ironing board during their stay at Nordoy Hotel?	Yes, an iron and ironing board are readily available on request through the front desk.	Medium
Accommodation & Room Services	Does Nordoy Hotel provide 24-hour laundry and dry-cleaning services?	Yes, same-day laundry and professional dry-cleaning can be arranged at any hour via reception. [VERIFY]	Medium
Accommodation & Room Services	Are rollaway or extra beds available at Nordoy Hotel, and what is the nightly fee?	Yes, rollaway beds are offered for ILS 40 per night and should be reserved in advance.	High
Food & Beverage	Does Nordoy Hotel serve a daily cooked-to-order breakfast on site?	Yes, a cooked-to-order Israeli breakfast is served daily at Café Nordoy on the ground floor.	High
Food & Beverage	What are the standard breakfast service hours at Nordoy Hotel on weekdays and weekends?	Breakfast is served 08:00–11:00 Monday–Friday and 08:00–12:00 on Saturdays, Sundays, and holidays.	Medium
Food & Beverage	Does Nordoy Hotel accommodate vegetarian, vegan, or gluten-free dietary preferences at breakfast?	Yes, the breakfast menu includes vegetarian, vegan, and gluten-free selections prepared upon request.	Medium
Food & Beverage	Is there an on-site restaurant or café at Nordoy Hotel open for lunch and dinner service?	Yes, Café Nordoy serves seasonal dishes at lunch, dinner, and evening happy-hour sessions.	High
Food & Beverage	Does Nordoy Hotel feature a bar or lounge that offers happy-hour specials?	Yes, the café–bar pours wines and craft cocktails, complemented by happy-hour specials each afternoon.	Medium
Food & Beverage	Is in-room dining or room service available to guests staying at Nordoy Hotel?	No, in-room dining is not currently offered; guests are invited to enjoy meals in the café or nearby eateries.	Medium
Food & Beverage	Does Nordoy Hotel provide a grab-and-go or takeaway breakfast option for early departures?	Information is currently not available. [VERIFY]	Medium
Food & Beverage	Are non-resident visitors welcome to dine at Café Nordoy inside Nordoy Hotel?	Yes, outside guests are warmly welcomed to enjoy meals and drinks at Café Nordoy, subject to seating availability.	Low
Policies & Terms	What is the standard check-in time at Nordoy Hotel, and may guests arrive after midnight?	Check-in begins at 15:00 (18:00 on Saturdays and Jewish holidays) and is accepted until 00:00, with the night staff prepared for late arrivals.	High
Policies & Terms	What is the standard check-out time at Nordoy Hotel, and is late check-out available?	Standard check-out is by 11:00; late departure may be arranged for an additional fee, subject to availability.	High
Policies & Terms	What is the minimum age requirement for check-in at Nordoy Hotel?	The minimum age to register is 18 years.	High
Policies & Terms	What is Nordoy Hotel’s cancellation policy for individual reservations?	Cancellation terms differ by chosen rate plan; flexible rates typically allow free cancellation up to the deadline stated at booking. [VERIFY]	High
Policies & Terms	Does Nordoy Hotel require a credit-card or cash deposit at check-in for incidental charges?	Yes, a valid credit card or cash deposit is collected on arrival to cover incidentals.	Medium
Policies & Terms	Does Nordoy Hotel allow pets, and are additional charges applicable?	No, pets are not permitted; only certified service animals are accepted.	High
