Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Bucharest City Center provide complimentary high-speed Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is available in all guest rooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Bucharest City Center staffed 24 hours a day for check-in, concierge and assistance?	Yes, the reception operates around the clock for check-in, concierge services and any guest assistance.	High
General Information	What are the official check-in (15:00) and check-out (12:00) times at Leonardo Hotel Bucharest City Center?	Check-in officially begins at 15:00 and check-out is required by 12:00 noon.	High
General Information	How many guest rooms does Leonardo Hotel Bucharest City Center offer, and which room categories are available?	The property offers 78 rooms in Comfort Double, Comfort Twin, Deluxe and Junior Suite categories.	Medium
General Information	Does the team at Leonardo Hotel Bucharest City Center speak multiple languages to assist international guests?	Yes, multilingual staff speak Romanian, English and additional languages to assist international travellers.	Medium
General Information	Is Leonardo Hotel Bucharest City Center a 100 % non-smoking hotel?	Yes, the entire hotel is 100 % non-smoking, including all rooms and public spaces.	High
General Information	Does Leonardo Hotel Bucharest City Center feature dedicated meeting and conference facilities on-site?	Yes, fully equipped meeting rooms are available on-site and can host events for up to about 70 participants.	High
General Information	Is there a fitness center available for guests at Leonardo Hotel Bucharest City Center?	Yes, a modern gym is available daily from 08:00 to 22:00 for resident guests.	High
General Information	Does Leonardo Hotel Bucharest City Center hold an eco-certification or sustainability label?	Yes, the property is Green Key certified in recognition of its sustainability practices.	Low
Accommodation & Room Services	Do all rooms at Leonardo Hotel Bucharest City Center have individually controlled air-conditioning and heating?	Yes, every guest room offers individually controlled air-conditioning and heating for personalised climate comfort.	High
Accommodation & Room Services	Are coffee- and tea-making facilities provided in guest rooms at Leonardo Hotel Bucharest City Center?	Yes, each room includes an electric kettle with complimentary coffee and tea supplies.	Medium
Accommodation & Room Services	Does every room at Leonardo Hotel Bucharest City Center include a minibar or small refrigerator?	Yes, all accommodations feature a minibar refrigerator stocked for guest convenience.	High
Accommodation & Room Services	Are complimentary toiletries and a hair-dryer supplied in the bathrooms at Leonardo Hotel Bucharest City Center?	Yes, bathrooms provide complimentary toiletries together with a wall-mounted hair-dryer.	Medium
