Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Nürnberg provide complimentary Wi-Fi throughout the hotel?	Yes, high-speed Wi-Fi is free of charge in all guestrooms and public areas, with no password change during the stay.	High
General Information	Is the reception at Leonardo Hotel Nürnberg staffed 24 hours a day?	Yes, the front desk operates around the clock, so assistance is available 24 hours every day.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Nürnberg?	Check-in is from 15:00, while check-out is required by 12:00 noon on the departure day.	High
General Information	Does Leonardo Hotel Nürnberg have multilingual front-desk staff available?	Yes, reception staff speak at least German and English and can assist international guests comfortably.	Medium
General Information	How many guestrooms are offered at Leonardo Hotel Nürnberg?	The property offers 102 contemporary guestrooms across several categories.	Medium
General Information	Does Leonardo Hotel Nürnberg have on-site parking, and is a reservation required?	Yes, an underground garage is located on site; reservations are not required.	High
General Information	Are meeting and conference facilities available at Leonardo Hotel Nürnberg?	Yes, two naturally lit meeting rooms equipped with modern audiovisual technology can be reserved for small conferences or seminars.	Medium
General Information	Is Leonardo Hotel Nürnberg a fully non-smoking property?	No, all guestrooms are non-smoking, but smoking is allowed in designated outdoor areas.	Medium
General Information	Does Leonardo Hotel Nürnberg provide family-friendly amenities for guests with children?	Yes, baby cots, extra beds for selected room types and family rooms are available on request.	Medium
General Information	Does Leonardo Hotel Nürnberg offer complimentary luggage storage before check-in or after check-out?	Yes, guests may store luggage free of charge at the reception both before arrival and after departure.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Nürnberg feature individual air-conditioning and heating controls?	No, rooms are equipped with central heating and a fan; individual air-conditioning units are not installed. [VERIFY]	High
Accommodation & Room Services	Does Leonardo Hotel Nürnberg provide coffee and tea making facilities in every room?	No, kettles are not standard in every room, but they can be requested from reception subject to availability. [VERIFY]	Medium
Accommodation & Room Services	Are minibars or small refrigerators available in the rooms at Leonardo Hotel Nürnberg?	Yes, each guestroom contains a small refrigerator stocked as a minibar.	Medium
Accommodation & Room Services	Are ironing facilities available in guestrooms at Leonardo Hotel Nürnberg, or on request?	Yes, irons and ironing boards are available free of charge; housekeeping will deliver them to the room on request.	Medium
Accommodation & Room Services	Does every bathroom at Leonardo Hotel Nürnberg include a hairdryer and complimentary toiletries?	Yes, all private bathrooms come with a wall-mounted hairdryer and a selection of complimentary toiletries.	High
Accommodation & Room Services	Can guests request hypoallergenic bedding or extra pillows at Leonardo Hotel Nürnberg?	Yes, extra pillows and allergy-friendly bedding can be supplied on request, subject to availability.	Medium
Accommodation & Room Services	Is daily housekeeping included for rooms at Leonardo Hotel Nürnberg?	Yes, guestrooms are serviced daily, with towel and bin replacement unless sustainability signage is displayed.	High
Accommodation & Room Services	Does Leonardo Hotel Nürnberg offer laundry and dry-cleaning services?	Yes, same-day laundry and dry-cleaning services are available for an additional charge.	Medium
