Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Budapest provide complimentary high-speed Wi-Fi throughout all guest areas?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms, meeting rooms and public spaces.	High
General Information	Does Leonardo Hotel Budapest operate a 24-hour front desk for check-in and guest assistance?	Yes, the reception desk is staffed 24 hours a day for arrivals, departures and guest enquiries at any time.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Budapest?	Check-in officially begins at 3:00 p.m., while check-out is required by 11:00 a.m. on the day of departure.	High
General Information	Does Leonardo Hotel Budapest offer secure on-site parking for guests’ vehicles?	Yes, a secure private underground car park is located on site for registered guests.	High
General Information	What is the current daily parking fee at Leonardo Hotel Budapest?	Currently, self-parking is priced at €17 per vehicle per day.	Medium
General Information	Is Leonardo Hotel Budapest a completely smoke-free property?	Yes, the entire hotel operates as a smoke-free premises, with no smoking permitted inside.	High
General Information	Does Leonardo Hotel Budapest have multilingual team members available at reception?	Yes, front-of-house staff speak multiple languages and will gladly assist international guests.	Medium
General Information	How many dedicated meeting and conference rooms does Leonardo Hotel Budapest provide?	The hotel offers three fully equipped conference rooms for business meetings and events.	Medium
General Information	Does booking direct with Leonardo Hotel Budapest include a price-match guarantee?	Yes, direct bookings made through the official website are covered by the brand’s price-match guarantee.	Low
Accommodation & Room Services	Are guest rooms at Leonardo Hotel Budapest equipped with individual air-conditioning and heating controls?	Yes, every guest room features individually controlled air-conditioning and heating for year-round comfort.	High
Accommodation & Room Services	Does every room at Leonardo Hotel Budapest include a mini-fridge for personal refreshments?	Yes, all accommodation categories come with a personal refrigerator for storing drinks and snacks.	High
Accommodation & Room Services	Does Leonardo Hotel Budapest provide a laptop-size in-room safe in all accommodation categories?	Yes, each room contains a laptop-compatible electronic safe for secure storage of valuables.	High
Accommodation & Room Services	Is daily housekeeping automatically included during a stay at Leonardo Hotel Budapest?	Yes, a full daily housekeeping service is provided to refresh rooms and bathrooms throughout the stay.	High
Accommodation & Room Services	Can guests at Leonardo Hotel Budapest request a crib for infants at no additional cost?	Yes, a baby crib can be delivered to the room on request free of charge, subject to availability.	High
Accommodation & Room Services	Does Leonardo Hotel Budapest supply irons and ironing boards either in-room or on request?	Yes, irons and ironing boards are available; simply contact housekeeping or reception to have one delivered.	Medium
Accommodation & Room Services	Are extra beds available for older children and adults at Leonardo Hotel Budapest, and if so what is the applicable fee?	Yes, an extra bed can be added for guests aged three years and above at €20 per person per night.	Medium
Accommodation & Room Services	Does Leonardo Hotel Budapest offer spacious Junior Suites or family rooms for larger parties?	Yes, Junior Suites and Superior Triple Rooms provide generous space and additional bedding for families or groups.	High
Accommodation & Room Services	Do guest bathrooms at Leonardo Hotel Budapest feature walk-in showers rather than bathtubs?	Most bathrooms feature modern walk-in showers; specific layout requests should be confirmed when booking. [VERIFY]	Low
Food & Beverage	Does Leonardo Hotel Budapest serve a daily international buffet breakfast?	Yes, an extensive international buffet breakfast is prepared every morning in the restaurant.	High
Food & Beverage	Is breakfast at Leonardo Hotel Budapest included in every room rate or available for an additional charge?	Breakfast is included with certain packages; otherwise it can be added for an additional fee per person.	High
Food & Beverage	Does Leonardo Hotel Budapest cater for vegetarian, vegan and gluten-free dietary requirements?	Yes, the kitchen gladly provides vegetarian, vegan and gluten-free options upon request at each meal period.	High
