Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Newcastle offer free Wi-Fi throughout the property?	Yes, free Wi-Fi is available throughout the property, ensuring guests stay connected in all rooms and public areas.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Newcastle?	Check-in starts at 3:00 PM, and check-out is until 12:00 PM. The front desk is happy to assist outside these times if needed.	High
General Information	Does Leonardo Hotel Newcastle provide a 24-hour front desk for guests arriving late?	Yes, the front desk operates 24 hours, allowing guests to arrive late and receive assistance at any time.	High
General Information	Are there family-friendly amenities available at Leonardo Hotel Newcastle?	Yes, there are family-friendly amenities such as spacious rooms and child-friendly dining options for a comfortable stay.	Medium
General Information	Does Leonardo Hotel Newcastle have accessible facilities for guests with reduced mobility?	Yes, accessible rooms and facilities are provided to ensure a comfortable experience for guests with reduced mobility.	Medium
General Information	Is it possible to arrange multilingual staff assistance at Leonardo Hotel Newcastle?	Yes, multilingual assistance can be arranged upon request to accommodate guests from different language backgrounds.	Medium
General Information	Does Leonardo Hotel Newcastle offer on-site parking or nearby parking options?	Yes, on-site parking is available for a fee, and nearby public parking options can also be recommended if necessary.	High
General Information	Does Leonardo Hotel Newcastle have any meeting or conference facilities for corporate events?	Yes, meeting and conference facilities are offered, providing audiovisual equipment and support for corporate gatherings.	Medium
General Information	Is Leonardo Hotel Newcastle part of a larger hotel brand with a loyalty program?	Yes, the property is part of Leonardo Hotels, and loyalty benefits are offered to regular guests.	Low
Accommodation & Room Services	What room types are available at Leonardo Hotel Newcastle?	Guests can choose from standard double, superior, and family rooms, each designed for a comfortable and relaxing stay.	High
Accommodation & Room Services	Are all rooms at Leonardo Hotel Newcastle equipped with tea and coffee-making facilities?	Yes, each room is furnished with tea and coffee-making facilities for guests’ convenience.	High
Accommodation & Room Services	Does Leonardo Hotel Newcastle provide ironing and laundry services on request?	Yes, laundry and ironing services can be arranged through reception to ensure a hassle-free stay.	Medium
Accommodation & Room Services	Are hairdryers and complimentary toiletries included in every room at Leonardo Hotel Newcastle?	Yes, every room includes a hairdryer and complimentary toiletries for added comfort.	High
Accommodation & Room Services	Is there air conditioning or temperature control in the rooms at Leonardo Hotel Newcastle?	Yes, rooms feature individual climate control, allowing guests to set their preferred temperature.	High
Accommodation & Room Services	Does Leonardo Hotel Newcastle offer hypoallergenic bedding or extra pillows upon request?	Yes, hypoallergenic bedding and extra pillows are available upon request to meet guest preferences.	Medium
Accommodation & Room Services	Is 24-hour room service available at Leonardo Hotel Newcastle?	No, 24-hour room service is not available. Limited room service is provided during set hours. [VERIFY]	Medium
Accommodation & Room Services	How can guests at Leonardo Hotel Newcastle request an in-room mini-fridge or minibar?	Guests can contact reception before or during their stay to request a mini-fridge or minibar, subject to availability.	Low
Accommodation & Room Services	Does Leonardo Hotel Newcastle provide USB charging sockets for mobile devices?	Yes, some rooms include USB charging sockets, and the front desk can provide adapters if needed. [VERIFY]	Medium
Food & Beverage	What are the breakfast hours at Leonardo Hotel Newcastle?	Breakfast is typically served from 7:00 AM to 10:00 AM on weekdays and until 11:00 AM on weekends.	High
Food & Beverage	Does Leonardo Hotel Newcastle offer a buffet breakfast with vegetarian or vegan options?	Yes, a buffet breakfast is served daily, featuring vegetarian and vegan selections to suit various dietary needs.	High
Food & Beverage	Are gluten-free meal choices available at Leonardo Hotel Newcastle's restaurant?	Yes, gluten-free meal choices can be prepared upon request, and staff are happy to accommodate dietary requirements.	Medium
Food & Beverage	Is there a rooftop bar at Leonardo Hotel Newcastle, and does it offer city views?	No, there is no rooftop bar available. Guests can enjoy drinks in the ground-floor bar.	Medium
Food & Beverage	Can non-residents visit the bar at Leonardo Hotel Newcastle?	Yes, non-residents are welcome to visit the bar, which offers a relaxed setting for drinks and light bites.	Low
Food & Beverage	Does Leonardo Hotel Newcastle serve late-night snacks or have after-hours room service?	Yes, limited late-night snack options are available, though after-hours room service is restricted. [VERIFY]	Medium
Food & Beverage	Are children allowed in the bar area at Leonardo Hotel Newcastle?	Yes, children are permitted in the bar area if accompanied by an adult, in accordance with local regulations.	Medium
Food & Beverage	Does Leonardo Hotel Newcastle provide special children's menus for lunch and dinner?	Yes, children’s menus are offered for lunch and dinner to cater to younger guests’ tastes.	Low
Food & Beverage	Is afternoon tea service available at Leonardo Hotel Newcastle?	No, afternoon tea service is not currently offered. [VERIFY]	Medium
Policies & Terms	What is the hotel's policy on pets at Leonardo Hotel Newcastle?	Currently, only service animals are permitted on the premises. [VERIFY]	High
Policies & Terms	Does Leonardo Hotel Newcastle have a designated smoking area or a non-smoking policy throughout?	Yes, the property has a no-smoking policy indoors, with a designated outdoor area available for smokers.	Medium
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Hotel Newcastle?	Guests must be at least 18 years old to check in and should present valid identification upon arrival.	High
Policies & Terms	Does Leonardo Hotel Newcastle allow express check-in or check-out for guests in a hurry?	Yes, express check-in and check-out can be arranged, depending on staff availability.	Medium
