קטגוריה	שאלה	Answer	רמת שכיחות  
מידע כללי	האם במלון לאונרדו פלאזה טבריה יש אינטרנט-אלחוטי חינם בכל החדרים והשטחים הציבוריים?	כן, חיבור Wi-Fi מהיר וללא תשלום זמין בכל חדרי המלון והאזורים הציבוריים.	High  
מידע כללי	האם דלפק הקבלה במלון לאונרדו פלאזה טבריה פועל 24 שעות ביממה?	כן, דלפק הקבלה מאויש בכל שעות היממה ומעניק סיוע ושירות רציף לאורחים.	High  
מידע כללי	מהו מספר החדרים הכולל במלון לאונרדו פלאזה טבריה?	במלון 262 חדרים וסוויטות בקטגוריות אירוח מגוונות.	Medium  
מידע כללי	האם מלון לאונרדו פלאזה טבריה מתאים לאירוח משפחות וכולל חדרי משפחה?	כן, מוצעים חדרי משפחה מרווחים ומתקני ילדים ייעודיים המותאמים לאירוח משפחות.	High  
מידע כללי	האם במלון לאונרדו פלאזה טבריה קיימים חדרים ומתקנים נגישים לבעלי מוגבלויות?	כן, קיימים חדרים מונגשים ומתקנים נגישים לרבות מעלון בבריכה וגישה נוחה לספא ולמסעדה.	High  
מידע כללי	האם במלון לאונרדו פלאזה טבריה יש חניה בקרבת מקום, ומהי עלות השירות?	כן, חניה ציבורית סמוכה זמינה בתשלום יומי נפרד בהתאם לתעריף העירוני.	High  
מידע כללי	האם מלון לאונרדו פלאזה טבריה מציע אולמות אירועים ומתקני כנסים?	כן, במלון אולמות אירועים וכנסים המצוידים בטכנולוגיה מודרנית למפגשים עסקיים ופרטיים.	Medium  
מידע כללי	אילו שפות מדברים אנשי הצוות במלון לאונרדו פלאזה טבריה?	אנשי הצוות דוברים עברית, אנגלית, ערבית, רוסית, צרפתית וספרדית לשירות אורחים מכל העולם.	Low  
אירוח ושירותי חדרים	האם כל חדרי מלון לאונרדו פלאזה טבריה מצוידים במיזוג אוויר בשליטה אישית?	כן, בכל חדר מותקן מיזוג אוויר עם שליטה אישית לטמפרטורה נוחה בכל עונות השנה.	High  
אירוח ושירותי חדרים	האם בכל חדרי מלון לאונרדו פלאזה טבריה קיימת ערכת קפה ותֵה?	כן, בכל חדר זמינה ערכת קפה ותה להכנה עצמית לאורך השהייה.	High  
אירוח ושירותי חדרים	האם יש חדרים במלון לאונרדו פלאזה טבריה עם מרפסת ונוף ישיר לכנרת?	כן, ניתן להזמין חדרים עם מרפסת הצופה ישירות אל נופי הכנרת המרהיבים.	High  
אירוח ושירותי חדרים	האם מלון לאונרדו פלאזה טבריה מציע חדרים מחוברים (Connecting) למשפחות?	כן, חדרים מחוברים זמינים להזמנה מראש ומעניקים פרטיות לצד חלל משותף למשפחות.	Medium  
אירוח ושירותי חדרים	האם קיימים במלון לאונרדו פלאזה טבריה חדרים עם ג'קוזי פרטי?	כן, חדרי Executive מסוימים כוללים ג'קוזי פרטי לחוויית אירוח יוקרתית.	Low  
אירוח ושירותי חדרים	האם ניתן להזמין מיטת תינוק או עריסה בחדרי מלון לאונרדו פלאזה טבריה?	כן, מיטת תינוק זמינה בהזמנה מוקדמת ובתוספת תשלום סמלית, בכפוף לזמינות.	High  
אירוח ושירותי חדרים	האם מלון לאונרדו פלאזה טבריה מספק שירות חדרים, ואם כן באילו שעות?	כן, שירות חדרים פעיל מדי יום בין 11:00 ל-21:00 להזמנות אוכל ושתייה לחדר.	High  
אירוח ושירותי חדרים	האם מלון לאונרדו פלאזה טבריה מעניק שירותי כביסה וגיהוץ לאורחיו?	כן, שירותי כביסה וגיהוץ מקצועיים מוצעים באיסוף והחזרה ישירה לחדר האורח.	Medium  
מזון ומשקאות	באילו שעות מוגשת ארוחת הבוקר בסגנון בופה במלון לאונרדו פלאזה טבריה?	ארוחת הבוקר הבופה מוגשת במסעדה מדי יום בין 06:30 ל-10:00.	High  
מזון ומשקאות	האם במסעדה הראשית של מלון לאונרדו פלאזה טבריה מוגשות גם ארוחות צהריים וערב?	כן, המסעדה הראשית מגישה גם ארוחות צהריים וערב במבחר מנות עשיר.	High  
מזון ומשקאות	האם במלון לאונרדו פלאזה טבריה ניתן לקבל מנות ללא גלוטן בהזמנה מראש?	כן, ניתן לקבל מנות ללא גלוטן בהודעה מוקדמת למטבח. [VERIFY]	Medium  
מזון ומשקאות	האם במסעדת מלון לאונרדו פלאזה טבריה קיים תפריט ילדים ייעודי?	כן, מוצע תפריט ילדים ייעודי הכולל מנות המותאמות לטעם הצעירים. [VERIFY]	Medium  
מזון ומשקאות	האם בלובי-בר של מלון לאונרדו פלאזה טבריה ניתן ליהנות מארוחות קלות ומשקאות אלכוהוליים?	כן, בלובי-בר מוגשות ארוחות קלות, קוקטיילים ומשקאות אלכוהוליים לאורך היום.	High  
מזון ומשקאות	האם במלון לאונרדו פלאזה טבריה פועל בר בריכה במהלך עונת הרחצה?	כן, בעונת הרחצה פועל בר-בריכה המציע משקאות קרים וחטיפים לצד כיסאות השיזוף.	High  
מזון ומשקאות	האם מלון לאונרדו פלאזה טבריה מציע גם מנות צמחוניות או טבעוניות?	כן, עומדות לרשות האורחים אפשרויות צמחוניות וטבעוניות לבחירה. [VERIFY]	Medium  
