Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Rotterdam Savoy offer complimentary high-speed Wi-Fi in all areas of the hotel?	Yes, complimentary high-speed Wi-Fi is available in every guestroom and throughout all public areas.	High
General Information	Does Leonardo Hotel Rotterdam Savoy have a 24-hour front-desk team available for guest assistance at any time of day or night?	Yes, the front-desk team is on duty 24 hours a day to assist guests whenever required.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Rotterdam Savoy?	Check-in officially begins at 15:00, while check-out is requested by 12:00 noon on departure day.	High
General Information	How many guestrooms are there at Leonardo Hotel Rotterdam Savoy?	The hotel comprises 95 contemporary guestrooms and suites in total.	Medium
General Information	Is Leonardo Hotel Rotterdam Savoy a fully non-smoking property?	Yes, the entire property is strictly non-smoking, including all rooms and indoor areas.	High
General Information	Is Leonardo Hotel Rotterdam Savoy fully air-conditioned throughout all guestrooms and public areas?	Yes, full climate control ensures all guestrooms and public spaces are comfortably air-conditioned.	Medium
General Information	Does Leonardo Hotel Rotterdam Savoy provide on-site parking and what is the current daily rate?	Yes, public outdoor parking next to the hotel is available at €32.50 per 24-hour period.	High
General Information	Is Leonardo Hotel Rotterdam Savoy certified by the Green Key or another recognised eco-programme?	Yes, the property holds official Green Key environmental certification.	Low
General Information	Do multilingual staff members serve guests at Leonardo Hotel Rotterdam Savoy?	Yes, multilingual staff fluent in Dutch, English, German and other languages are ready to assist.	Medium
Accommodation & Room Services	Do the guestrooms at Leonardo Hotel Rotterdam Savoy include a mini-fridge or refrigerator?	Yes, every guestroom features a refrigerator for guests’ personal refreshments.	Medium
Accommodation & Room Services	Are tea- and coffee-making facilities (such as an electric kettle) provided in every room at Leonardo Hotel Rotterdam Savoy?	Yes, an electric kettle with complimentary tea and coffee is provided in all rooms.	Medium
Accommodation & Room Services	Does Leonardo Hotel Rotterdam Savoy offer a pillow menu for personalised sleeping comfort?	Yes, a dedicated pillow menu allows guests to select their preferred pillow style.	Medium
