Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Krakow City Center provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided throughout all guest rooms and public areas.	High
General Information	Is the front desk at Leonardo Boutique Hotel Krakow City Center staffed 24 hours a day?	Yes, the reception desk operates 24 hours daily, ensuring assistance at any time.	High
General Information	How many guest rooms are available at Leonardo Boutique Hotel Krakow City Center?	There are 60 stylish guest rooms available across six floors.	Medium
General Information	Does Leonardo Boutique Hotel Krakow City Center employ multilingual staff to assist international guests?	Yes, multilingual team members can assist guests in English, German, Polish and more.	Medium
General Information	Is Leonardo Boutique Hotel Krakow City Center a fully non-smoking property?	Yes, the hotel is designated a fully non-smoking property, including all rooms.	Medium
General Information	Are meeting and conference facilities available at Leonardo Boutique Hotel Krakow City Center?	Yes, a modern meeting room and related conference facilities are available on site.	Medium
General Information	Is the public area of Leonardo Boutique Hotel Krakow City Center air-conditioned year-round?	Yes, all public spaces are fully air-conditioned for year-round comfort.	Medium
General Information	Does Leonardo Boutique Hotel Krakow City Center hold an eco-certification or sustainability label?	Yes, the property holds Green Key eco-certification for its sustainable practices.	Low
Accommodation & Room Services	What categories of guest rooms can be booked at Leonardo Boutique Hotel Krakow City Center?	Cozy Room, Comfort Double or Twin Room, and an elegant Suite are bookable.	High
Accommodation & Room Services	Do rooms at Leonardo Boutique Hotel Krakow City Center include a minibar as standard?	Yes, every guest room is equipped with a stocked minibar for convenience.	High
Accommodation & Room Services	Are tea- and coffee-making facilities provided in every room at Leonardo Boutique Hotel Krakow City Center?	Yes, in-room kettles with complimentary tea and coffee supplies are standard amenities.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Krakow City Center offer connecting rooms for families or small groups?	Yes, a selection of rooms offers connecting doors suitable for families and groups.	Medium
Accommodation & Room Services	Is a laptop-size safe available in guest rooms at Leonardo Boutique Hotel Krakow City Center?	Yes, guest rooms feature a laptop-size electronic safe for secure storage.	Medium
Accommodation & Room Services	Are guest rooms at Leonardo Boutique Hotel Krakow City Center equipped with air-conditioning and sound-insulated windows?	Yes, all accommodation includes individually controlled air-conditioning and sound-insulated windows for quiet stays.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Krakow City Center provide complimentary eco-friendly toiletries in its bathrooms?	Yes, bathrooms provide complimentary eco-friendly toiletries that are replenished for each stay.	Medium
Accommodation & Room Services	Is room service available to guests staying at Leonardo Boutique Hotel Krakow City Center?	Yes, room service is available, allowing meals and drinks to be delivered privately.	Medium
Accommodation & Room Services	Can guests request professional laundry and ironing services at Leonardo Boutique Hotel Krakow City Center?	Yes, professional laundry and express ironing services can be arranged through housekeeping.	Medium
Accommodation & Room Services	Do bathrooms at Leonardo Boutique Hotel Krakow City Center feature rain showers and heated floors?	Yes, bathrooms feature illuminated rain showers and under-floor heating for extra comfort.	Low
