Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Limassol provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all rooms and public areas.	High
General Information	What are the official check-in and check-out times at NYX Hotel Limassol?	Check-in is from 15:00 while check-out is required by 12:00 noon.	High
General Information	Is the front desk at NYX Hotel Limassol staffed 24 hours a day?	Yes, the reception desk operates 24 hours a day for arrivals and assistance.	High
General Information	How many guest rooms are available at NYX Hotel Limassol?	The property offers 189 contemporary guest rooms and spacious designer suites.	Medium
General Information	Does NYX Hotel Limassol offer multilingual staff assistance at reception?	Yes, reception staff speak English, Greek, German, Bulgarian, Romanian and Russian.	Medium
General Information	Is NYX Hotel Limassol a fully non-smoking property?	Yes, all interiors are smoke-free with a designated outdoor smoking area only.	Medium
General Information	Are accessible facilities available for guests with reduced mobility at NYX Hotel Limassol?	Yes, lifts, adapted pathways and wheelchair-accessible public areas accommodate reduced-mobility guests.	Medium
General Information	Does NYX Hotel Limassol provide on-site or nearby parking, and what are the applicable charges?	No on-site parking; nearby public car parks are available at a daily surcharge.	Medium
General Information	Does NYX Hotel Limassol feature an executive business lounge for qualifying guests?	Yes, eligible room categories include access to the stylish executive lounge on site.	Medium
General Information	Are meeting and conference rooms available to hire at NYX Hotel Limassol?	Yes, four adaptable meeting rooms are available to hire for events and conferences.	Medium
Accommodation & Room Services	Do guest rooms at NYX Hotel Limassol include a minibar and Nespresso coffee machine as standard amenities?	Yes, every room provides a stocked minibar and an in-room Nespresso-style espresso machine.	Medium
Accommodation & Room Services	Are remote-controlled blackout curtains installed in all rooms at NYX Hotel Limassol?	Yes, blackout drapes are provided; some categories feature remote control operation. [VERIFY]	Low
Accommodation & Room Services	Can NYX Hotel Limassol provide hypoallergenic bedding on request?	Yes, hypo-allergenic bedding can be supplied on request at no extra charge.	Low
Accommodation & Room Services	Is daily housekeeping included for every room at NYX Hotel Limassol?	Yes, professional housekeeping services refresh every guest room on a daily basis.	Medium
Accommodation & Room Services	Are laptop-sized safes available in all rooms at NYX Hotel Limassol?	Yes, all rooms contain a laptop-compatible in-room safe for secure storage.	Medium
Accommodation & Room Services	Do rooms at NYX Hotel Limassol feature floor-to-ceiling windows with sea or city views?	Yes, guestrooms showcase large floor-to-ceiling windows affording vibrant sea or city panoramas.	Medium
Accommodation & Room Services	Is individually controlled air-conditioning provided in every room at NYX Hotel Limassol?	Yes, each room features its own individually adjustable air-conditioning system.	Medium
Accommodation & Room Services	Are designer toiletries supplied in the marble en-suite bathrooms at NYX Hotel Limassol?	Yes, bathrooms are finished with designer bath amenities and rainfall showers.	Low
Accommodation & Room Services	Does NYX Hotel Limassol offer adapters or USB chargers for international travellers?	Yes, electrical adapters and USB charging options are included within the guest-room amenities.	Low
Accommodation & Room Services	Is a laundry and dry-cleaning service available for guests staying at NYX Hotel Limassol?	Yes, same-day laundry, dry-cleaning and pressing services are available for an additional fee.	Medium
Food & Beverage	What are the daily buffet-breakfast hours at NYX Hotel Limassol?	Buffet breakfast is served 07:00–10:00 on weekdays and 07:00–10:30 at weekends.	High
Food & Beverage	Does NYX Hotel Limassol cater for vegetarian and vegan dietary requirements?	Yes, chefs prepare dedicated vegetarian and vegan dishes across all restaurants and buffets.	High
Food & Beverage	Are gluten-free breakfast options available at NYX Hotel Limassol?	Yes, gluten-free selections form part of the daily breakfast spread upon request.	High
Food & Beverage	How many dining venues does NYX Hotel Limassol offer, and which cuisines are served?	The hotel houses six venues offering Mediterranean, Asian, Japanese, Chinese and international cuisine.	High
Food & Beverage	Does NYX Hotel Limassol have a rooftop bar with panoramic sea views?	Yes, Ethers Roof Bar crowns the building, serving cocktails with sweeping Mediterranean vistas.	High
Food & Beverage	What are the operating hours of the rooftop bar at NYX Hotel Limassol?	The rooftop bar operates from 10:30 in the morning until 01:00 the following day.	Medium
Food & Beverage	Is a poolside snack menu available at NYX Hotel Limassol’s rooftop pool?	Yes, a dedicated pool snack menu is available on the rooftop between 11:00 and 18:30.	Low
Food & Beverage	Does NYX Hotel Limassol provide children’s high chairs or special menus in its restaurants?	Yes, high chairs and child-friendly menu items are provided in the hotel’s restaurants.	Low
Policies & Terms	What is the standard cancellation policy for reservations at NYX Hotel Limassol?	Flexible rates permit free cancellation until the specific deadline shown during booking.	High
Policies & Terms	Does NYX Hotel Limassol accept pets, and what fees or size limits apply?	Yes, one dog up to 8 kg is accepted for €30 per day.	High
Policies & Terms	Does NYX Hotel Limassol offer complimentary luggage storage before check-in or after check-out?	Yes, luggage may be stored free of charge before check-in or after check-out.	Medium
Policies & Terms	Is a valid photo ID and credit card required at check-in for NYX Hotel Limassol?	Yes, a valid government photo ID and credit card are requested at check-in.	Medium
Policies & Terms	Are children of all ages welcome to stay at NYX Hotel Limassol?	Yes, the hotel welcomes guests of every age, including infants and children.	Medium
Policies & Terms	Are baby cribs available on request at NYX Hotel Limassol, and is there any charge?	Yes, baby cribs are provided on request for infants aged 0–1 at no cost.	Low
Policies & Terms	What minimum age applies for solo check-in at NYX Hotel Limassol?	A minimum age of 18 years applies for guests checking in alone.	Low
Policies & Terms	Do different terms apply when booking more than five rooms at NYX Hotel Limassol?	Yes, group bookings of six or more rooms are subject to special terms and fees.	Low
Location & Transportation	Where exactly is NYX Hotel Limassol situated within Limassol’s Old Town district?	The property stands at the corner of Anexartisias and Christodoulou Hadjipavlou streets, right in Old Town.	High
Location & Transportation	Is NYX Hotel Limassol within walking distance of the Molos Seaside Promenade?	Yes, Molos Seaside Promenade is reachable on foot in approximately five minutes.	High
Location & Transportation	What is the nearest bus stop to NYX Hotel Limassol, and how far away is it?	The Anexartisias bus stop on Christodoulou Hadjipavlou Street lies roughly 150 metres away. [VERIFY]	Low
Location & Transportation	How far is NYX Hotel Limassol from Larnaca International Airport, and what is the typical travel time?	Larnaca International Airport is about 67 km away; the drive takes around 50 minutes.	Medium
Location & Transportation	Does NYX Hotel Limassol arrange private airport-shuttle transfers for guests?	Yes, the concierge can organise private airport transfers at an additional cost.	High
Location & Transportation	Does NYX Hotel Limassol organise taxi services or car-hire assistance through its concierge desk?	Yes, concierge staff gladly order taxis and coordinate reputable car-rental arrangements.	Medium
Location & Transportation	Is secure self-parking or valet parking available near NYX Hotel Limassol?	Secure self-parking is available in nearby public garages within two minutes’ walk for a daily fee.	Medium
Location & Transportation	Is NYX Hotel Limassol within easy walking distance of Limassol Marina and the Medieval Castle?	Yes, Limassol Marina and the Medieval Castle can be reached on foot in under ten minutes.	High
Activities & Entertainment	Does NYX Hotel Limassol feature a rooftop swimming pool, and is it open all year round?	Yes, the rooftop infinity pool is heated and remains open all year.	High
Activities & Entertainment	Are children permitted to use the rooftop pool at NYX Hotel Limassol?	Yes, children may use the rooftop pool when supervised by an adult.	Low
Activities & Entertainment	Does NYX Hotel Limassol offer spa treatments at the in-house Aegeo Spa?	Yes, Aegeo Spa offers a full menu of massages, body rituals and treatments.	High
Activities & Entertainment	Are sauna and steam-room facilities available at NYX Hotel Limassol?	Yes, guests have access to both a sauna and a dedicated steam room.	High
