Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel IJmuiden Seaport Beach provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is provided in all guest rooms and public areas.	High
General Information	Is the reception at Leonardo Hotel IJmuiden Seaport Beach staffed 24 hours a day?	Yes, the front desk is manned around the clock for check-in, check-out and concierge assistance.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel IJmuiden Seaport Beach?	Check-in officially begins at 3:00 pm, while check-out is requested by 12:00 noon.	High
General Information	How many rooms and suites are available at Leonardo Hotel IJmuiden Seaport Beach?	The hotel comprises 146 contemporary guest rooms and suites in total.	Medium
General Information	Does Leonardo Hotel IJmuiden Seaport Beach offer multilingual guest-service staff?	Yes, guest services are delivered by multilingual staff fluent in several major languages.	Medium
General Information	Is Leonardo Hotel IJmuiden Seaport Beach a completely non-smoking hotel?	Yes, all interior areas and accommodations are strictly non-smoking.	Medium
General Information	Does Leonardo Hotel IJmuiden Seaport Beach hold a Green Key sustainability certification?	Yes, the property is certified under the Green Key eco-programme for sustainable operations.	Low
General Information	Are meeting and conference facilities available at Leonardo Hotel IJmuiden Seaport Beach, and how many meeting rooms are on site?	Yes, the hotel offers 14 fully equipped meeting and conference rooms of varying sizes.	Medium
General Information	Does Leonardo Hotel IJmuiden Seaport Beach provide on-site electric-vehicle charging stations?	Yes, four 22-kW electric-vehicle charging points are available in the hotel car park.	Low
Accommodation & Room Services	Which categories of guest rooms and suites can be booked at Leonardo Hotel IJmuiden Seaport Beach?	Categories include Twin Room, Deluxe Room, Deluxe Twin Renovated, Deluxe Double Renovated, Family Room, Suite and Wellness Suite.	High
Accommodation & Room Services	Do most rooms at Leonardo Hotel IJmuiden Seaport Beach feature a private balcony with marina or lake views?	Yes, the majority of accommodations include a private balcony overlooking the marina or Kennemermeer lake.	Medium
Accommodation & Room Services	Are family rooms available at Leonardo Hotel IJmuiden Seaport Beach?	Yes, spacious Family Rooms can be reserved for guests travelling with children.	High
Accommodation & Room Services	Do the rooms at Leonardo Hotel IJmuiden Seaport Beach include tea- and coffee-making facilities?	Yes, every room offers an electric kettle with complimentary tea and coffee supplies.	Medium
Accommodation & Room Services	Is a minibar or small refrigerator provided in every guest room at Leonardo Hotel IJmuiden Seaport Beach?	Yes, each accommodation contains a minibar / compact refrigerator stocked for guest convenience.	Medium
Accommodation & Room Services	Is air-conditioning available in all accommodations at Leonardo Hotel IJmuiden Seaport Beach?	Yes, individually controlled air-conditioning is installed in all rooms and suites.	Medium
