Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Mallorca Port Portals operate exclusively as an adults-only property?	Yes, the property is designated adults-only, welcoming guests aged 18 and above.	High
General Information	How many guestrooms and suites are available at Leonardo Boutique Hotel Mallorca Port Portals?	There are 77 contemporary guestrooms and suites distributed across eight floors.	Medium
General Information	Does Leonardo Boutique Hotel Mallorca Port Portals provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, unlimited high-speed Wi-Fi is complimentary in all guestrooms and public spaces.	High
General Information	Is the reception desk at Leonardo Boutique Hotel Mallorca Port Portals staffed 24 hours a day?	Yes, a professional front-desk team is present around the clock every day.	Medium
General Information	Does the team at Leonardo Boutique Hotel Mallorca Port Portals speak multiple languages?	Yes, staff communicate fluently in English, Spanish, German and Catalan for guests’ ease.	Low
General Information	Is on-site or nearby parking available for guests staying at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, complimentary outdoor parking is available nearby; spaces are limited and cannot be reserved.	High
General Information	Are meeting and conference facilities offered at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, flexible meeting rooms and a business centre accommodate corporate gatherings and events.	Medium
General Information	Does Leonardo Boutique Hotel Mallorca Port Portals feature an outdoor swimming pool?	Yes, a landscaped outdoor pool is available to guests during the spring-to-autumn season.	High
General Information	Are Balinese daybeds available by the pool at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, oversized Balinese daybeds are positioned around the pool for luxurious relaxation.	Low
General Information	Is the rooftop Sky Bar at Leonardo Boutique Hotel Mallorca Port Portals open to non-resident guests?	Yes, the Sky Bar welcomes external visitors during its opening hours, subject to capacity limits.	Low
Accommodation & Room Services	Are connecting or family rooms available at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, select room categories interconnect to create spacious, family-friendly accommodation options.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel Mallorca Port Portals include a private balcony or terrace?	Yes, most rooms provide a furnished balcony or terrace; guests may confirm when reserving.	Low
Accommodation & Room Services	Are coffee and tea-making facilities provided in every room at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, each accommodation includes an electric kettle with complimentary coffee and tea supplies.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Mallorca Port Portals supply bathrobes and premium toiletries in all bathrooms?	Yes, plush bathrobes, slippers and high-quality toiletries are placed in every bathroom.	Low
Accommodation & Room Services	Is an in-room minibar or empty mini-fridge available at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, every room contains an empty mini-fridge ready for guests’ personal refreshments.	Low
Accommodation & Room Services	Are satellite television channels offered in all rooms at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, flat-screen televisions deliver a broad selection of international satellite channels.	Medium
Accommodation & Room Services	Is a laptop-compatible safe provided in every accommodation at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, all rooms feature an electronic safe sized to secure a standard laptop.	Medium
Accommodation & Room Services	Can guests request an iron and ironing board at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, an iron and ironing board will be promptly delivered to the room on request.	Medium
Accommodation & Room Services	Are the rooms at Leonardo Boutique Hotel Mallorca Port Portals sound-proofed for additional privacy?	Yes, sound-insulated construction and double glazing help ensure a quiet, restful stay.	Low
Accommodation & Room Services	Does every room at Leonardo Boutique Hotel Mallorca Port Portals feature climate-controlled air-conditioning and heating?	Yes, individually controlled air-conditioning and heating are installed in all accommodation types.	High
Food & Beverage	Does Leonardo Boutique Hotel Mallorca Port Portals serve a daily international buffet breakfast?	Yes, an extensive international buffet breakfast is prepared fresh each morning.	High
Food & Beverage	What are the breakfast service hours at Leonardo Boutique Hotel Mallorca Port Portals?	Breakfast is served daily from 08:00 until 11:00.	Medium
Food & Beverage	Does the restaurant at Leonardo Boutique Hotel Mallorca Port Portals cater for vegetarian, vegan or gluten-free diets?	Yes, the kitchen happily prepares vegetarian, vegan and gluten-free dishes when notified in advance.	Medium
Food & Beverage	Is lunch and dinner service available at the à la carte restaurant of Leonardo Boutique Hotel Mallorca Port Portals?	Dinner is offered nightly from 19:00 to 23:00; light lunches are available poolside and via Grab’n’Go. [VERIFY]	Medium
Food & Beverage	Does Leonardo Boutique Hotel Mallorca Port Portals offer poolside bar service during the day?	Yes, the pool bar serves refreshing drinks and snacks daily between 12:00 and 22:00 in high season.	Medium
Food & Beverage	Are the opening days of the rooftop Sky Bar at Leonardo Boutique Hotel Mallorca Port Portals seasonal?	Yes, the Sky Bar operates Friday to Sunday from June through August and remains closed September to May.	Medium
Food & Beverage	Can private events be hosted at the rooftop Sky Bar of Leonardo Boutique Hotel Mallorca Port Portals?	Yes, the rooftop terrace can be reserved for private celebrations, dinners or corporate gatherings.	Low
Food & Beverage	Is room service for food and beverages available at Leonardo Boutique Hotel Mallorca Port Portals?	Yes, room service is offered daily from 08:00 to 23:00 for meals and drinks.	High
Food & Beverage	Does Leonardo Boutique Hotel Mallorca Port Portals provide a grab-and-go snack option throughout the day?	Yes, a convenient Grab’n’Go station supplies packaged snacks, pastries and beverages all day.	Low
Food & Beverage	What are the daily operating hours of the main lobby bar at Leonardo Boutique Hotel Mallorca Port Portals?	The lobby bar is open from 12:00 noon to 22:00 during the April–October season.	Low
Policies & Terms	What are the standard check-in and check-out times at Leonardo Boutique Hotel Mallorca Port Portals?	Check-in begins at 15:00, and check-out is requested by 11:00.	High
Policies & Terms	Does Leonardo Boutique Hotel Mallorca Port Portals allow early check-in or late check-out, subject to availability?	Yes, early arrival or late departure can be arranged for a fee when availability permits. [VERIFY]	Medium
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Boutique Hotel Mallorca Port Portals?	The minimum check-in age is 18 years.	High
Policies & Terms	What is the standard cancellation policy at Leonardo Boutique Hotel Mallorca Port Portals?	Cancellation terms vary by rate; flexible rates can usually be cancelled free of charge up to one or two days before arrival. [VERIFY]	High
