Category	Question	Answer	Frequency Level
General Information	האם מלון בכר האוס מציע אינטרנט-אלחוטי חופשי בכל שטחי המלון?	כן, רשת Wi-Fi מהירה וחינמית פרוסה בכל חדרי המלון, הטרקלין, הספא והאזורים הציבוריים.	High
General Information	האם דלפק הקבלה במלון בכר האוס פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומעניק סיוע מקצועי בכל בקשה.	High
General Information	כמה חדרים כוללים במלון בכר האוס ומהו סגנונם העיצובי הייחודי?	המלון כולל 25 חדרים מעוצבים באקלקטיות יוקרתית, השואבת השראה מהבנייה ההיסטורית של שנות ה-20.	Medium
General Information	האם מלון בכר האוס נגיש לאורחים עם מוגבלויות וכולל חדר מותאם?	כן, המלון כולו נגיש וכולל מעלית וחדר אקזקיוטיב מותאם לכיסא-גלגלים עם מקלחת נגישה.	High
General Information	האם במלון בכר האוס פועל טרקלין עסקים ומהן שעות הפעילות שלו?	כן, טרקלין העסקים פועל מדי יום 12:00-20:00 ומציע גבינות, קרקרים, יינות ושקט לעבודה.	Medium
General Information	האם במלון בכר האוס קיימת מרפסת גג המשקיפה אל קו הרקיע של תל-אביב?	כן, מרפסת הגג הפסטורלית זמינה לאורחים ומספקת תצפית מרהיבה על קו-הרקיע של תל-אביב.	Medium
General Information	האם צוות מלון בכר האוס מעניק שירות קונסיירז' להזמנת מסעדות ואטרקציות?	כן, שירות קונסיירז' אדיב מסייע בהזמנת מסעדות, כרטיסים לאטרקציות, סיורים והסעות מותאמות אישית.	Medium
General Information	האם מלון בכר האוס מחזיק בתעודת כשרות או פועל כמלון שאינו כשר?	לא, המלון פועל ללא תעודת כשרות ועל כן אינו מוגדר כמוסד כשר.	High
Accommodation & Room Services	אילו סוגי חדרים זמינים במלון בכר האוס, כגון חדרים עם מרפסת או חדרי סטודיו?	היצע החדרים כולל Executive, Executive עם מרפסת, Deluxe, Deluxe עם מרפסת, חדר סטודיו וחדר נגיש ייעודי.	Medium
Accommodation & Room Services	האם בחדרי מלון בכר האוס מותקנת מכונת נספרסו עם קפסולות קפה ללא תשלום?	כן, בכל חדר עומדת מכונת נספרסו עם מבחר קפסולות פרימיום ללא תשלום נוסף לאורח.	High
Accommodation & Room Services	האם חדרי מלון בכר האוס מציעים ספריית-סרטים דיגיטלית ומסך IPTV רחב?	כן, מערכת בידור מתקדמת כוללת מסך IPTV רחב וספריית סרטים דיגיטלית לצפייה חופשית בכל חדר.	Medium
Accommodation & Room Services	האם חדרי מלון בכר האוס כוללים עמדת עבודה ייעודית לאורחי עסקים?	כן, כל חדר כולל שולחן עבודה מרווח, תאורה ממוקדת ושקעי חשמל ו-USB נוחים לאורחים עסקיים.	Medium
Accommodation & Room Services	האם ניתן להזמין במלון בכר האוס חדר נגיש עם מתקנים מותאמים לכיסא-גלגלים?	כן, ניתן להזמין מראש חדר נגיש המאובזר בדלתות רחבות, מוטות אחיזה ומקלחת שטוחה ללא מדרגה.	High
Accommodation & Room Services	האם בחדרי מלון בכר האוס קיים מיני-בר לאחסון משקאות קלים?	כרגע, בכל חדר מקרר אישי ריק לאחסון משקאות; מילוי כמיני-בר ניתן להזמנה מראש דרך הקבלה. [VERIFY]	Medium
Accommodation & Room Services	האם חדרי מלון בכר האוס מבודדי-רעש כדי להבטיח שקט בלב העיר?	כן, החדרים מוגדרים כמבודדי-רעש עם חלונות כפולים ליצירת סביבה שקטה בלב האזור ההומה.	Low
