Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel The Lancaster Amsterdam provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided free of charge throughout all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Boutique Hotel The Lancaster Amsterdam staffed 24 hours a day?	Yes, the front desk operates continuously, with courteous hosts available twenty-four hours every day.	High
General Information	How many guestrooms are available at Leonardo Boutique Hotel The Lancaster Amsterdam?	Currently, the hotel offers 122 contemporary, well-appointed guestrooms spread across several room categories.	Medium
General Information	Is Leonardo Boutique Hotel The Lancaster Amsterdam a fully non-smoking property?	Yes, the entire building is designated non-smoking, including all rooms and indoor public spaces.	Medium
General Information	Does Leonardo Boutique Hotel The Lancaster Amsterdam employ multilingual staff at reception?	Yes, multilingual reception hosts converse fluently in Dutch, English, German, French, Spanish and additional languages.	Medium
General Information	Is Leonardo Boutique Hotel The Lancaster Amsterdam certified by Green Key or another sustainability programme?	Yes, the property holds official Green Key eco-certification recognising its sustainable management practices.	Low
General Information	Are elevators and wheelchair-accessible routes available throughout Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, elevators and accessible routes ensure wheelchair users reach guestrooms, lobby, restaurant and other facilities comfortably.	Medium
General Information	Does Leonardo Boutique Hotel The Lancaster Amsterdam offer on-site self-parking and what is the daily charge?	Yes, uncovered self-parking is offered on site at an approximate daily charge of €56 per vehicle.	High
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel The Lancaster Amsterdam include a mini-fridge?	Yes, every guestroom features a convenient mini-fridge for personal refreshments and chilled items.	High
Accommodation & Room Services	Are tea- and coffee-making facilities provided in every room at Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, all rooms provide an electric kettle and coffee machine with complimentary tea and coffee supplies.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel The Lancaster Amsterdam offer hypo-allergenic bedding on request?	Yes, hypo-allergenic duvets and pillows can be requested in advance for sensitive sleepers.	Medium
Accommodation & Room Services	Are complimentary cribs available for infants at Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, sturdy baby cribs are supplied free of charge for infants up to two years.	High
Accommodation & Room Services	Can guests request an iron and ironing board during their stay at Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, irons and ironing boards can be promptly delivered to the room upon request. [VERIFY]	Medium
Accommodation & Room Services	Do rooms at Leonardo Boutique Hotel The Lancaster Amsterdam feature an in-room safe?	Yes, every accommodation includes a secure, laptop-sized in-room safe for valuables.	Medium
Accommodation & Room Services	Is daily housekeeping included for all rooms at Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, daily housekeeping service tidies rooms, refreshes linens and replenishes amenities for all guests.	Medium
Accommodation & Room Services	Are blackout drapes or curtains fitted in rooms at Leonardo Boutique Hotel The Lancaster Amsterdam?	Yes, blackout drapes ensure a restful, dark sleeping environment in every guestroom.	Low
Food & Beverage	Does Leonardo Boutique Hotel The Lancaster Amsterdam serve a daily buffet breakfast?	Yes, a generous hot-and-cold buffet breakfast is prepared and served each morning in the restaurant.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Boutique Hotel The Lancaster Amsterdam?	Currently, breakfast is served 07:00 to 10:30 Monday through Friday. [VERIFY]	High
Food & Beverage	What are the weekend breakfast hours at Leonardo Boutique Hotel The Lancaster Amsterdam?	Currently, breakfast is served 07:00 to 11:00 on Saturdays and Sundays. [VERIFY]	High
Food & Beverage	Is breakfast at Leonardo Boutique Hotel The Lancaster Amsterdam included in the room rate or available for an additional fee?	Breakfast is not automatically included; guests may add it to their stay for an additional daily surcharge.	High
