Category	Question	Answer	Frequency Level
General Information	What are the check-in hours at Hotel Freiburg City Center by Leonardo Hotels?	Check-in at Hotel Freiburg City Center by Leonardo Hotels is available from 15:00 until 24:00.	High
General Information	What is the check-out time at Hotel Freiburg City Center by Leonardo Hotels?	Check-out must be completed between 05:00 and 12:00 on the day of departure.	High
General Information	Does Hotel Freiburg City Center by Leonardo Hotels have a 24-hour front desk?	Yes, the property operates a staffed 24-hour reception desk every day for guest assistance.	High
General Information	Does Hotel Freiburg City Center by Leonardo Hotels provide free Wi-Fi throughout the property?	Yes, Hotel Freiburg City Center by Leonardo Hotels provides complimentary high-speed Wi-Fi throughout all guest areas.	High
General Information	Does Hotel Freiburg City Center by Leonardo Hotels have wheelchair-accessible rooms and facilities?	Yes, at least one fully wheelchair-accessible guest room and step-free public areas are available.	Medium
General Information	How many meeting rooms are available at Hotel Freiburg City Center by Leonardo Hotels?	The hotel features five fully equipped meeting rooms with modern audiovisual support.	Medium
Accommodation & Room Services	How many guest rooms does Hotel Freiburg City Center by Leonardo Hotels have?	Hotel Freiburg City Center by Leonardo Hotels offers 152 contemporary, sound-insulated guest rooms.	Medium
Accommodation & Room Services	Does every room at Hotel Freiburg City Center by Leonardo Hotels include air-conditioning?	Yes, all accommodation categories are individually air-conditioned for comfortable stays in any season.	High
Accommodation & Room Services	Are rooms at Hotel Freiburg City Center by Leonardo Hotels equipped with soundproof windows?	Yes, every room includes soundproof windows to minimise railway and street noise.	Medium
Accommodation & Room Services	Does Hotel Freiburg City Center by Leonardo Hotels provide a personal safe in any room category?	Yes, a laptop-size safe is installed in Deluxe, Executive, and other higher room categories.	Medium
Accommodation & Room Services	Does Hotel Freiburg City Center by Leonardo Hotels offer baby cots on request?	Yes, baby cots can be provided on request free of charge for infants.	Medium
Accommodation & Room Services	Are connecting rooms available at Hotel Freiburg City Center by Leonardo Hotels?	Information is currently not available. [VERIFY]	Medium
Accommodation & Room Services	Does Hotel Freiburg City Center by Leonardo Hotels provide a work desk or work corner in every room?	Yes, each guest room includes a dedicated work corner or desk with a chair.	Medium
Accommodation & Room Services	Does Hotel Freiburg City Center by Leonardo Hotels have Executive rooms with extra space?	Yes, Executive Rooms offer additional living space and upgraded in-room amenities for extra comfort.	Medium
Accommodation & Room Services	Does Hotel Freiburg City Center by Leonardo Hotels offer laundry or dry-cleaning services for guests?	Yes, same-day laundry and dry-cleaning services are available through the reception desk.	Medium
Accommodation & Room Services	How many disabled-friendly rooms does Hotel Freiburg City Center by Leonardo Hotels have?	The hotel has one specially adapted disabled-friendly guest room.	Low
Food & Beverage	Does Hotel Freiburg City Center by Leonardo Hotels serve a daily breakfast buffet?	Yes, Hotel Freiburg City Center by Leonardo Hotels serves a daily buffet breakfast in the restaurant.	High
Food & Beverage	What are the weekday breakfast hours at Hotel Freiburg City Center by Leonardo Hotels?	Breakfast is served Monday to Friday from 06:30 until 10:30.	High
Food & Beverage	What are the weekend breakfast hours at Hotel Freiburg City Center by Leonardo Hotels?	On Saturdays and Sundays, the buffet is open from 06:30 to 11:00.	Medium
Food & Beverage	What is the cost per person for breakfast at Hotel Freiburg City Center by Leonardo Hotels?	The daily buffet costs €21 per adult, payable directly at the restaurant.	Medium
Food & Beverage	Does Hotel Freiburg City Center by Leonardo Hotels have an on-site bar?	Yes, a comfortable lobby bar serves regional beer, wine, and classic cocktails each evening.	Medium
Food & Beverage	Are vegetarian or vegan options available at the breakfast buffet of Hotel Freiburg City Center by Leonardo Hotels?	Yes, the buffet includes vegetarian items and plant-based alternatives such as fruit, cereals, and breads. [VERIFY]	Medium
