Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו קלאב הכל כלול אילת פועל במתכונת „הכול כלול” לכלל האורחים?	כן, המלון פועל במתכונת „הכול כלול פלוס” הכוללת חמש ארוחות, חטיפים ומשקאות אלכוהוליים חופשיים לכל אורח במשך היום.	High
General Information	האם דלפק הקבלה במלון לאונרדו קלאב הכל כלול אילת פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש מסביב לשעון ומעניק שירות מקצועי בכל שעה.	Medium
General Information	האם יש במלון לאונרדו קלאב הכל כלול אילת חיבור Wi-Fi חופשי בכל שטחי המלון?	כן, אינטרנט-Wi-Fi מהיר וחינמי זמין ללא הגבלה בכל החדרים והאזורים הציבוריים.	High
General Information	כמה חדרים כולל מלון לאונרדו קלאב הכל כלול אילת?	המלון מונה 282 חדרי אירוח וסוויטות מעוצבים בסגנון מודרני ומשפחתי.	Low
General Information	האם מלון לאונרדו קלאב הכל כלול אילת מתאים למשפחות עם ילדים בכל הגילאים?	כן, מתקני המים, מועדון הילדים, הארוחות והבידור הופכים אותו לבחירה מושלמת לכל המשפחה.	High
General Information	האם במלון לאונרדו קלאב הכל כלול אילת פועל צוות בידור יומי עם פעילויות לכל המשפחה?	כן, צוות הבידור מקיים מדי יום פעילויות מגוונות ומופעי ערב חווייתיים לכל הגילאים.	High
General Information	האם מלון לאונרדו קלאב הכל כלול אילת כולל מתחמי כנסים ואירועים עד 850 משתתפים?	כן, במתחם הכנסים קיימים אולמות מודולאריים המאובזרים לטכנולוגיה מתקדמת ומסוגלים לארח עד כ-850 משתתפים בנוחות.	Medium
General Information	האם מלון לאונרדו קלאב הכל כלול אילת נגיש לבעלי מוגבלויות וכולל חדרים מותאמים?	כן, המתקנים נגישים ומוצעים חדרים ייעודיים עם אבזור מתאים לאורחים עם מוגבלויות.	Medium
General Information	אילו שפות מדבר צוות מלון לאונרדו קלאב הכל כלול אילת?	צוות המלון דובר עברית, אנגלית, רוסית וערבית ונותן שירות אדיב בשפות אלו.	Low
Accommodation & Room Services	האם כל חדרי מלון לאונרדו קלאב הכל כלול אילת מצוידים במיזוג אוויר נשלט אישי?	כן, בכל חדר מותקן מיזוג אוויר הנשלט אישית להתאמת הטמפרטורה הרצויה.	High
Accommodation & Room Services	האם במלון לאונרדו קלאב הכל כלול אילת ניתן להזמין חדר עם מרפסת ונוף לבריכת המלון?	כן, חדרי “Superior Balcony Pool View” כוללים מרפסת פרטית המשקיפה לבריכה, בהתאם לזמינות בעת ההזמנה.	Medium
Accommodation & Room Services	האם מלון לאונרדו קלאב הכל כלול אילת מציע חדרים נגישים לאורחים עם צרכים מיוחדים?	כן, המלון מחזיק חדרים נגישים הכוללים פתחים רחבים וחדרי רחצה מותאמים לנכים בהזמנה מוקדמת.	High
Accommodation & Room Services	האם בכל חדר במלון לאונרדו קלאב הכל כלול אילת זמינות ערכות קפה ותה ללא תשלום?	כן, ערכות קפה ותה מוצעות בחדרים ללא עלות ומתחדשות מדי יום.	High
Accommodation & Room Services	האם מלון לאונרדו קלאב הכל כלול אילת מספק Wi-Fi מהיר ללא תשלום גם בתוך החדרים?	כן, חיבור-Wi-Fi מהיר וחינמי פועל גם בתוך החדרים ללא חיוב נוסף.	High
Accommodation & Room Services	האם ניתן לקבל מיטת תינוק או עריסה במסגרת חבילת Welcome Baby של מלון לאונרדו קלאב הכל כלול אילת?	כן, חבילת Welcome Baby כוללת אפשרות להזמנת מיטת תינוק, אמבטיה ומחמם בקבוקים ללא תשלום נוסף.	Medium
Accommodation & Room Services	האם מלון לאונרדו קלאב הכל כלול אילת מציע שירותי כביסה וגיהוץ בתשלום?	כן, שירותי כביסה, ניקוי יבש וגיהוץ זמינים בתשלום ואיסוף ישיר מהחדר.	Medium
Accommodation & Room Services	האם קיימות סוויטות משפחתיות במלון לאונרדו קלאב הכל כלול אילת המתאימות לעד שני מבוגרים ושני ילדים?	כן, סוויטות מרווחות עם חדר שינה וסלון מתוכננות לארח שני מבוגרים ושני ילדים בנוחות.	Low
Accommodation & Room Services	האם כל החדרים במלון לאונרדו קלאב הכל כלול אילת כוללים כספת אישית ומיני-בר?	כן, בכל חדר מותקנים כספת אלקטרונית ומיני-בר אישיים לשימוש חופשי.	Medium
Food & Beverage	כמה ארוחות יומיות כלולות במחיר השהייה במלון לאונרדו קלאב הכל כלול אילת?	החבילה כוללת חמש ארוחות ביום: בוקר, צהריים, ערב, נשנושי בריכה ועוגה-קפה אחר-צהריים.	High
Food & Beverage	האם מלון לאונרדו קלאב הכל כלול אילת מגיש משקאות אלכוהוליים ללא הגבלה כחלק מהחבילה?	כן, משקאות אלכוהוליים מקומיים מוגשים ללא הגבלה במסגרת תוכנית הכול כלול פלוס.	High
Food & Beverage	האם מזנון ארוחות הבוקר, הצהריים והערב במלון לאונרדו קלאב הכל כלול אילת מוגש בסגנון בופה?	כן, שלוש הארוחות העיקריות מוגשות כבופה עשיר במבחר מנות טריות וחמות.	High
Food & Beverage	האם במלון לאונרדו קלאב הכל כלול אילת מוגשות מנות כשרות?	כן, כל המאכלים והמשקאות מוכנים בהשגחת כשרות מוסמכת.	Medium
Food & Beverage	האם בלובי-בר של מלון לאונרדו קלאב הכל כלול אילת מוגשים משקאות וחטיפים לאורך היום?	כן, הלובי-בר מגיש משקאות חמים, קלים וחטיפים מתוקים-מלוחים במשך רוב שעות היום.	Medium
Food & Beverage	האם בבריכת מלון לאונרדו קלאב הכל כלול אילת ניתן ליהנות מגלידות וחטיפי קיץ כחלק מהכול כלול?	כן, בר הבריכה מגיש גלידות, שתייה קלה וחטיפי קיץ כחלק מהחבילה.	Medium
Food & Beverage	האם במלון לאונרדו קלאב הכל כלול אילת מוגשת עוגה ושתייה חמה בשעת אחר הצוהריים?	כן, בכל אחר-צהריים בשעה 16:00 מוגשות עוגות טריות וקפה חם.	Low
Food & Beverage	האם מלון לאונרדו קלאב הכל כלול אילת מציע קפה, תה ומיצים חופשי במשך כל היום?	כן, עמדות קפה, תה ומיצים זמינות חופשי לאורחים לאורך כל שעות היממה.	Medium
Policies & Terms	מהן שעות הצ'ק-אין במלון לאונרדו קלאב הכל כלול אילת בימים א'–ו'?	צ'ק-אין בימים ראשון עד שישי מתחיל בשעה 15:00 אחר-הצהריים.	High
Policies & Terms	מהן שעות הצ'ק-אאוט במלון לאונרדו קלאב הכל כלול אילת בשבתות ובחגים יהודיים?	צ'ק-אאוט בשבתות וחגים אפשרי עד השעה 14:00 בצוהריים.	High
Policies & Terms	האם כניסת חיות מחמד מותרת במלון לאונרדו קלאב הכל כלול אילת, למעט כלבי נחייה?	לא, הכנסת חיות מחמד אסורה; רק כלבי נחייה מורשים בהתאם לתקנות הנגישות.	High
Policies & Terms	האם במלון לאונרדו קלאב הכל כלול אילת נדרש תשלום יומי עבור חניה, ואם כן מהו הסכום?	כן, החניה החיצונית כרוכה בתשלום של 20 ₪ ליום, על בסיס מקום פנוי.	High
Policies & Terms	האם ניתן לבצע צ'ק-אין מוקדם או צ'ק-אאוט מאוחר במלון לאונרדו קלאב הכל כלול אילת על-פי זמינות?	כן, ניתן לבקש צ'ק-אין מוקדם או צ'ק-אאוט מאוחר בהתאם לזמינות ובתשלום נוסף. [VERIFY]	Medium
Policies & Terms	האם מלון לאונרדו קלאב הכל כלול אילת מציע שירות בייביסיטר בתוספת תשלום?	כן, שירות בייביסיטר וחדר משחקים פנימי זמינים בתוספת תשלום ומתואמים מראש.	Low
Policies & Terms	האם מלון לאונרדו קלאב הכל כלול אילת גובה תשלום נוסף עבור מיטת תינוק?	כן, עבור מיטת תינוק נגבה תשלום של 55 ₪ ללילה, בכפוף לזמינות.	Medium
Policies & Terms	האם במלון לאונרדו קלאב הכל כלול אילת מתקבלים רק כרטיסי אשראי לתשלום בעת הצ'ק-אין?	Information is currently not available. [VERIFY]	Low
Location & Transportation	מהו משך ההליכה מחוף הים למלון לאונרדו קלאב הכל כלול אילת?	החוף נמצא במרחק כ-1 ק״מ, הליכה נינוחה של כ-10–12 דקות.	High
Location & Transportation	כמה דקות הליכה מפרידות בין מלון לאונרדו קלאב הכל כלול אילת לקניון Ice Mall?	המיקום סמוך לאייס מול, כ-1.2 ק״מ – כ-12 דקות הליכה נעימה.	Medium
Location & Transportation	האם בחניית מלון לאונרדו קלאב הכל כלול אילת נדרשת הזמנה מראש או שהחניה על בסיס מקום פנוי?	החניה פועלת על בסיס מקום פנוי, אין צורך בהזמנה מוקדמת.	Medium
Location & Transportation	האם במלון לאונרדו קלאב הכל כלול אילת קיימת עמדת טעינה לרכבים חשמליים?	מידע על עמדת טעינה לרכב חשמלי טרם פורסם. [VERIFY]	Low
Location & Transportation	מהו שדה התעופה הקרוב ביותר למלון לאונרדו קלאב הכל כלול אילת ומהו זמן הנסיעה המשוער?	נמל התעופה רמון ממוקם כ-21 ק״מ מהמלון, כ-20 דקות נסיעה ברכב פרטי.	Medium
Location & Transportation	האם הטיילת של אילת נמצאת במרחק הליכה ממלון לאונרדו קלאב הכל כלול אילת?	כן, הטיילת ומרינת אילת נמצאות במרחק הליכה קצר ונוח מהמלון.	Medium
Location & Transportation	באיזה מרחק נמצא המצפה התת-ימי ממלון לאונרדו קלאב הכל כלול אילת?	המצפה התת-ימי ממוקם כ-7.8 ק״מ דרומה, כ-10 דקות נסיעה ברכב.	Low
Activities & Entertainment	האם אורחי מלון לאונרדו קלאב הכל כלול אילת נהנים מגישה חופשית לפארק מים עם מגלשות?	כן, הכניסה לפארק המים הפרטי עם המגלשות כלולה במחיר השהייה.	High
Activities & Entertainment	מה גובה המגלשה המרכזית בפארק המים של מלון לאונרדו קלאב הכל כלול אילת?	המגלשה המרכזית מתנשאת לגובה מרשים של כ-12 מטרים מעל פני הבריכה.	Medium
Activities & Entertainment	האם יש בריכת ילדים ייעודית במלון לאונרדו קלאב הכל כלול אילת?	כן, לצד הבריכה הראשית קיימת בריכת פעוטות מוצלת ובטוחה לילדים.	High
Activities & Entertainment	האם במלון לאונרדו קלאב הכל כלול אילת פועל מועדון ילדים עם פעילויות מודרכות?	כן, מועדון הילדים מציע משחקים, יצירה והפעלות מודרכות לאורך היום.	High
Activities & Entertainment	האם מלון לאונרדו קלאב הכל כלול אילת מציע הופעות ערב חיות או מופעים מוסיקליים?	כן, בכל ערב מתקיימים מופעי בידור חיים ומוסיקה לכל המשפחה.	High
Activities & Entertainment	האם במלון לאונרדו קלאב הכל כלול אילת קיים חדר כושר מאובזר לשימוש האורחים?	כן, חדר כושר מודרני עם ציוד אירובי ומשקולות פתוח לאורחים ללא תשלום.	High
Activities & Entertainment	האם מתקיימות סדנאות בישול לילדים במועדון הילדים של מלון לאונרדו קלאב הכל כלול אילת?	כן, בתכנית הפעילות נכללות סדנאות בישול וכיף קולינרי לילדים.	Medium
Activities & Entertainment	האם אורחי מלון לאונרדו קלאב הכל כלול אילת יכולים להזמין טיפולי ספא במקום?	כן, מרכז ספא מציע מגוון עיסויים וטיפולים בתשלום ובהזמנה מראש.	Medium
Activities & Entertainment	האם במלון לאונרדו קלאב הכל כלול אילת יש חדר משחקי וידאו עם קונסולות PlayStation?	כן, חדר המשחקים כולל עמדות וידאו-גיימס עם קונסולות PlayStation לשימוש הילדים.	Low
Activities & Entertainment	האם במלון לאונרדו קלאב הכל כלול אילת נערכות מסיבות DJ בעונת הקיץ?	כן, בעונת הקיץ מתקיימות מדי פעם מסיבות DJ קצביות בבריכה או בלובי.	Low
