Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Amsterdam Leidse Square provide complimentary high-speed Wi-Fi throughout all guestrooms and public areas?	Yes, complimentary high-speed Wi-Fi is available in every guestroom and all public areas.	High
General Information	Is the front desk at Leonardo Hotel Amsterdam Leidse Square staffed 24 hours a day for check-in, concierge and guest assistance?	Yes, a fully staffed front desk operates 24 hours daily for check-in, concierge and guest support.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Amsterdam Leidse Square?	Check-in officially begins at 15:00, and check-out must be completed by 12:00 noon.	High
General Information	How many guestrooms are available at Leonardo Hotel Amsterdam Leidse Square?	The hotel comprises 71 stylishly appointed guestrooms across several room types.	Medium
General Information	Does Leonardo Hotel Amsterdam Leidse Square operate as a cash-free property, accepting card payments only?	Yes, the property is entirely cash-free and accepts payment exclusively by card or digital method.	Medium
General Information	Is Leonardo Hotel Amsterdam Leidse Square completely smoke-free in all rooms and public spaces?	Yes, smoking is prohibited in all guestrooms and interior public areas throughout the hotel.	Medium
General Information	Which languages are spoken by the team members at Leonardo Hotel Amsterdam Leidse Square?	Team members communicate in Dutch, English, German, French, Portuguese, Russian and Arabic.	Medium
General Information	Does Leonardo Hotel Amsterdam Leidse Square hold a recognised sustainability certification such as Green Key?	Yes, the hotel is independently certified by the Green Key sustainability programme.	Low
Accommodation & Room Services	Are all guestrooms at Leonardo Hotel Amsterdam Leidse Square equipped with individual air-conditioning and heating controls?	Yes, every guestroom features individually adjustable air-conditioning and heating controls for personal comfort. [VERIFY]	High
Accommodation & Room Services	Do rooms at Leonardo Hotel Amsterdam Leidse Square feature a flat-screen TV with international satellite channels?	Yes, each room includes a modern flat-screen television offering a selection of international satellite channels.	High
Accommodation & Room Services	Is a personal in-room safe provided in every guestroom at Leonardo Hotel Amsterdam Leidse Square?	Yes, a secure, laptop-compatible safe is installed in every guestroom for valuables.	High
Accommodation & Room Services	Does Leonardo Hotel Amsterdam Leidse Square supply eco-friendly bathroom amenities and toiletries?	Yes, bathrooms are stocked with environmentally friendly toiletries certified for reduced ecological impact.	Medium
