Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Ibiza – Adults Only provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all rooms and public spaces.	High
General Information	Is the front desk at NYX Hotel Ibiza – Adults Only staffed 24 hours a day?	Yes, the reception operates around the clock with staff present 24 hours daily.	High
General Information	What are the official check-in and check-out times at NYX Hotel Ibiza – Adults Only?	Check-in begins at 15:00, while check-out is politely requested by 10:30.	High
General Information	Is NYX Hotel Ibiza – Adults Only strictly an adults-only property, and are guests under 16 permitted?	Yes, it is strictly adults-only; guests younger than 16 years cannot be accommodated.	High
General Information	What is the minimum age required to check in at NYX Hotel Ibiza – Adults Only?	Currently, guests must be at least eighteen years of age to check in.	High
General Information	How many guest rooms are available at NYX Hotel Ibiza – Adults Only?	The hotel houses 209 stylishly designed guest rooms across several distinct room types.	Medium
General Information	Does NYX Hotel Ibiza – Adults Only offer multilingual staff assistance at reception?	Yes, multilingual front-desk agents speak English, Spanish and other major European languages.	Medium
General Information	Are all-inclusive packages available when booking NYX Hotel Ibiza – Adults Only?	Yes, optional all-inclusive plans can be booked, covering buffet meals and select beverages.	Medium
General Information	Does NYX Hotel Ibiza – Adults Only provide complimentary parking or reserved parking nearby for guests?	Yes, complimentary guest parking is available at a designated area immediately adjacent to the property.	Medium
Accommodation & Room Services	Do guest rooms at NYX Hotel Ibiza – Adults Only include individual air-conditioning?	Yes, every accommodation features individually controlled air-conditioning for personalised comfort throughout stay.	High
Accommodation & Room Services	Does every room at NYX Hotel Ibiza – Adults Only provide a minibar?	Yes, an in-room minibar stocked for purchase is provided in all categories.	High
Accommodation & Room Services	Are hairdryers and luxury toiletries supplied in all bathrooms at NYX Hotel Ibiza – Adults Only?	Yes, bathrooms include a hairdryer together with premium complimentary toiletries replenished daily.	High
Accommodation & Room Services	Is high-speed Wi-Fi available inside the rooms at NYX Hotel Ibiza – Adults Only?	Yes, high-speed Wi-Fi reaches all guest rooms without additional charge or limits.	High
Accommodation & Room Services	Does NYX Hotel Ibiza – Adults Only provide daily housekeeping for all accommodation types?	Yes, dedicated housekeeping teams service every room each day, including fresh linens.	High
Accommodation & Room Services	Are in-room safes provided for valuables at NYX Hotel Ibiza – Adults Only?	Yes, a personal electronic safe is fitted in every guest room for valuables.	Medium
Accommodation & Room Services	Can guests reserve sea-view categories at NYX Hotel Ibiza – Adults Only, and how far in advance should they be booked?	Yes, Superior and Deluxe Sea View rooms can be reserved; early booking several months ahead of summer is advisable. [VERIFY]	Medium
Accommodation & Room Services	Do rooms at NYX Hotel Ibiza – Adults Only feature flat-screen satellite televisions?	Yes, all rooms are equipped with flat-screen televisions offering international satellite channels.	Medium
Accommodation & Room Services	Are triple-occupancy rooms available at NYX Hotel Ibiza – Adults Only for small groups?	Yes, Comfort and Sea View categories offer configured triple rooms accommodating three adults.	Low
Food & Beverage	Is breakfast at NYX Hotel Ibiza – Adults Only served buffet style, and what are the daily hours?	Yes, a lavish buffet breakfast is served daily from 07:45 until 10:45.	High
Food & Beverage	What is the price of the breakfast buffet at NYX Hotel Ibiza – Adults Only for guests on room-only rates?	Currently, the breakfast buffet costs €20 per person for guests on room-only rates.	Medium
Food & Beverage	Does NYX Hotel Ibiza – Adults Only operate an on-site restaurant for dinner, and what are its opening times?	Yes, the main restaurant serves dinner nightly between 18:30 and 21:30 hours.	High
Food & Beverage	Does NYX Hotel Ibiza – Adults Only feature a dedicated Sunset Chillout bar, and when is it open?	Yes, the Sunset Chillout terrace bar pours cocktails daily from 19:00 to midnight.	Medium
Food & Beverage	Is there a poolside bar at NYX Hotel Ibiza – Adults Only serving drinks during the day?	Yes, the poolside Clash Bar mixes drinks continuously from 10:30 until 23:30.	Medium
Food & Beverage	Are all beverages included for guests booking an all-inclusive plan at NYX Hotel Ibiza – Adults Only?	Yes, all-inclusive packages cover buffet meals, snacks and a selection of alcoholic and soft drinks.	Medium
Food & Beverage	Does NYX Hotel Ibiza – Adults Only serve both local Ibizan dishes and international cuisine?	Yes, menus highlight both authentic Ibizan specialities and a wide range of international dishes.	Low
Food & Beverage	Are snacks or light meals available throughout the day at NYX Hotel Ibiza – Adults Only, such as from a food-truck or snack bar?	Yes, a daytime snack bar and food-truck dispense light bites between meals.	Low
Food & Beverage	Does NYX Hotel Ibiza – Adults Only provide buffet lunch options as part of its all-inclusive programme?	Yes, guests on all-inclusive plans may enjoy buffet-style lunch included in the programme.	Low
Policies & Terms	What is the standard cancellation policy for direct bookings at NYX Hotel Ibiza – Adults Only?	Information is currently not available. [VERIFY]	High
Policies & Terms	Does NYX Hotel Ibiza – Adults Only allow pets to stay in any room category?	No, pets are not permitted in any room or public area spaces.	High
Policies & Terms	Are children permitted to stay at NYX Hotel Ibiza – Adults Only under any circumstances?	No, the property does not accommodate children; only guests aged 16+ are accepted.	High
Policies & Terms	Does NYX Hotel Ibiza – Adults Only offer early check-in or late check-out on request?	Early check-in or late check-out may be offered subject to availability and charges. [VERIFY]	Medium
Policies & Terms	Does NYX Hotel Ibiza – Adults Only accept cash payments, or is a credit card required upon check-in?	Yes, cash is accepted, although a valid credit card is still required at check-in.	Medium
Policies & Terms	Are cribs or extra beds available at NYX Hotel Ibiza – Adults Only?	No, cribs and extra beds are not provided in any room category.	Medium
Policies & Terms	What are the group-booking conditions at NYX Hotel Ibiza – Adults Only when reserving more than five rooms?	Yes, reservations of six or more rooms are subject to special conditions and possible supplements.	Low
Policies & Terms	Does NYX Hotel Ibiza – Adults Only require guests to present the credit card used for booking at check-in?	Yes, the credit card used for booking must be presented by the cardholder upon arrival.	Low
Policies & Terms	Are photo IDs mandatory for every guest checking in at NYX Hotel Ibiza – Adults Only?	Yes, a valid government-issued photo ID is required from every guest at check-in.	Low
Location & Transportation	How far is NYX Hotel Ibiza – Adults Only from Ibiza Airport, and what is the approximate transfer time by car?	Ibiza Airport lies about 10 km away, a typical car or taxi transfer takes roughly 20 minutes.	High
Location & Transportation	Does NYX Hotel Ibiza – Adults Only arrange private airport transfers or shuttle services for guests?	Private transfers can be arranged through the concierge on request. [VERIFY]	Medium
Location & Transportation	Is NYX Hotel Ibiza – Adults Only situated directly on the beachfront, and is there private access to the sand?	Yes, the hotel sits on the seafront and offers direct gated access to the promenade and beach.	High
Location & Transportation	How close is NYX Hotel Ibiza – Adults Only to Ocean Beach Ibiza club?	Ocean Beach Ibiza is approximately 300 metres away, an easy five-minute walk.	Medium
Location & Transportation	What is the walking distance from NYX Hotel Ibiza – Adults Only to S’Arenal de Sant Antoni beach?	S’Arenal de Sant Antoni beach is around 600 metres from the entrance—about ten minutes on foot.	Medium
Location & Transportation	Are taxi ranks and ride-hailing services readily available outside NYX Hotel Ibiza – Adults Only?	Yes, licensed taxis and app-based ride services queue on the main road just outside. [VERIFY]	Medium
Location & Transportation	Does NYX Hotel Ibiza – Adults Only provide an on-site car-rental desk for exploring the island?	Yes, an on-site car-rental service can be arranged directly through reception.	Medium
Location & Transportation	How long does it take to reach Ibiza Town from NYX Hotel Ibiza – Adults Only by car or taxi?	The drive to Ibiza Town takes roughly 20–25 minutes, covering about 14 kilometres.	Low
Location & Transportation	Can the concierge at NYX Hotel Ibiza – Adults Only assist with directions to Ushuaïa or Pacha nightclubs?	Yes, the concierge team gladly provides detailed directions and travel options to Ushuaïa or Pacha nightclubs.	Low
Activities & Entertainment	Does NYX Hotel Ibiza – Adults Only have a seasonal outdoor pool, and what are its daily opening hours?	Yes, the seasonal outdoor pool is open daily from 10:00 until 18:00.	High
Activities & Entertainment	Is direct access to the beach available from NYX Hotel Ibiza – Adults Only for swimming and sunbathing?	Yes, guests enjoy direct gated access from the sun-deck straight onto the sandy beach for swimming.	High
Activities & Entertainment	Does NYX Hotel Ibiza – Adults Only offer organised entertainment or activities led by in-house staff?	Yes, in-house entertainment staff organise daily activities and evening music sessions for guests.	Medium
