Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Barcelona Gran Via provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guest rooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Barcelona Gran Via staffed 24 hours a day?	Yes, the reception desk is manned 24 hours a day for arrivals and assistance.	High
General Information	How many guest rooms are available at Leonardo Hotel Barcelona Gran Via?	The hotel comprises 100 contemporary guest rooms across several categories.	Medium
General Information	Does Leonardo Hotel Barcelona Gran Via offer accessible facilities and elevators for guests with reduced mobility?	Yes, the building is fully accessible, with elevators and step-free routes for reduced-mobility guests.	Medium
General Information	Are disabled-friendly guest rooms available at Leonardo Hotel Barcelona Gran Via?	Yes, three specially adapted guest rooms are reserved for travellers with disabilities.	Medium
General Information	Is Leonardo Hotel Barcelona Gran Via a fully non-smoking hotel?	Yes, the entire property operates as a 100 percent smoke-free hotel.	High
General Information	Does the multilingual team at Leonardo Hotel Barcelona Gran Via speak English, Spanish and other major languages?	Yes, team members speak English, Spanish, Catalan, French, Italian and additional languages for guest comfort.	Low
General Information	Does Leonardo Hotel Barcelona Gran Via feature an on-site business lounge for working guests?	Yes, an intimate business lounge provides quiet workstations and informal meeting space for guests.	Low
General Information	Can guests earn or redeem AdvantageCLUB benefits at Leonardo Hotel Barcelona Gran Via?	Yes, AdvantageCLUB members can collect points and redeem benefits when staying at the property.	Low
Accommodation & Room Services	Do guest rooms at Leonardo Hotel Barcelona Gran Via include in-room coffee and tea-making facilities?	Yes, every room is equipped with a kettle plus complimentary coffee and tea supplies.	High
Accommodation & Room Services	Is individual air-conditioning and heating available in every guest room at Leonardo Hotel Barcelona Gran Via?	Yes, all rooms feature individually controlled air-conditioning and seasonal heating.	High
Accommodation & Room Services	Are complimentary luxury toiletries provided in the bathrooms at Leonardo Hotel Barcelona Gran Via?	Yes, bathrooms are stocked with complimentary luxury cosmetic toiletries for all guests.	Medium
