Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Warsaw offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided free of charge in all guestrooms and public areas.	High
General Information	Is the reception at NYX Hotel Warsaw staffed 24 hours a day?	Yes, the reception desk operates around the clock to assist guests at any time.	Medium
General Information	How many guest rooms are available at NYX Hotel Warsaw?	The hotel offers 331 contemporary guestrooms and suites across multiple floors.	Low
General Information	Does NYX Hotel Warsaw provide multilingual staff assistance?	Yes, a multilingual team is available to support international travellers throughout their stay.	Medium
General Information	Is NYX Hotel Warsaw a fully non-smoking property?	Yes, the entire property—including all rooms and common areas—is strictly non-smoking.	Medium
General Information	Does NYX Hotel Warsaw hold a Green Key or similar eco-certification?	Information is currently not available. [VERIFY]	Low
General Information	Does NYX Hotel Warsaw feature on-site meeting and conference facilities?	Yes, well-equipped meeting rooms and larger conference spaces are available for events.	Medium
General Information	Are accessible rooms and facilities available at NYX Hotel Warsaw for guests with reduced mobility?	Yes, four adapted guestrooms and step-free public areas cater to guests with reduced mobility.	Medium
General Information	Does NYX Hotel Warsaw have an on-site fitness gym for guests?	Yes, a fully equipped fitness gym is open exclusively to resident guests at any hour.	Medium
Accommodation & Room Services	Do all rooms at NYX Hotel Warsaw include a minibar?	Yes, every room is fitted with a stocked minibar for added convenience.	Medium
Accommodation & Room Services	Are tea and coffee-making facilities provided in every guest room at NYX Hotel Warsaw?	Yes, complimentary tea- and coffee-making facilities are present in all accommodation categories.	Medium
Accommodation & Room Services	Does NYX Hotel Warsaw supply complimentary premium toiletries in the bathrooms?	Yes, bathrooms are furnished with complimentary high-quality toiletries for guest use. [VERIFY]	Medium
Accommodation & Room Services	Is air-conditioning available in all accommodations at NYX Hotel Warsaw?	Yes, individually controlled air-conditioning is installed in every guestroom and suite.	Medium
Accommodation & Room Services	Are the rooms at NYX Hotel Warsaw sound-proofed for added comfort?	Yes, sound-proof room construction helps ensure a peaceful environment despite the central location.	Low
Accommodation & Room Services	Is laundry and ironing service available for guests staying at NYX Hotel Warsaw?	Yes, professional laundry and ironing services can be arranged through the housekeeping team.	Medium
Accommodation & Room Services	Can NYX Hotel Warsaw provide a baby cot free of charge?	Yes, a baby cot can be supplied free of charge when requested in advance.	Low
Accommodation & Room Services	Are in-room safes provided at NYX Hotel Warsaw?	Yes, each guestroom contains a secure safe for valuables and personal items.	Medium
Accommodation & Room Services	Do suites at NYX Hotel Warsaw feature floor-to-ceiling city views?	Yes, suites boast impressive floor-to-ceiling windows showcasing panoramic Warsaw skyline views.	Low
Food & Beverage	Does NYX Hotel Warsaw serve a daily breakfast buffet?	Yes, an extensive buffet breakfast is prepared and served every morning.	High
Food & Beverage	What are the weekday breakfast hours at NYX Hotel Warsaw?	Breakfast is available Monday through Saturday from 6:30 a.m. to 10:30 a.m.	Low
Food & Beverage	What are the extended Sunday breakfast hours at NYX Hotel Warsaw?	On Sundays breakfast runs from 6:30 a.m. until 12:00 p.m. for leisurely dining.	Low
Food & Beverage	Does NYX Hotel Warsaw operate the Clash Restaurant for lunch and dinner service?	Yes, Clash Restaurant opens from early afternoon and continues through dinner with international menus.	Medium
