Category	Question	Answer	Frequency Level
General Information	האם מלון NYX הרצליה מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, אינטרנט אלחוטי מהיר וללא תשלום זמין בכל חדרי המלון ובכל השטחים הציבוריים, כולל טרקלין, לובי וחדרים.	High
General Information	האם דלפק הקבלה במלון NYX הרצליה פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומעניק שירותי צ'ק-אין, צ'ק-אאוט וסיוע לאורחים בכל שעה.	High
General Information	כמה חדרים וסוויטות כולל מלון NYX הרצליה?	במלון 179 יחידות אירוח מעוצבות, ובהן חדרים ברמות שונות לצד סוויטות מרווחות לנוחות האורחים.	Medium
General Information	האם במלון NYX הרצליה קיימים מתקנים מותאמים לאורחים עם מוגבלות?	כן, המלון ידידותי לנגישות וכולל חדרים מונגשים, מעליות ושבילים ציבוריים מותאמים לכיסאות גלגלים.	High
General Information	האם במלון NYX הרצליה יש חניה באתר ולאיזה עלות?	כן, חניה חיצונית זמינה בתחומי המלון בעלות של ‎₪45‎ ליום, ללא צורך בהזמנה מראש.	High
General Information	האם מלון NYX הרצליה מפעיל את טרקלין העסקים Honolulu ומהם הכיבודים והשירותים בו?	כן, טרקלין Honolulu פתוח בימים א'–ה' ומציע ללא תשלום קפה חם, יין, משקאות קלים, חטיפים ושירותי עבודה עם חיבורי חשמל ואמצעי מולטימדיה.	Low
General Information	באילו שפות מדבר צוות מלון NYX הרצליה (לדוגמה אנגלית, רוסית, עברית)?	צוות המלון מעניק שירות מקצועי בעברית, אנגלית ורוסית, לטובת חוויית אירוח בינלאומית חלקה.	Medium
General Information	האם מלון NYX הרצליה כולל טרסת גג פתוחה לשימוש האורחים?	כן, טרסת גג מרווחת עם מקומות ישיבה ונוף ים פתוחה לאורחים בכפוף לתנאי מזג האוויר.	Medium
General Information	האם מלון NYX הרצליה מתאים למשפחות ומציע חדרי משפחה מרווחים?	כן, קיימים חדרי Family וחדרים מחוברים המציעים מרחב שינה נוח למשפחות עם ילדים.	High
Accommodation & Room Services	אילו סוגי חדרים זמינים במלון NYX הרצליה (Deluxe, Executive, Studio, Suite וכו')?	סוגי החדרים כוללים Deluxe, Executive, Deluxe עם מרפסת, Grand Deluxe, חדרי Deluxe ידידותיים לחיות מחמד, חדרי Studio וסוויטת NYX האלגנטית.	High
Accommodation & Room Services	האם בכל חדר במלון NYX הרצליה יש מכונת קפה Nespresso עם קפסולות המתחדשות יום-יום?	כן, בכל חדר מוצבת מכונת נספרסו אישית עם קפסולות איכות המתחדשות מדי יום ללא תשלום.	Medium
Accommodation & Room Services	האם במלון NYX הרצליה אפשר להזמין חדרים עם מרפסת ונוף לים?	כן, חדרי Deluxe עם מרפסת וסוויטות נבחרות כוללים מרפסות המשקיפות אל הים, בכפוף לזמינות ההזמנה.	Medium
Accommodation & Room Services	האם חדרי מלון NYX הרצליה כוללים טלוויזיית 49″ עם טכנולוגיית IPTV?	כן, כל חדר מצויד בטלוויזיית ‎49‎-אינץ' חכמה עם מערכת IPTV לצפייה והזרמת תוכן.	Low
Accommodation & Room Services	האם ניתן להזמין חדר ידידותי לחיות מחמד במלון NYX הרצליה, ומה משקל החיה המותר?	כן, חדרי Pet Friendly זמינים לאירוח חיות מחמד עד משקל ‎6 ק״ג, בכפוף לתשלום ותיאום מוקדם.	Medium
Accommodation & Room Services	האם במלון NYX הרצליה קיימים חדרים נגישים לכיסא גלגלים והאם הם זמינים בכל קומה?	כן, חדרים נגישים מוצעים במספר קומות ויש לאשר מיקום רצוי בעת ההזמנה. [VERIFY]	Medium
Accommodation & Room Services	האם מלון NYX הרצליה מספק שירות חדרים ומהן שעות הפעילות שלו?	נכון לעכשיו שירות החדרים מושבת באופן זמני ולכן אין שעות פעילות מוגדרות.	Medium
Accommodation & Room Services	האם ניתן לקבל מיטת תינוק (עריסה) בחדר במלון NYX הרצליה בתוספת תשלום?	כן, עריסת תינוק לגילאי 0-2 זמינה בעלות ‎₪55‎ ללילה, בכפוף לזמינות בעת הצ'ק-אין.	High
Food & Beverage	איזו ארוחת בוקר מוגשת במלון NYX הרצליה ומהן שעות ההגשה בימי חול ובשבתות?	ארוחת בוקר מזנון עשירה מוגשת בלובי: ראשון–שישי 06:30-10:30, שבתות וחגים 06:30-12:00, עם מבחר מאפים, גבינות, דגים וסלטים.	High
Food & Beverage	האם מסעדת HAVANA במלון NYX הרצליה פתוחה לאורך היום ומה סגנון המטבח שלה?	מסעדת HAVANA מגישה מטבח בינלאומי מודרני; שעות הפתיחה משתנות ויש לאמת מול המלון. [VERIFY]	Medium
Food & Beverage	האם בלובי-בר של מלון NYX הרצליה מוגשים משקאות וחטיפים במהלך היום?	כן, ב-NIX Bistro Bar שבלובי מוגשים משעות אחר הצהריים משקאות, קוקטיילים וחטיפים קלים באווירה נינוחה.	High
Food & Beverage	האם ארוחת הבוקר במלון NYX הרצליה מוגשת עד השעה 12:00 בשבתות ובחגים?	כן, בשבתות ובחגים מזנון הבוקר נמשך עד 12:00 ומאפשר ארוחת בוקר מאוחרת.	Medium
Food & Beverage	האם ניתן להזמין שירות חדרים לארוחות ומשקאות במלון NYX הרצליה?	שירות החדרים למזון ומשקאות מושבת כעת, ולכן הזמנה לחדר אינה זמינה.	Medium
