Category	Question	Answer	Frequency Level
General Information	What are the standard check-in and check-out times at Leonardo Hotel Papendrecht?	Yes, check-in begins at 3:00 pm and check-out is required by 12:00 noon.	High
General Information	Does Leonardo Hotel Papendrecht operate a 24-hour reception desk?	Yes, a professionally staffed reception is on duty 24 hours a day for arrivals and assistance.	High
General Information	Does Leonardo Hotel Papendrecht provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, fast and unlimited Wi-Fi is offered free of charge in all rooms and public areas.	High
General Information	Is secure on-site parking available at Leonardo Hotel Papendrecht and what is the nightly charge?	Yes, the private outdoor car park has 55 spaces and the fee is €7 per night.	High
General Information	Does Leonardo Hotel Papendrecht offer an electric-vehicle charging station for guests?	Yes, two 22 kW charging points are installed on-site for overnight guest use.	Medium
General Information	How many guest rooms and serviced apartments does Leonardo Hotel Papendrecht have in total?	The property comprises 97 keys in total—87 guestrooms plus 10 fully equipped apartments.	Medium
General Information	Are multilingual staff available at the front desk of Leonardo Hotel Papendrecht?	Yes, the front-office team speaks Dutch, English and German to assist international travellers.	Medium
General Information	Does Leonardo Hotel Papendrecht feature dedicated meeting and conference facilities?	Yes, modern multipurpose meeting rooms are available for conferences, seminars and private events.	Medium
General Information	Is Leonardo Hotel Papendrecht a completely non-smoking property?	Yes, all interior areas and guestrooms are strictly designated non-smoking.	High
General Information	Which sustainability or eco-certifications has Leonardo Hotel Papendrecht achieved?	Currently, the hotel holds the internationally recognised Green Key environmental certification.	Low
Accommodation & Room Services	What room categories can guests choose from when booking Leonardo Hotel Papendrecht?	Guests may reserve Comfort Twin, Club, Suite or Apartment categories, each with distinct amenities.	High
Accommodation & Room Services	Do all accommodations at Leonardo Hotel Papendrecht include individual air-conditioning and heating controls?	Yes, every room and apartment is equipped with its own climate-control air-conditioning system.	High
Accommodation & Room Services	Are in-room tea and coffee-making facilities provided at Leonardo Hotel Papendrecht?	Yes, an electric kettle plus complimentary tea and coffee supplies are present in every accommodation.	High
Accommodation & Room Services	Does Leonardo Hotel Papendrecht supply complimentary toiletries and hairdryers in each bathroom?	Yes, bathrooms are stocked with quality toiletries and a wall-mounted hairdryer for guest convenience.	High
Accommodation & Room Services	Are laptop-compatible safes installed in the rooms at Leonardo Hotel Papendrecht?	Yes, each guestroom features a secure, laptop-sized safe with integrated power socket.	Medium
Accommodation & Room Services	Can guests request hypoallergenic bedding or extra pillows at Leonardo Hotel Papendrecht?	Yes, allergy-friendly bedding or additional pillows can be arranged on request. [VERIFY]	Low
Accommodation & Room Services	Does Leonardo Hotel Papendrecht offer apartments with separate living areas and kitchenettes?	Yes, the ten long-stay apartments provide a separate lounge area and fully fitted kitchenette.	Medium
Accommodation & Room Services	Is daily housekeeping at Leonardo Hotel Papendrecht provided automatically or only upon request?	Currently, eco-minded housekeeping is performed on request; guests schedule service via the in-room app.	Medium
Accommodation & Room Services	Does Leonardo Hotel Papendrecht provide room service, and during which hours is it available?	Yes, room-service dining is available; precise operating hours are confirmed on arrival. [VERIFY]	Medium
Accommodation & Room Services	Are irons and ironing boards obtainable for guest use at Leonardo Hotel Papendrecht?	Yes, an iron and board can be delivered to the room promptly upon request. [VERIFY]	Medium
Food & Beverage	What are the buffet-breakfast hours and price at Leonardo Hotel Papendrecht?	Breakfast costs €21.50 per person; it is served 06:00–10:00 weekdays and 07:30–11:30 weekends.	High
Food & Beverage	Does Leonardo Hotel Papendrecht accommodate vegetarian or vegan dietary requirements?	Yes, the kitchen gladly prepares clearly labelled vegetarian and vegan dishes upon request.	Medium
Food & Beverage	Are gluten-free menu options available at Leonardo Hotel Papendrecht?	Yes, gluten-free bread and tailored dishes are available; guests should advise staff in advance.	Medium
Food & Beverage	Which meals are served at Chef’s! Food & Drinks restaurant in Leonardo Hotel Papendrecht?	The signature restaurant serves a full service of breakfast, à-la-carte lunch and refined dinner daily.	High
Food & Beverage	Does Leonardo Hotel Papendrecht feature a bar or lounge for cocktails and fine wines?	Yes, the stylish bar beside the restaurant pours crafted cocktails, whiskies and an international wine list until midnight.	High
Food & Beverage	Can non-resident guests dine at the restaurant or bar of Leonardo Hotel Papendrecht?	Yes, outside visitors are warmly welcomed for both dining and drinks, subject to table availability. [VERIFY]	Low
Food & Beverage	Are children welcome in the restaurant at Leonardo Hotel Papendrecht, and is a dedicated children’s menu offered?	Yes, families are welcome and a thoughtfully priced children’s menu and high chairs are provided.	Medium
Food & Beverage	Is an early breakfast available at Leonardo Hotel Papendrecht for guests departing before regular service times?	Yes, a 24-hour “early bird” breakfast tray can be arranged with reception the evening before.	Low
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Hotel Papendrecht?	The minimum check-in age is 18 years, with valid photo identification required.	High
Policies & Terms	What is Leonardo Hotel Papendrecht’s cancellation policy for flexible reservations?	Flexible bookings may be cancelled without charge until late afternoon on the day of arrival. [VERIFY]	High
