Category	Question	Answer	Frequency Level
General Information	Does Leonardo Suites Hotel Ibiza Santa Eulalia provide complimentary Wi-Fi throughout all apartments and public areas?	Yes, high-speed Wi-Fi is complimentary in every apartment and all shared spaces, ensuring seamless connectivity at no extra cost.	High
General Information	Is the reception at Leonardo Suites Hotel Ibiza Santa Eulalia staffed 24 hours a day?	Yes, the reception desk operates 24 hours daily, so assistance, information and check-in services are always available.	High
General Information	What are the official check-in (15:00) and check-out (10:30) times at Leonardo Suites Hotel Ibiza Santa Eulalia?	Check-in officially begins at 15:00, while check-out must be completed by 10:30 on the day of departure.	High
General Information	Is Leonardo Suites Hotel Ibiza Santa Eulalia a beachfront property overlooking Es Caná Bay?	Yes, the apartment complex sits directly on Es Caná Beach and commands uninterrupted views across the bay.	High
General Information	How many apartments are available at Leonardo Suites Hotel Ibiza Santa Eulalia, and which categories can guests choose from?	There are 82 apartments, offered as One-Bedroom Apartments, One-Bedroom Sea-View Apartments and spacious Two-Bedroom Apartments.	Medium
General Information	Does Leonardo Suites Hotel Ibiza Santa Eulalia offer multilingual guest services at the front desk?	Yes, front-desk staff communicate fluently in English, Spanish, German and several other languages to assist international guests.	Medium
General Information	Are accessible facilities and elevator access available at Leonardo Suites Hotel Ibiza Santa Eulalia for guests with reduced mobility?	Yes, an elevator and step-free routes provide convenient access, supporting wheelchair users and guests with reduced mobility.	Medium
General Information	Can guests of Leonardo Suites Hotel Ibiza Santa Eulalia use the restaurants, bars and kids’ areas of the neighbouring Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, guests may freely enjoy the restaurant, bar, mini-club, children’s pool and playground at the adjacent Leonardo Royal Hotel.	Medium
Accommodation & Room Services	Are the apartments at Leonardo Suites Hotel Ibiza Santa Eulalia equipped with kitchenettes that include a microwave, refrigerator and hob?	Yes, every apartment features a kitchenette outfitted with a microwave, refrigerator, electric hob and essential utensils.	High
Accommodation & Room Services	Do the apartments at Leonardo Suites Hotel Ibiza Santa Eulalia feature private balconies or terraces, and are sea-view options available?	Yes, all apartments boast a private furnished balcony or terrace, with optional sea-view categories bookable in advance.	High
Accommodation & Room Services	Is individual air-conditioning provided in every apartment at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, individually controlled air-conditioning is installed in every apartment for personalised climate comfort throughout the stay.	High
Accommodation & Room Services	Does Leonardo Suites Hotel Ibiza Santa Eulalia supply complimentary toiletries and a hair-dryer in each bathroom?	Yes, bathrooms are stocked with complimentary toiletries and a wall-mounted hair-dryer for guest convenience.	Medium
Accommodation & Room Services	Are in-room safes available for guests staying at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, an electronic safe is fitted in each apartment, allowing guests to secure valuables confidently.	Medium
Accommodation & Room Services	Are cribs or extra beds available on request at Leonardo Suites Hotel Ibiza Santa Eulalia?	Currently, cribs or rollaway beds cannot be supplied; apartment occupancy is limited to existing beds.	Medium
Accommodation & Room Services	Is a daily housekeeping service included for guests at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, a professional housekeeping team services every apartment daily, refreshing linens, amenities and overall cleanliness.	Medium
Food & Beverage	Is a daily buffet breakfast offered at Leonardo Suites Hotel Ibiza Santa Eulalia, and what are the usual serving hours?	Yes, a generous buffet breakfast is served each morning, typically from 08:00 to 10:30 in the restaurant.	High
Food & Beverage	Which dining venues can guests of Leonardo Suites Hotel Ibiza Santa Eulalia access during their stay?	Guests may dine at the main buffet restaurant and cocktail bar in the neighbouring Leonardo Royal Hotel, plus the on-site beach-side snack bar.	Medium
Food & Beverage	Does the beach-side snack bar at Leonardo Suites Hotel Ibiza Santa Eulalia offer direct access to Es Caná Beach?	Yes, the relaxed beach-side snack bar opens directly onto Es Caná Beach for effortless toes-in-the-sand access.	Medium
Food & Beverage	Can guests enjoy cocktails at the bar of the adjacent Leonardo Royal Hotel Ibiza Santa Eulalia while staying at the suites?	Yes, suite guests are welcome to order freshly mixed cocktails at the bar inside the neighbouring Leonardo Royal Hotel.	Medium
Food & Beverage	Are all-inclusive meal plans available when booking Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, optional all-inclusive packages encompass buffet meals, snacks and selected alcoholic and soft beverages throughout the day.	Medium
Food & Beverage	Are tea- and coffee-making facilities provided in the apartments at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, each apartment offers an electric kettle together with complimentary tea and coffee provisions.	Medium
Food & Beverage	Is there a children-friendly dining area or seating within the restaurant facilities accessible to guests of Leonardo Suites Hotel Ibiza Santa Eulalia?	Information is currently not available. [VERIFY]	Low
Policies & Terms	What is the minimum age required to check in at Leonardo Suites Hotel Ibiza Santa Eulalia?	The minimum check-in age is 18 years, verified upon arrival with valid identification.	High
Policies & Terms	What is the pet policy at Leonardo Suites Hotel Ibiza Santa Eulalia?	No, pets are not permitted; only certified service animals are welcomed without additional charges.	High
Policies & Terms	How do cancellation and pre-payment conditions work when reserving Leonardo Suites Hotel Ibiza Santa Eulalia?	Cancellation and pre-payment policies differ by chosen rate and are displayed clearly during the booking process.	High
Policies & Terms	Are reservations of more than five apartments at Leonardo Suites Hotel Ibiza Santa Eulalia subject to special group conditions?	Yes, bookings of more than five apartments are considered group reservations and may be subject to alternative terms and supplements.	Medium
Policies & Terms	Which credit cards are accepted for payment at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, major international credit cards are accepted for settlement, alongside cash payments at reception.	Medium
Policies & Terms	Is early check-in or late check-out available at Leonardo Suites Hotel Ibiza Santa Eulalia, and are fees applied?	Early check-in or late check-out may be arranged subject to availability and an additional fee. [VERIFY]	Low
Location & Transportation	How far is Leonardo Suites Hotel Ibiza Santa Eulalia from Ibiza Airport, and what is the typical travel time by car?	Ibiza Airport is roughly 20 kilometres away, and the journey generally takes about 30 minutes by car.	Medium
Location & Transportation	What is the walking distance from Leonardo Suites Hotel Ibiza Santa Eulalia to the Punta Arabí Hippie Market?	The colourful Punta Arabí Hippie Market is about 1 kilometre away, an easy 10- to 12-minute walk.	High
Location & Transportation	How close is the beachfront to the pool area at Leonardo Suites Hotel Ibiza Santa Eulalia?	Only around 10 metres separate the pool terrace from the sandy beach, guaranteeing effortless seaside access.	High
Location & Transportation	How far is Port Santa Eulalia from Leonardo Suites Hotel Ibiza Santa Eulalia?	Port Santa Eulalia lies approximately 4 kilometres from the property, reachable in roughly ten minutes by car.	Medium
Location & Transportation	Approximately how long does it take to drive from Leonardo Suites Hotel Ibiza Santa Eulalia to Ibiza Town?	Driving to Ibiza Town usually takes between 25 and 30 minutes, depending on traffic conditions.	Medium
Location & Transportation	Are cafés, restaurants and shops located within a short walk of Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, numerous cafés, restaurants and shops line the nearby seafront promenade just a short stroll from the apartments.	Medium
Location & Transportation	Does Leonardo Suites Hotel Ibiza Santa Eulalia provide on-site parking facilities or reserved spaces nearby?	No private parking is offered on-site; guests generally find complimentary street parking in the immediate vicinity.	Low
Activities & Entertainment	Does Leonardo Suites Hotel Ibiza Santa Eulalia feature an outdoor swimming pool and a separate children’s pool?	Yes, a spacious outdoor pool is complemented by a shallow children’s pool designed for younger swimmers.	High
Activities & Entertainment	Is a supervised kids’ club available for younger guests staying at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, a supervised kids’ club runs daily, arranging games, crafts and activities for children.	High
Activities & Entertainment	Can guests of Leonardo Suites Hotel Ibiza Santa Eulalia enjoy playground facilities during their stay?	Yes, an outdoor playground equipped with slides and climbing frames is available for children’s enjoyment.	High
Activities & Entertainment	May guests access the water slides and splash area at the neighbouring Leonardo Royal Hotel Ibiza Santa Eulalia?	Yes, guests have complimentary access to the water slides and splash zone located at the adjoining Leonardo Royal Hotel.	Medium
Activities & Entertainment	Does Leonardo Suites Hotel Ibiza Santa Eulalia offer live evening entertainment or themed shows?	Information is currently not available. [VERIFY]	Medium
Activities & Entertainment	Is a sun terrace with loungers or Balinese beds available to guests of Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, a spacious sun terrace furnished with loungers and Balinese beds invites guests to relax beside the pool.	Low
Activities & Entertainment	Is there a billiards or pool table available on-site at Leonardo Suites Hotel Ibiza Santa Eulalia?	Yes, a billiards table is available on-site for friendly games throughout the day.	Low
