Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Munich City East provide complimentary high-speed Wi-Fi throughout the entire hotel?	Yes, complimentary high-speed Wi-Fi is provided in all guestrooms and public areas without any bandwidth limit or extra charge.	High
General Information	Is the reception desk at Leonardo Hotel Munich City East open 24 hours a day?	Yes, the front desk is staffed around the clock, allowing arrivals, departures, or assistance at any hour.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Munich City East?	Check-in begins at 15:00 and check-out is required by 12:00 noon on the day of departure.	High
General Information	How many guest rooms does Leonardo Hotel Munich City East offer?	The property offers 215 modern guest rooms and suites across several room categories.	Medium
General Information	Is Leonardo Hotel Munich City East a completely non-smoking property?	Yes, the entire building is designated non-smoking; smoking is only permitted in outdoor areas.	Medium
General Information	Does Leonardo Hotel Munich City East have on-site underground parking and what is the daily charge?	Yes, a secure underground car park is available on site and currently costs EUR 15 per vehicle, per day.	High
General Information	Are electric vehicle charging stations available in the car park of Leonardo Hotel Munich City East?	Yes, dedicated electric vehicle charging points are installed in the garage for overnight recharging.	Low
General Information	Does the staff at Leonardo Hotel Munich City East speak multiple languages at reception?	Yes, reception personnel speak German and English and can assist in additional languages as needed.	Medium
General Information	What conference and meeting facilities are available at Leonardo Hotel Munich City East?	The hotel features four daylight-flooded meeting rooms totaling about 235 m², accommodating events for up to 140 participants.	Medium
General Information	Is Leonardo Hotel Munich City East equipped with accessible public areas for guests with reduced mobility?	Yes, entrances, lifts, and all main public spaces are wheelchair accessible and barrier-free.	High
Accommodation & Room Services	Do all rooms at Leonardo Hotel Munich City East feature individual air-conditioning and heating controls?	Yes, every room is fitted with individually adjustable air-conditioning and heating for personalised comfort.	High
Accommodation & Room Services	Is a minibar or small refrigerator provided in every room at Leonardo Hotel Munich City East?	Yes, each guest room includes a stocked minibar that can also be used as a small refrigerator.	High
Accommodation & Room Services	Are tea and coffee making facilities available in the rooms at Leonardo Hotel Munich City East?	Yes, all accommodations provide an electric kettle with complimentary tea bags and coffee sachets.	High
Accommodation & Room Services	Does Leonardo Hotel Munich City East supply complimentary toiletries and a hairdryer in each bathroom?	Yes, bathrooms come with free branded toiletries, a wall-mounted hairdryer, and large vanity mirrors.	High
Accommodation & Room Services	Can extra pillows or hypoallergenic bedding be requested at Leonardo Hotel Munich City East?	Yes, housekeeping will deliver additional or hypoallergenic bedding and pillows promptly upon request.	Medium
Accommodation & Room Services	Are irons and ironing boards available in the rooms or upon request at Leonardo Hotel Munich City East?	Yes, irons and ironing boards are supplied free of charge when requested through reception.	Medium
Accommodation & Room Services	Does Leonardo Hotel Munich City East offer in-room dining service, and what are its operating hours?	Yes, room service is available daily, generally from 18:00 until 22:00 for hot dishes and drinks. [VERIFY]	Medium
