Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Berlin provide complimentary Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is available throughout the property.	High
General Information	What are the check-in and check-out times at Leonardo Hotel Berlin?	Check-in starts at 15:00, and check-out is until 12:00.	High
General Information	Is the front desk at Leonardo Hotel Berlin open 24 hours a day?	Yes, the front desk operates around the clock.	High
General Information	Does Leonardo Hotel Berlin offer on-site parking facilities for guests?	Yes, on-site parking is available for an additional fee.	Medium
General Information	Are multilingual staff members available at Leonardo Hotel Berlin to assist international guests?	Yes, staff members speak multiple languages to assist international visitors.	Medium
General Information	Can guests store their luggage at Leonardo Hotel Berlin before check-in or after check-out?	Yes, complimentary luggage storage is provided.	Medium
General Information	Is Leonardo Hotel Berlin suitable for families traveling with children?	Yes, the property is suitable for families and can accommodate children.	Medium
General Information	Does Leonardo Hotel Berlin feature meeting or conference rooms for business events?	Yes, meeting facilities are available for business events.	Medium
General Information	Are accessible facilities or rooms available at Leonardo Hotel Berlin for guests with reduced mobility?	Yes, accessible rooms and facilities are offered.	High
Accommodation & Room Services	Do rooms at Leonardo Hotel Berlin include air conditioning for guest comfort?	Yes, rooms are equipped with air conditioning.	High
Accommodation & Room Services	Is there a minibar or small fridge provided in each room at Leonardo Hotel Berlin?	Yes, each room is furnished with a minibar.	High
Accommodation & Room Services	Does Leonardo Hotel Berlin supply electric kettles or coffee-and-tea-making facilities in the rooms?	Yes, coffee-and-tea-making facilities are provided in each room.	Medium
Accommodation & Room Services	Are hairdryers available in the bathrooms at Leonardo Hotel Berlin?	Yes, hairdryers are included in the bathrooms.	High
Accommodation & Room Services	Does Leonardo Hotel Berlin offer complimentary toiletries in guest rooms?	Yes, complimentary toiletries are supplied.	Medium
Accommodation & Room Services	Are hypoallergenic pillows or bedding options available at Leonardo Hotel Berlin?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Can guests request an iron and ironing board at Leonardo Hotel Berlin?	Yes, an iron and ironing board can be requested from the front desk.	Medium
Accommodation & Room Services	Does Leonardo Hotel Berlin provide laundry or dry-cleaning services for guests?	Yes, laundry services are offered for an additional charge.	Medium
Accommodation & Room Services	Is in-room dining or room service available at Leonardo Hotel Berlin?	No, in-room dining is currently not available. [VERIFY]	Medium
Food & Beverage	Does Leonardo Hotel Berlin serve a daily breakfast buffet?	Yes, a daily breakfast buffet is served.	High
