Category	Question	Answer	Frequency Level
General Information	Does Leonardo Inn Hotel Glasgow West End offer free Wi-Fi?	Yes, free Wi-Fi is available to all guests throughout the hotel.	High
General Information	Is there a 24-hour front desk available at Leonardo Inn Hotel Glasgow West End?	Yes, our front desk operates 24 hours a day to assist guests at any time.	High
General Information	What are the check-in and check-out times at Leonardo Inn Hotel Glasgow West End?	Check-in starts at 3 pm, and check-out is until 11 am.	High
General Information	Is Leonardo Inn Hotel Glasgow West End family-friendly?	Yes, our hotel is family-friendly with various amenities and services suitable for children.	 Medium
General Information	Are there accessible facilities available at Leonardo Inn Hotel Glasgow West End?	Yes, we offer accessible facilities to ensure comfort and convenience for all guests.	Medium
General Information	Does Leonardo Inn Hotel Glasgow West End have multilingual staff?	Yes, we have multilingual staff to cater to the needs of our international guests.	Medium
General Information	Is there on-site parking available at Leonardo Inn Hotel Glasgow West End?	Yes, on-site parking is available for guests at a daily rate.	High
General Information	Are there meeting and conference facilities at Leonardo Inn Hotel Glasgow West End?	Yes, we offer several meeting and conference facilities equipped with modern amenities.	Medium
Accommodation & Room Services	What type of room services are available at Leonardo Inn Hotel Glasgow West End?	We offer a variety of room services including daily housekeeping and in-room dining options.	High
Accommodation & Room Services	Does Leonardo Inn Hotel Glasgow West End provide a minibar or a small fridge in the rooms?	Yes, rooms are equipped with a minibar or a small fridge for your convenience.	Medium
Accommodation & Room Services	Are tea and coffee-making facilities available in the rooms at Leonardo Inn Hotel Glasgow West End?	Yes, all rooms include tea and coffee-making facilities.	High
Accommodation & Room Services	Does Leonardo Inn Hotel Glasgow West End offer complimentary toiletries?	Yes, complimentary toiletries are provided in all bathrooms.	High
Accommodation & Room Services	Are there ironing boards and irons in the rooms at Leonardo Inn Hotel Glasgow West End?	Yes, ironing boards and irons are available in each room.	Medium
Accommodation & Room Services	Does Leonardo Inn Hotel Glasgow West End offer 24-hour room service?	Yes, we offer 24-hour room service to cater to your needs at any time.	Medium
Accommodation & Room Services	What laundry and dry-cleaning services are available at Leonardo Inn Hotel Glasgow West End?	We provide both laundry and dry-cleaning services for the convenience of our guests.	Medium
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End offer a buffet breakfast?	Yes, a buffet breakfast is served daily with a variety of options to suit all tastes.	High
Food & Beverage	What are the breakfast hours at Leonardo Inn Hotel Glasgow West End?	Breakfast is available from 7 am to 10:30 am on weekdays and 7 am to 11 am on weekends.	High
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End provide vegetarian or vegan breakfast options?	Yes, vegetarian and vegan options are available in our breakfast buffet.	Medium
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End have a bar accessible to non-residents?	Yes, our bar is open to both residents and non-residents.	Medium
Food & Beverage	Are children welcome at the bar in Leonardo Inn Hotel Glasgow West End?	Yes, children are welcome in the bar when accompanied by an adult.	Low
Food & Beverage	Does Leonardo Inn Hotel Glasgow West End offer gluten-free menu options?	Yes, gluten-free options are available upon request in our dining facilities.	Medium
Policies & Terms	What is the pet policy at Leonardo Inn Hotel Glasgow West End?	Currently, only service animals are permitted in the hotel.	High
Policies & Terms	What is the smoking policy at Leonardo Inn Hotel Glasgow West End?	The entire hotel is a non-smoking establishment.	High
Policies & Terms	Does Leonardo Inn Hotel Glasgow West End offer free cancellation?	Yes, we offer free cancellation up to 24 hours before your scheduled arrival.	Medium
Policies & Terms	What are the conditions for group bookings at Leonardo Inn Hotel Glasgow West End?	Information currently not available – please contact the hotel for details. [VERIFY]	Low
Policies & Terms	Is there a minimum age requirement for check-in at Leonardo Inn Hotel Glasgow West End?	Guests must be 18 years or older to check in without an adult.	Low
Location & Transportation	How close is Leonardo Inn Hotel Glasgow West End to local landmarks?	We are conveniently located near several major landmarks, including the University of Glasgow and Kelvingrove Art Gallery.	High
Location & Transportation	What are the nearest transport stations to Leonardo Inn Hotel Glasgow West End?	The nearest subway station is Hillhead Station, just a short walk from the hotel.	High
Location & Transportation	Does Leonardo Inn Hotel Glasgow West End offer an airport shuttle service?	Currently, we do not offer an airport shuttle service. Please contact the front desk for alternative transportation options.	Medium
Location & Transportation	How far is the nearest airport from Leonardo Inn Hotel Glasgow West End?	The nearest airport, Glasgow Airport, is approximately 15 minutes by car.	High
Location & Transportation	Are taxi or car-hire services readily available from Leonardo Inn Hotel Glasgow West End?	Yes, taxi and car-hire services can easily be arranged through our front desk.	Medium
Activities & Entertainment	Does Leonardo Inn Hotel Glasgow West End have a fitness center?	Yes, our fitness center is fully equipped and available to all guests.	High
Activities & Entertainment	Are there spa massage treatments available at Leonardo Inn Hotel Glasgow West End?	Currently, we do not offer spa massage treatments.	Medium
Activities & Entertainment	Does Leonardo Inn Hotel Glasgow West End organize guided city tours?	Information currently not available – please contact the hotel for details. [VERIFY]	Low
Activities & Entertainment	Is there live music or evening entertainment at Leonardo Inn Hotel Glasgow West End?	No, we do not currently offer live music or evening entertainment.	Low
