Category	Question	Answer	Frequency Level
General Information	האם מלון נוצ'ה מציע דלפק קבלה הפועל 24 שעות ביממה?	כן, דלפק הקבלה מאויש בכל שעות היממה ומספק מענה ושירות רציפים.	High
General Information	האם יש רשת Wi-Fi חינמית בכל רחבי מלון נוצ'ה?	כן, חיבור Wi-Fi מהיר וחינמי זמין בכל שטחי המלון, חדרים ומרחבים ציבוריים.	High
General Information	כמה חדרים כוללים במלון נוצ'ה והאם הוא מתאים לאירוח אינטימי?	במלון 86 חדרים מעוצבים, כך שהאווירה בוטיקית ומתאימה במיוחד לאירוח אינטימי ושקט.	Medium
General Information	האם מלון נוצ'ה מיועד למבוגרים בלבד ומהו גיל המינימום לאורחים?	כן, האירוח מיועד למבוגרים בלבד והכניסה מותרת לאורחים בני 16 ומעלה.	High
General Information	האם מלון נוצ'ה כשר ועל-פי איזו השגחה?	כן, המלון כשר תחת השגחת רבנות ירושלים ומקפיד על סטנדרטים מלאים.	High
General Information	האם במלון נוצ'ה קיימת מעלית שבת ואפשרות לקבל מפתח שבת?	כן, מעלית שבת פועלת במלון וניתן לקבל מפתח שבת בפיקדון סמלי בדלפק.	Medium
General Information	האם במלון נוצ'ה ניתן להצטרף למועדון AdvantageCLUB לקבלת הטבות?	כן, ניתן להצטרף חינם למועדון AdvantageCLUB ולקבל הנחות ונקודות ללילות עתידיים.	Low
General Information	האם מלון נוצ'ה מציע שירות חדרים לאורך כל שעות היום?	כן, שירות חדרים זמין לאורך היום והערב; לשעות המדויקות מומלץ לבדוק מראש. [VERIFY]	Medium
General Information	האם במלון נוצ'ה ניתן ליהנות מנוף גגות ירושלים מגג המלון?	כן, אורחים מוזמנים לעלות לרופטופ וליהנות מתצפית גגות ירושלים מרהיבה ופתוחה.	Medium
Accommodation & Room Services	אילו קטגוריות חדרים זמינות במלון נוצ'ה ומה ההבדלים ביניהן?	החדרים כוללים: קומפורט, אקזקיוטיב עם מרפסת, אקזקיוטיב קומה גבוהה, גרנד דלקס עם מרפסת, סוויטה וחדר נגיש; ההבדלים הם בגודל, גובה הקומה, קיומה של מרפסת ושדרוגי אבזור.	High
