Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Krakow Old Town offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	What are the standard check-in and check-out times at Leonardo Boutique Hotel Krakow Old Town?	Check-in begins at 3:00 pm and check-out is required by 12:00 noon.	High
General Information	Is the front desk at Leonardo Boutique Hotel Krakow Old Town staffed 24 hours a day?	Yes, the reception desk operates 24 hours a day for arrivals and guest assistance.	High
General Information	How many guest rooms are available at Leonardo Boutique Hotel Krakow Old Town?	The property features 100 elegantly appointed guest rooms and suites.	Medium
General Information	Does Leonardo Boutique Hotel Krakow Old Town employ multilingual staff to assist international guests?	Yes, multilingual team members are on hand to assist guests in several major languages.	Medium
General Information	Is Leonardo Boutique Hotel Krakow Old Town a fully non-smoking property?	Yes, the entire hotel is designated as a non-smoking environment.	Medium
General Information	Does Leonardo Boutique Hotel Krakow Old Town provide meeting or board rooms for small corporate events?	Yes, three well-equipped board rooms are available for intimate meetings and presentations.	Medium
General Information	Is Leonardo Boutique Hotel Krakow Old Town located in a renovated UNESCO-listed building?	Yes, the hotel occupies a UNESCO-listed townhouse that was completely renovated in 2016.	Low
General Information	Do direct bookings at Leonardo Boutique Hotel Krakow Old Town qualify for Leonardo AdvantageCLUB benefits such as member discounts?	Yes, direct bookers may enrol in Leonardo AdvantageCLUB and enjoy member-only discounts and rewards.	Low
Accommodation & Room Services	Are all guestrooms at Leonardo Boutique Hotel Krakow Old Town equipped with individual air-conditioning and heating controls?	Yes, every guestroom offers individually controlled air-conditioning and heating for personalised comfort.	High
Accommodation & Room Services	Do rooms at Leonardo Boutique Hotel Krakow Old Town include an in-room tea and coffee maker?	Yes, each room is furnished with a coffee machine or electric kettle for preparing tea and coffee.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Krakow Old Town provide complimentary luxury toiletries in every private bathroom?	Yes, premium toiletries are provided free of charge in every en-suite bathroom.	High
Accommodation & Room Services	Is a minibar available in the rooms at Leonardo Boutique Hotel Krakow Old Town?	Yes, guestrooms are equipped with a stocked minibar for added convenience.	Medium
Accommodation & Room Services	Are flat-screen TVs with satellite channels standard in all rooms at Leonardo Boutique Hotel Krakow Old Town?	Yes, all accommodations feature flat-screen televisions offering a selection of satellite channels.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Krakow Old Town offer family or inter-connecting room options?	Yes, family-friendly categories such as Deluxe Triple Rooms and Suites accommodate larger parties.	Medium
