Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel München City Center offer complimentary high-speed Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is available without charge in every guest room and all public areas.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel München City Center?	Check-in officially begins at 15:00, while check-out is required by 12:00 noon on departure day.	High
General Information	Is the reception at Leonardo Hotel München City Center staffed 24 hours a day?	Yes, the reception desk operates around the clock, ensuring assistance is always available day or night.	High
General Information	Does Leonardo Hotel München City Center provide multilingual staff assistance at the front desk?	Yes, front-desk team members speak several languages, including German and English, to assist international guests effectively.	Medium
General Information	Are the public areas of Leonardo Hotel München City Center fully accessible for guests with reduced mobility?	Yes, entrances, lifts and main public areas are wheelchair accessible and suitable for guests with reduced mobility.	Medium
General Information	How many guest rooms does Leonardo Hotel München City Center feature in total?	The property comprises 80 guest rooms distributed over several floors.	Low
General Information	Does Leonardo Hotel München City Center have an on-site car park for guests, and is a reservation required?	Yes, a limited underground car park is available on site; reservations are not accepted and spaces depend on availability.	High
General Information	Does Leonardo Hotel München City Center offer dedicated meeting or conference facilities for business travellers?	No, the hotel does not maintain dedicated meeting or conference rooms for business events.	Medium
General Information	Is Leonardo Hotel München City Center a completely non-smoking hotel?	Yes, all guest rooms and interior spaces are designated non-smoking; smoking is only permitted in outdoor areas.	Medium
Accommodation & Room Services	Are all guest rooms at Leonardo Hotel München City Center equipped with individual air-conditioning and heating controls?	Yes, every room includes individually controlled air-conditioning and heating for personalised climate comfort.	High
Accommodation & Room Services	Does Leonardo Hotel München City Center provide coffee- and tea-making facilities in every room?	Yes, each guest room is supplied with an electric kettle plus complimentary coffee and tea supplies.	High
Accommodation & Room Services	Is a minibar or small refrigerator included in the rooms at Leonardo Hotel München City Center?	Yes, all rooms contain a minibar stocked with chargeable refreshments for guest convenience.	Medium
Accommodation & Room Services	Are hypoallergenic bedding or extra pillows available on request at Leonardo Hotel München City Center?	Yes, housekeeping can deliver hypoallergenic bedding and additional pillows upon request at no extra cost.	Medium
