Category	Question	Answer	Frequency Level
General Information	האם במלון לאונרדו נגב באר שבע יש דלפק קבלה הפועל 24 שעות ביממה?	כן, דלפק הקבלה פעיל 24 שעות ביממה ומאויש על-ידי צוות מקצועי הזמין לכל שאלה.	Medium
General Information	האם מלון לאונרדו נגב באר שבע מספק חיבור Wi-Fi אלחוטי חינם בכל רחבי המלון?	כן, אינטרנט אלחוטי חינם זמין בכל החדרים והאזורים הציבוריים ללא הגבלת גלישה.	High
General Information	מהן שעות הצ'ק-אין במלון לאונרדו נגב באר שבע בימי ראשון–שישי?	הכניסה לחדרים בימים ראשון–שישי החל מהשעה 15:00, בכפוף להצגת תעודה מזהה וכרטיס אשראי.	High
General Information	מהן שעות הצ'ק-אין במלון לאונרדו נגב באר שבע בשבתות ובחגים יהודיים?	בשבתות ובחגים ניתן לבצע צ'ק-אין רק משעה 18:00, לאחר צאת השבת או החג.	Medium
General Information	מהן שעות הצ'ק-אאוט במלון לאונרדו נגב באר שבע?	צ'ק-אאוט בימים ראשון–שישי עד השעה 11:00, ובשבתות וחגים עד 14:00.	High
General Information	כמה חדרים וסוויטות יש במלון לאונרדו נגב באר שבע?	במלון 259 יחידות אירוח – חדרים וסוויטות – הפזורים על פני 12 קומות מודרניות.	Medium
General Information	האם במלון לאונרדו נגב באר שבע קיימות מעליות ומתקנים נגישים לאורחים עם מוגבלויות?	כן, במלון מעליות, חדרים נגישים ושבילי גישה מותאמים לאורחים עם מוגבלויות.	Medium
General Information	האם מלון לאונרדו נגב באר שבע הוא מלון ללא-עישון בכל האזורים הפנימיים?	כן, העישון אסור בכל האזורים הפנימיים; חדרי האירוח מוגדרים כ-100% ללא-עישון.	Low
General Information	האם במלון לאונרדו נגב באר שבע זמינים חדרי ישיבות ומרכז כנסים מצויד?	כן, עומדים לרשות האורחים חדרי ישיבות ומרכז כנסים מאובזר לאירועים עד כ-250 משתתפים.	Medium
Accommodation & Room Services	אילו סוגי חדרים וסוויטות זמינים להזמנה במלון לאונרדו נגב באר שבע?	ההיצע כולל חדרי סופריור, דלקס ואקזקיוטיב, סוויטות ג'וניור במגוון רמות, סוויטת ירח-דבש וסוויטה נשיאותית עם ג'קוזי.	High
Accommodation & Room Services	האם כל החדרים במלון לאונרדו נגב באר שבע כוללים מיזוג אוויר וטלוויזיה עם ערוצים בינלאומיים?	כן, כל החדרים מצוידים במיזוג אוויר ובטלוויזיית LCD עם מבחר ערוצים בינלאומיים.	Medium
Accommodation & Room Services	האם החדרים במלון לאונרדו נגב באר שבע מאובזרים בערכת קפה ותה ובמיני-בר?	כן, בחדרים תמצאו ערכת קפה ותה ומיני-בר מאובזר לרווחת האורחים.	Medium
Accommodation & Room Services	האם ניתן להזמין במלון לאונרדו נגב באר שבע חדרים נגישים לבעלי מוגבלויות?	כן, חדרים נגישים לבעלי מוגבלויות זמינים להזמנה מראש ובכפוף לאישור המלון.	Medium
Accommodation & Room Services	האם שירות החדרים במלון לאונרדו נגב באר שבע זמין לאורך כל היום, ואם כן באילו שעות?	כן, שירות חדרים פועל מדי יום בין 09:00 ל-23:00 ומציע תפריט מגוון ישירות לחדר.	Medium
Accommodation & Room Services	האם מלון לאונרדו נגב באר שבע מציע שירותי כביסה וגיהוץ לאורחיו?	כן, שירותי כביסה, ניקוי יבש וגיהוץ זמינים בתשלום ונמסרים תוך זמן קצר.	Medium
Accommodation & Room Services	האם ניתן לקבל עריסות תינוק או מיטות נוספות בחדרי מלון לאונרדו נגב באר שבע, ומהי העלות?	כן, עריסת תינוק זמינה בעלות ‎₪55 ללילה; מיטות נוספות אינן מוצעות בחדרים.	High
Accommodation & Room Services	האם במלון לאונרדו נגב באר שבע קיימת אפשרות לחדרים מחוברים למשפחות גדולות?	כן, בחלק מחדרי האקזקיוטיב קיימת דלת מקשרת למשפחות, ויש להזמין זאת מראש.	Medium
Accommodation & Room Services	האם מלון לאונרדו נגב באר שבע מציע סוויטות ירח-דבש או סוויטה נשיאותית עם ג'קוזי פרטי?	כן, המלון מציע סוויטת ירח-דבש רומנטית וסוויטה נשיאותית מרווחת עם ג'קוזי פרטי.	Low
Food & Beverage	אילו אפשרויות קולינריות מציע מלון לאונרדו נגב באר שבע – מסעדה, לובי-בר או בר-בריכה?	אפשרויות הקולינריה כוללות מסעדת Mirage, לובי-בר אלגנטי ובר-בריכה עונתי כשר.	High
Food & Beverage	מהן שעות הבופה לארוחת הבוקר במלון לאונרדו נגב באר שבע?	ארוחת הבוקר הבינלאומית מוגשת מדי יום בין 06:30 ל-10:00 במתכונת בופה עשיר.	Medium
Food & Beverage	האם במלון לאונרדו נגב באר שבע מוגשות גם ארוחות צהריים וערב במסעדת המלון?	כן, במסעדת המלון מוגשות גם ארוחות צהריים וערב עם תפריט כשר מגוון.	Medium
