Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Vienna City West operate a 24-hour front desk?	Yes, the reception is staffed around the clock, ensuring 24-hour assistance for guests.	High
General Information	Does Leonardo Hotel Vienna City West provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi covers all guestrooms and public spaces throughout.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Vienna City West?	Check-in begins at 15:00, and check-out must be completed by 12:00 noon.	High
General Information	How many guest rooms are available at Leonardo Hotel Vienna City West?	The hotel comprises 211 stylish guestrooms across Comfort, Superior and accessible categories.	Medium
General Information	Is Leonardo Hotel Vienna City West a completely non-smoking property?	Yes, the entire building is strictly non-smoking, with no indoor smoking areas.	Medium
General Information	When was Leonardo Hotel Vienna City West officially opened to guests?	It officially welcomed its first guests in autumn 2022.	Low
General Information	Does Leonardo Hotel Vienna City West have multilingual staff at reception?	Yes, reception staff communicate fluently in English, German and additional international languages.	Low
General Information	Does Leonardo Hotel Vienna City West participate in the Leonardo AdvantageCLUB loyalty programme?	Yes, the property participates in Leonardo AdvantageCLUB, allowing members to earn points and perks.	Low
General Information	Does Leonardo Hotel Vienna City West hold any recognised hospitality awards or certifications?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Are all guest rooms at Leonardo Hotel Vienna City West fully air-conditioned?	Yes, every guestroom features individually controlled air-conditioning for year-round comfort.	High
Accommodation & Room Services	Do rooms at Leonardo Hotel Vienna City West include a complimentary coffee machine or tea-and-coffee facilities?	Yes, each room is equipped with a complimentary coffee machine and tea amenities.	Medium
Accommodation & Room Services	Does Leonardo Hotel Vienna City West provide an in-room laptop-size safe?	Yes, a laptop-compatible electronic safe is provided in every accommodation.	Medium
Accommodation & Room Services	Are accessible (barrier-free) rooms available at Leonardo Hotel Vienna City West?	Yes, specially designed accessible rooms can be reserved upon request, subject to availability.	Medium
Accommodation & Room Services	Are the guest rooms at Leonardo Hotel Vienna City West sound-proofed for a restful stay?	Yes, guestrooms are sound-proofed, complemented by blackout drapes for restful sleep.	Medium
Accommodation & Room Services	Does Leonardo Hotel Vienna City West offer daily housekeeping service?	Yes, professional housekeeping services refresh rooms and bathrooms every day of the stay.	Medium
