Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Dublin Portobello offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas without data caps.	High
General Information	Is the front desk at NYX Hotel Dublin Portobello staffed 24 hours a day?	Yes, the reception desk is staffed around the clock to assist guests at any hour.	High
General Information	How many guest rooms does NYX Hotel Dublin Portobello provide?	The property offers 175 thoughtfully designed guest rooms across several contemporary categories.	Medium
General Information	Is NYX Hotel Dublin Portobello an eco-certified property with Green Tourism accreditation?	Yes, the hotel proudly holds a Silver Green Tourism Badge for its sustainability efforts.	Medium
General Information	Are all public areas and guest rooms at NYX Hotel Dublin Portobello fully air-conditioned?	Yes, full air-conditioning is installed throughout guestrooms and communal areas for year-round comfort.	Medium
General Information	Does NYX Hotel Dublin Portobello provide room service to guests?	Yes, an extensive room-service menu is available daily for in-room dining convenience.	Low
General Information	Are accessible guestrooms and facilities available at NYX Hotel Dublin Portobello for guests with reduced mobility?	Yes, specially adapted rooms and step-free facilities are available for guests with reduced mobility.	Medium
General Information	Does NYX Hotel Dublin Portobello offer complimentary digital newspapers for guests?	Yes, a complimentary digital newspaper selection is accessible to all guests throughout their stay.	Low
Accommodation & Room Services	Do rooms at NYX Hotel Dublin Portobello feature the bespoke DREAM bed by King Koil?	Yes, every guest room is furnished with the exclusive DREAM bed handcrafted by King Koil.	Low
Accommodation & Room Services	Is a minibar or mini-fridge provided in every room at NYX Hotel Dublin Portobello?	Yes, each room includes a minibar-size fridge stocked for guest refreshments.	High
Accommodation & Room Services	Are espresso machines or electric kettles available for making hot drinks in the guest rooms at NYX Hotel Dublin Portobello?	Yes, rooms contain an electric kettle, coffee-tea maker and espresso equipment for hot beverages.	Medium
Accommodation & Room Services	Does every bathroom at NYX Hotel Dublin Portobello include a hairdryer as standard?	Yes, a built-in hairdryer is provided as a standard amenity in every bathroom.	Medium
Accommodation & Room Services	Can guests adjust individual air-conditioning in their rooms at NYX Hotel Dublin Portobello?	Yes, in-room climate controls enable guests to set their preferred temperature. [VERIFY]	High
Accommodation & Room Services	Does NYX Hotel Dublin Portobello offer a pillow menu for personalised sleep comfort?	Yes, a curated pillow menu is available on request to enhance personalised sleep comfort.	Low
Accommodation & Room Services	Are laptop-size in-room safes available in all accommodation categories at NYX Hotel Dublin Portobello?	Yes, all rooms feature an electronic safe large enough to secure a laptop computer.	Medium
Accommodation & Room Services	Is daily housekeeping service included in the room rate at NYX Hotel Dublin Portobello?	Yes, thorough daily housekeeping and towel refresh are included for all staying guests.	Medium
Accommodation & Room Services	Are interconnecting or adjoining rooms available at NYX Hotel Dublin Portobello for families or groups?	Yes, interconnecting or adjoining rooms can be pre-arranged to accommodate families or groups comfortably.	Medium
Food & Beverage	Does NYX Hotel Dublin Portobello serve a daily buffet breakfast on site?	Yes, an abundant buffet breakfast is prepared fresh every morning in the restaurant.	High
Food & Beverage	What are the weekday breakfast service hours at NYX Hotel Dublin Portobello?	On weekdays breakfast is served from 06:30 until 10:30 for resident guests.	Low
Food & Beverage	What are the weekend breakfast service hours at NYX Hotel Dublin Portobello?	On Saturdays and Sundays breakfast service runs from 07:00 until 11:00 for added leisure.	Low
Food & Beverage	Is there an additional charge for the buffet breakfast at NYX Hotel Dublin Portobello?	Yes, the buffet breakfast is optional and currently costs about €20 per person.	Medium
Food & Beverage	Does NYX Hotel Dublin Portobello operate an on-site restaurant for lunch and dinner?	Yes, the stylish restaurant serves inventive all-day menus for lunch and evening dinner.	Medium
Food & Beverage	Does NYX Hotel Dublin Portobello have an in-house bar serving cocktails and signature drinks?	Yes, The Bar at NYX mixes signature cocktails, premium spirits and local craft beers until late.	High
Food & Beverage	Are complimentary tea and instant coffee available to guests at NYX Hotel Dublin Portobello?	Yes, complimentary tea bags, instant coffee and condiments are replenished daily in each room.	Medium
Policies & Terms	What are the check-in and check-out times at NYX Hotel Dublin Portobello?	Check-in begins at 15:00 while check-out must be completed by 11:00 on departure day.	High
Policies & Terms	What is the minimum age requirement for check-in at NYX Hotel Dublin Portobello?	A minimum age of 18 years is required to register and check in.	Low
Policies & Terms	Are pets permitted to stay at NYX Hotel Dublin Portobello?	No, pets are not permitted to stay at the property, with the exception of service animals.	Medium
Policies & Terms	Does NYX Hotel Dublin Portobello accept cash payments, or is a credit/debit card required?	The hotel operates cash-free, therefore a valid credit or debit card is required for payment.	Low
Policies & Terms	What forms of credit card payment are accepted at NYX Hotel Dublin Portobello?	Major cards, including Visa, Mastercard and American Express, are accepted for all transactions. [VERIFY]	Low
Policies & Terms	What is the cancellation policy at NYX Hotel Dublin Portobello?	Cancellation terms vary by rate; flexible bookings allow free cancellation before the specified deadline. [VERIFY]	Medium
Policies & Terms	Does NYX Hotel Dublin Portobello allow parties or events within the hotel?	No parties are permitted in guestrooms; dedicated bar or event spaces must be pre-booked.	Low
Policies & Terms	Is NYX Hotel Dublin Portobello a completely non-smoking property?	Yes, the entire building is designated non-smoking in accordance with Irish legislation.	Medium
Policies & Terms	Is baggage storage available before check-in and after check-out at NYX Hotel Dublin Portobello?	Yes, complimentary luggage storage is offered both before check-in and after check-out.	Medium
Location & Transportation	How long does it take to drive from Dublin Airport to NYX Hotel Dublin Portobello?	Driving from Dublin Airport typically takes around 35 minutes under normal traffic conditions.	Medium
Location & Transportation	Approximately how far is NYX Hotel Dublin Portobello from Dublin City Centre?	The hotel is approximately 3.5 kilometres from Dublin City Centre, an easy ten-minute drive.	Medium
Location & Transportation	Which Dublin Bus routes (14, 15, 83) serve the area around NYX Hotel Dublin Portobello?	Yes, Dublin Bus routes 14, 15 and 83 all stop within a short walk of the hotel entrance.	Low
