Category	Question	Answer	Frequency Level
General Information	האם במלון לאונרדו גורדון ביץ' תל אביב יש אינטרנט אלחוטי חינם בכל חדרי המלון ובשטחים הציבוריים?	כן, ‎חיבור Wi-Fi מהיר וללא תשלום זמין בכל החדרים והאזורים הציבוריים.	High
General Information	האם דלפק הקבלה במלון לאונרדו גורדון ביץ' תל אביב פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש סביב השעון ומעניק שירות 24 שעות ביממה.	Medium
General Information	כמה חדרים וסוויטות מונה מלון לאונרדו גורדון ביץ' תל אביב?	בית המלון מונה 156 חדרי אירוח וסוויטות מסוגים שונים ומגוונים.	Medium
General Information	האם מלון לאונרדו גורדון ביץ' תל אביב מתאים לאירוח משפחות ומציע חדרי משפחה ייעודיים?	כן, במתחם מוצעים חדרי משפחה ייעודיים ושירותים משלימים ההופכים את האירוח לידידותי למשפחות.	High
General Information	האם מלון לאונרדו גורדון ביץ' תל אביב מציע מתקנים נגישים וחדרים מותאמים לאורחים עם מוגבלויות?	כן, קיימים חדרים נגישים, מעלית ומתקנים מותאמים המאפשרים אירוח נוח לאורחים עם מוגבלויות.	Medium
General Information	האם קיימת חניה סמוכה בתשלום לאורחי מלון לאונרדו גורדון ביץ' תל אביב?	כן, חניון ציבורי סמוך זמין לאורחים בתשלום נוסף לפי התעריף המקומי.	Low
General Information	האם צוות מלון לאונרדו גורדון ביץ' תל אביב דובר שפות מרובות לטובת אורחים בינלאומיים?	כן, הצוות דובר עברית, אנגלית וכן שפות נוספות כגון רוסית, צרפתית וספרדית לנוחות אורחים בינלאומיים.	Medium
General Information	האם מלון לאונרדו גורדון ביץ' תל אביב ממוקם על קו החוף ומעניק גישה ישירה לחוף גורדון?	כן, המלון שוכן על קו החוף ומעניק גישה רגלית ישירה לחוף גורדון הסמוך.	High
General Information	האם העיצוב האמנותי של מלון לאונרדו גורדון ביץ' תל אביב כולל תצוגה קבועה מאוסף האמנות של דובי שיף?	כן, חללי הציבור מציגים באופן קבוע יצירות מאוסף האמנות של דובי שיף.	Medium
General Information	האם מלון לאונרדו גורדון ביץ' תל אביב מספק שירות קונסיירז' להזמנת סיורים וכרטיסים לאטרקציות בעיר?	כן, שירות הקונסיירז' ישמח להזמין סיורים מודרכים וכרטיסים לאטרקציות ברחבי תל-אביב.	Low
Accommodation & Room Services	האם כל חדרי מלון לאונרדו גורדון ביץ' תל אביב מצוידים במיזוג אוויר וטלוויזיית LCD עם ערוצי לוויין/כבלים?	כן, כל יחידות האירוח כוללות מיזוג אוויר עצמאי וטלוויזיית LCD עם ערוצי כבלים ולוויין.	High
Accommodation & Room Services	האם חדרי מלון לאונרדו גורדון ביץ' תל אביב כוללים מכונת אספרסו או מתקני הכנת קפה ותה?	כן, בכל החדרים מותקנת מכונת אספרסו וערכת קפה-תה לשימוש חופשי של האורחים.	Low
Accommodation & Room Services	האם יש מיני-בר או מקרר קטן בכל חדר במלון לאונרדו גורדון ביץ' תל אביב?	כן, מיני-בר מצויד או מקרר קטן עומד לרשות האורחים בכל חדר.	Medium
Accommodation & Room Services	האם מלון לאונרדו גורדון ביץ' תל אביב מספק בקבוקי מים מינרליים ללא תשלום בחדרי האירוח?	כן, בקבוקי מים מינרליים ללא חיוב מונחים בחדרי האירוח ומתמלאים לפי הצורך.	Low
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במלון לאונרדו גורדון ביץ' תל אביב במשך שעות היום?	כן, ניתן להזמין שירות חדרים למנות קלות ומשקאות בשעות היום והערב.	Low
Accommodation & Room Services	האם ניתן להזמין סוויטות עם נוף מלא לים התיכון במלון לאונרדו גורדון ביץ' תל אביב?	כן, סוויטות גורדון מציעות נוף פנורמי מלא לים התיכון מזכוכיות מרצפה לתקרה.	Medium
Accommodation & Room Services	האם מלון לאונרדו גורדון ביץ' תל אביב מציע שירותי כביסה וניקוי יבש בתשלום?	כן, שירותי כביסה וניקוי יבש מקצועיים זמינים בהזמנה ותשלום דרך מחלקת הקבלה.	Low
Accommodation & Room Services	האם ניתן להזמין עריסת תינוק בחדר במלון לאונרדו גורדון ביץ' תל אביב ומה העלות?	כן, עריסת תינוק ניתנת להזמנה מראש בעלות של ‎55 ₪ ללילה.	High
Accommodation & Room Services	האם קיימות סוויטות משפחתיות מרווחות במלון לאונרדו גורדון ביץ' תל אביב?	כן, סוויטות ומשפחתיות דלוקס מרווחות מארחות בנוחות זוג הורים ועוד שני ילדים.	Medium
Food & Beverage	האם ארוחת הבוקר במלון לאונרדו גורדון ביץ' תל אביב מוגשת בסגנון בופה עשיר?	כן, ארוחת הבוקר מוגשת מדי יום כבופה ישראלי עשיר במאפים, גבינות, סלטים ודגים.	High
Food & Beverage	האם קיימת במלון לאונרדו גורדון ביץ' תל אביב אפשרות לארוחת בוקר קונטיננטלית?	כן, לצד הבופה ניתן לבחור ארוחת בוקר קונטיננטלית קלה הכוללת מאפים, פירות ומשקאות חמים.	Low
Food & Beverage	האם בלובי מלון לאונרדו גורדון ביץ' תל אביב פועל בר המשקיף לטיילת ולים?	כן, בר הלובי בקומת הקרקע משקיף לטיילת ולים ומגיש קוקטיילים ומנות קלות.	Low
Food & Beverage	האם גג מלון לאונרדו גורדון ביץ' תל אביב כולל בר עונתי לצד בריכת הגג?	כן, על גג המלון פועל בעונת הקיץ בר משקאות סמוך לבריכת הגג.	Medium
Food & Beverage	האם מסעדת מלון לאונרדו גורדון ביץ' תל אביב מגישה מנות ים-תיכוניות המבוססות על חומרי גלם עונתיים?	כן, מסעדת המלון מגישה מנות ים-תיכוניות המבוססות על חומרי גלם טריים ועונתיים.	Low
Food & Beverage	האם ניתן להזמין שירות חדרים לארוחות קלות במלון לאונרדו גורדון ביץ' תל אביב?	כן, ניתן להזמין לחדר כריכים, סלטים ונשנושים קלים מתוך תפריט ייעודי.	Low
Food & Beverage	האם ארוחת הבוקר במלון לאונרדו גורדון ביץ' תל אביב כוללת גלידת יוגורט קפואה חתימה?	כעת לא נמצא אישור להגשת גלידת יוגורט קפואה בארוחת הבוקר. [VERIFY]	Low
Food & Beverage	האם במלון לאונרדו גורדון ביץ' תל אביב מתקיימת שעת Happy Hour עם משקאות מיוחדים?	מידע לגבי שעת Happy Hour במלון טרם אומת ונדרש אישור נוסף. [VERIFY]	Low
Food & Beverage	האם במלון לאונרדו גורדון ביץ' תל אביב פועלת מסעדה פנימית לארוחות צהריים וערב?	לא, המסעדה מגישה ארוחת בוקר יומית וארוחת ערב חגיגית בערבי שישי בלבד, ללא שירות צהריים קבוע.	High
Policies & Terms	מהן שעות הצ'ק-אין והצ'ק-אאוט הרגילות במלון לאונרדו גורדון ביץ' תל אביב?	צ'ק-אין בימים א׳-ו׳ החל מ-15:00; שבתות וחגים מ-18:00. צ'ק-אאוט בימים א׳-ו׳ עד 11:00, שבתות וחגים עד 14:00.	High
Policies & Terms	באיזו שעה מתחיל הצ'ק-אין במלון לאונרדו גורדון ביץ' תל אביב בשבתות ובחגים?	כן, בימי שבת וחג ניתן לבצע צ'ק-אין החל מהשעה 18:00, לאחר צאת השבת.	Medium
Policies & Terms	מהו גיל המינימום הנדרש לביצוע צ'ק-אין במלון לאונרדו גורדון ביץ' תל אביב?	כן, גיל מינימום לצ'ק-אין הוא 18 שנים בהצגת תעודה מזהה תקפה.	High
Policies & Terms	האם אורחים בעלי דרכון תייר פטורים מתשלום מע"מ במלון לאונרדו גורדון ביץ' תל אביב?	כן, אורחים בעלי דרכון זר עם אשרת תייר B2 פטורים מתשלום מע״מ בעת הצ'ק-אאוט.	High
Policies & Terms	מהי מדיניות הביטול של הזמנה ישירה במלון לאונרדו גורדון ביץ' תל אביב?	מדיניות הביטול משתנה לפי העונה; ביטול עד 7 ימי עסקים לפני ההגעה כרוך בעד ‎5% או ‎100 ₪, מאוחר מכך חיובים גבוהים יותר. [VERIFY]	Low
Policies & Terms	אילו תנאים חלים על הזמנת קבוצה של יותר מחמישה חדרים במלון לאונרדו גורדון ביץ' תל אביב?	יש ליצור קשר עם מחלקת המכירות לקבלת חוזה קבוצות ותנאי תשלום ייעודיים להזמנת מעל חמישה חדרים. [VERIFY]	Low
Policies & Terms	האם מלון לאונרדו גורדון ביץ' תל אביב מתיר כניסת חיות מחמד או רק כלבי נחייה?	לא, כניסת חיות מחמד אסורה; מותרת רק כניסת כלבי נחייה לבעלי מוגבלויות.	High
Policies & Terms	האם מלון לאונרדו גורדון ביץ' תל אביב מוגדר כמלון ללא-עישון?	כן, המלון מוגדר כולו כשטח ללא-עישון ומיישם מדיניות אי-עישון קפדנית.	Low
Policies & Terms	אילו אמצעי תשלום מתקבלים בדלפק הקבלה של מלון לאונרדו גורדון ביץ' תל אביב?	בית המלון מקבל כרטיסי אשראי מובילים בלבד ואינו מקבל תשלום במזומן.	Medium
Policies & Terms	האם מלון לאונרדו גורדון ביץ' תל אביב מציע שירות שמירת חפצים לפני צ'ק-אין או לאחר צ'ק-אאוט?	כן, ניתן להשאיר מטען בשירות שמירת חפצים מאובטח לפני צ'ק-אין או לאחר צ'ק-אאוט.	Low
Location & Transportation	מה מרחק ההליכה מחוף גורדון למלון לאונרדו גורדון ביץ' תל אביב?	המלון צמוד לחוף גורדון; ההליכה לחול החוף נמשכת כשתי דקות, כ-350 מטר בלבד.	High
Location & Transportation	כמה רחוק נמצא נמל תל אביב ממלון לאונרדו גורדון ביץ' תל אביב?	נמל תל-אביב שוכן כ-1.8 ק״מ צפונה, נסיעה קצרה של חמש דקות או הליכה נעימה בטיילת.	Low
Location & Transportation	האם צוות מלון לאונרדו גורדון ביץ' תל אביב יכול להזמין מונית או סיור עירוני עבור האורחים?	כן, הצוות ישמח להזמין מוניות, הסעות פרטיות או סיורים מודרכים בעיר ובסביבתה.	Low
Location & Transportation	מה המרחק בין מלון לאונרדו גורדון ביץ' תל אביב לקניון דיזנגוף סנטר?	קניון דיזנגוף סנטר נמצא כ-1.5 ק״מ דרומה, כ-15 דקות הליכה נינוחה.	Low
Location & Transportation	האם במלון לאונרדו גורדון ביץ' תל אביב קיימות שתי חניות נגישות לאורחים עם מוגבלויות?	מידע רשמי לגבי מספר החניות הנגישות טרם פורסם ויש לוודא מול המלון. [VERIFY]	Low
Location & Transportation	האם הטיילת הסמוכה למלון לאונרדו גורדון ביץ' תל אביב מובילה ישירות לעיר העתיקה יפו?	כן, הטיילת הסמוכה ממשיכה דרומה ומובילה ברצף עד לעיר העתיקה יפו.	Low
Location & Transportation	מה המרחק משוק שרונה מרקט למלון לאונרדו גורדון ביץ' תל אביב?	שוק שרונה מרקט ממוקם כ-2.7 ק״מ מדרום-מזרח, כ-10 דקות נסיעה קצרה.	Low
Location & Transportation	כמה רחוק מוזיאון תל אביב לאמנות ממלון לאונרדו גורדון ביץ' תל אביב?	מוזיאון תל-אביב לאמנות מרוחק כ-2.8 ק״מ, נסיעה של פחות מעשר דקות.	Low
Activities & Entertainment	האם מלון לאונרדו גורדון ביץ' תל אביב כולל בריכת גג עונתית והאם הכניסה אליה כלולה במחיר האירוח?	כן, בריכת הגג העונתית פתוחה לאורחי המלון ללא תשלום נוסף במסגרת השהייה.	High
Activities & Entertainment	מאיזה תאריך נפתחת בריכת הגג של מלון לאונרדו גורדון ביץ' תל אביב לעונת 2025?	הבריכה תיפתח לעונת 2025 בתאריך ‎4 באפריל 2025, בכפוף לתנאי מזג האוויר.	Medium
Activities & Entertainment	האם במלון לאונרדו גורדון ביץ' תל אביב פועל מרכז ספא המציע עיסויים וטיפולי גוף?	כן, מרכז הספא מציע עיסויים, סאונה וג'קוזי בהזמנה ותשלום נפרד.	High
Activities & Entertainment	האם במלון לאונרדו גורדון ביץ' תל אביב קיים חדר כושר מאובזר לשימוש חופשי של האורחים?	כן, חדר הכושר המאובזר פתוח מדי יום 07:00-19:00 וזמין ללא עלות לאורחים.	High
Activities & Entertainment	האם במלון לאונרדו גורדון ביץ' תל אביב מוצגות תערוכות אמנות זמניות מתוך אוסף דובי שיף?	כן, במלון מוצגות תערוכות מתחלפות מאוסף דובי שיף לצד אמנות קבועה.	Low
Activities & Entertainment	האם מלון לאונרדו גורדון ביץ' תל אביב מציע שעת Happy Hour על גג המלון?	מידע לגבי שעת Happy Hour על גג המלון טרם התקבל. [VERIFY]	Low
Activities & Entertainment	האם ניתן לקבל מגבות, כיסאות ושמשיות לחוף במסגרת האירוח במלון לאונרדו גורדון ביץ' תל אביב?	מידע על חלוקת מגבות, כיסאות ושמשיות לחוף אינו מאומת בשלב זה. [VERIFY]	Low
Activities & Entertainment	האם צוות מלון לאונרדו גורדון ביץ' תל אביב מסייע ברכישת כרטיסים לאטרקציות ובסיורי יום?	כן, דלפק התיירות מספק סיוע ברכישת כרטיסים ואירגון סיורי יום בסביבה.	Low
