Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Barcelona Las Ramblas provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided throughout all guestrooms and public areas.	High
General Information	Is Leonardo Hotel Barcelona Las Ramblas staffed by a dedicated 24-hour front desk team?	Yes, a courteous multilingual front-desk team is on duty 24 hours a day.	High
General Information	How many guestrooms are available at Leonardo Hotel Barcelona Las Ramblas?	The property offers 115 contemporarily designed guestrooms across multiple categories.	Medium
General Information	Does Leonardo Hotel Barcelona Las Ramblas offer multilingual service at reception?	Yes, reception staff speak several languages, including English, Spanish, Catalan, French, German and Italian.	Medium
General Information	Are accessible rooms and step-free facilities available at Leonardo Hotel Barcelona Las Ramblas for guests with reduced mobility?	Yes, two fully adapted accessible rooms and step-free access ensure comfort for reduced-mobility guests.	High
General Information	Is Leonardo Hotel Barcelona Las Ramblas a 100 % non-smoking hotel?	Yes, the entire property operates as a 100 percent smoke-free hotel.	High
General Information	Does Leonardo Hotel Barcelona Las Ramblas feature an on-site business centre or work-station area for guests?	Yes, a quiet ground-floor business centre with computers and printer is available without reservation.	Medium
General Information	Does Leonardo Hotel Barcelona Las Ramblas provide on-site or nearby public underground parking, and what are the applicable charges?	Yes, secure public underground parking is available nearby at about €40 per day.	Medium
Accommodation & Room Services	Which room categories are offered at Leonardo Hotel Barcelona Las Ramblas (Economy, Comfort, Superior, Deluxe, Family, etc.)?	Economy, Comfort, Superior, Deluxe and Family categories are currently available for booking.	High
Accommodation & Room Services	Do the guestrooms at Leonardo Hotel Barcelona Las Ramblas include coffee- and tea-making facilities as standard?	Yes, every guestroom includes an electric kettle with complimentary coffee and tea supplies.	High
Accommodation & Room Services	Are baby cots available on request at Leonardo Hotel Barcelona Las Ramblas, and is there any additional cost?	Yes, baby cots are provided free of charge upon advance request.	Medium
