Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו בוטיק תל אביב מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, חיבור Wi-Fi חינמי ומהיר זמין בכל החדרים והאזורים הציבוריים של המלון.	High
General Information	האם דלפק הקבלה במלון לאונרדו בוטיק תל אביב פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש מסביב לשעון ומעניק סיוע לאורחים 24/7.	High
General Information	מהו מספר החדרים הכולל במלון לאונרדו בוטיק תל אביב?	במלון 166 חדרים וסוויטות המעוצבים במספר קטגוריות אירוח.	Medium
General Information	האם מלון לאונרדו בוטיק תל אביב הוא מלון ללא-עישון בכל האזורים?	כן, המלון מוגדר כמלון ללא-עישון והעישון אסור בכלל החללים והחדרים.	High
General Information	האם צוות מלון לאונרדו בוטיק תל אביב דובר שפות נוספות מלבד עברית?	כן, הצוות דובר עברית, אנגלית ורוסית ומספק שירות אדיב לאורחים מכל העולם.	Medium
General Information	האם במלון לאונרדו בוטיק תל אביב קיימות עמדות עבודה ואזורי ישיבה לעסקים?	כן, בלובי ובחדרים יש שולחנות עבודה, נקודות חשמל ואינטרנט מהיר לנוחות עסקית מלאה.	Medium
General Information	האם במלון לאונרדו בוטיק תל אביב יש טרקלין עסקים ומהן שעות פעילותו?	טרקלין העסקים קיים אך סגור זמנית לשדרוג; שעות הפתיחה יעודכנו עם חידוש הפעילות.	Medium
General Information	האם מלון לאונרדו בוטיק תל אביב מצויד במעליות נגישות וכסאות גלגלים?	כן, המעליות מונגשות לכיסאות גלגלים וקיימים מסלולי גישה רחבים לכל האזורים.	Medium
General Information	האם במלון לאונרדו בוטיק תל אביב קיימות עמדות טעינה לרכבים חשמליים בקרבת מקום?	Information is currently not available. [VERIFY]	Low
General Information	האם מלון לאונרדו בוטיק תל אביב מאפשר הצטרפות למועדון הטבות של רשת Leonardo במהלך השהייה?	כן, ניתן להירשם במלון למועדון AdvantageCLUB ולקבל הנחות והטבות מיידיות.	Low
Accommodation & Room Services	אילו סוגי חדרים זמינים להזמנה במלון לאונרדו בוטיק תל אביב?	המלון מציע חדרי Superior, Deluxe, Executive, Studio, סוויטת Deluxe וסוויטת Leonardo.	High
Accommodation & Room Services	האם בכל חדר במלון לאונרדו בוטיק תל אביב יש ערכת קפה ותה?	כן, בכל חדר ממתינה ערכת קפה ותה עם קומקום וציוד להכנת משקאות חמים.	High
Accommodation & Room Services	האם חדרי מלון לאונרדו בוטיק תל אביב כוללים מיני-בר מאובזר?	כן, בכל חדר יש מיני-בר או מקרר קטן עם מבחר משקאות קלים.	High
Accommodation & Room Services	האם שירות חדרים במלון לאונרדו בוטיק תל אביב זמין 24 שעות ביממה?	כן, שירות חדרים פועל 24 שעות ומגיש מנות קלות ושתייה לאורך כל היום.	Medium
Accommodation & Room Services	האם מלון לאונרדו בוטיק תל אביב מציע חדרים נגישים לבעלי מוגבלויות?	כן, קיימים לפחות שישה חדרים מונגשים עם דלתות רחבות ומקלחות מותאמות.	High
Accommodation & Room Services	האם ניתן להזמין במלון לאונרדו בוטיק תל אביב כריות נוספות או מצעים היפו-אלרגניים?	כן, אפשר לבקש כריות נוספות ומצעים היפו-אלרגניים מראש דרך הקבלה. [VERIFY]	Low
Accommodation & Room Services	האם במלון לאונרדו בוטיק תל אביב זמינים שירותי כביסה וגיהוץ לאורחים?	כן, שירותי כביסה וגיהוץ מקצועיים זמינים בתוספת תשלום ובתיאום מול הצוות.	Medium
Accommodation & Room Services	האם כל חדרי מלון לאונרדו בוטיק תל אביב כוללים מיזוג אוויר ובקרת טמפרטורה אישית?	כן, כל החדרים מצוידים במערכת מיזוג אוויר נשלטת אישית לנוחות מרבית.	High
Accommodation & Room Services	האם ניתן לקבל מיטת תינוק בחדר במלון לאונרדו בוטיק תל אביב ובהזמנה מוקדמת?	כן, עריסת תינוק זמינה לפי בקשה מוקדמת ובכפוף לזמינות ולתוספת תשלום מינימלית.	Medium
Accommodation & Room Services	האם במלון לאונרדו בוטיק תל אביב יש כספת אישית בחדרים לאחסון חפצי ערך?	כן, בכל חדר מותקנת כספת אלקטרונית לשמירת פריטים יקרי ערך.	High
Food & Beverage	איזו ארוחת בוקר מוגשת במלון לאונרדו בוטיק תל אביב ומהו סגנונה הקולינרי?	ארוחת הבוקר היא בופה ישראלי כשר עשיר במאפים, גבינות, דגים, סלטים ומנות ביצים טריות.	High
Food & Beverage	באילו שעות מוגשת ארוחת הבוקר במלון לאונרדו בוטיק תל אביב בימי ראשון עד חמישי?	בימים ראשון-חמישי הבופה מוגש בין 07:00 ל-10:30 בבוקר.	High
Food & Beverage	מהן שעות ארוחת הבוקר ביום שישי במלון לאונרדו בוטיק תל אביב?	בשישי מוגשת ארוחת הבוקר בין 07:00 ל-11:00.	High
Food & Beverage	מהן שעות ארוחת הבוקר בשבתות ובחגים במלון לאונרדו בוטיק תל אביב?	בשבתות ובחגים הארוחה מוגשת בין 07:00 ל-12:00 בצוהריים.	High
Food & Beverage	האם קיימות במלון לאונרדו בוטיק תל אביב אופציות כשרות, צמחוניות או טבעוניות?	כן, הבופה והמסעדה כוללים מנות כשרות וכן אפשרויות צמחוניות וטבעוניות מסומנות.	Medium
Food & Beverage	האם בר-הלובי של מלון לאונרדו בוטיק תל אביב פתוח גם לאורחים שאינם לנים במלון?	כן, הבר מקבל גם מבקרים חיצוניים בכפוף לזמינות המקומות ולמדיניות המלון. [VERIFY]	Low
Food & Beverage	האם מלון לאונרדו בוטיק תל אביב מציע תפריט נטול גלוטן בהזמנה מראש?	כן, תפריט או מנות נטולות גלוטן ניתנות בהזמנה מראש לצוות המסעדה.	Low
Food & Beverage	האם ניתן להזמין שירות חדרים קולינרי בשעות הערב במלון לאונרדו בוטיק תל אביב?	כן, תפריט שירות החדרים זמין גם בערבים ומציע מנות חמות וקרות.	Medium
Food & Beverage	אילו משקאות אלכוהוליים מוגשים ב-Leo’s, מסעדת מלון לאונרדו בוטיק תל אביב?	Leo’s מגיש יינות מקומיים, קוקטיילים קלאסיים, ליקרים מובחרים ובירות פרימיום.	Low
Food & Beverage	האם במלון לאונרדו בוטיק תל אביב מוגש תפריט ילדים בארוחות הבוקר או הערב?	Information is currently not available. [VERIFY]	Low
Policies & Terms	מהן שעות הצ'ק-אין והצ'ק-אאוט במלון לאונרדו בוטיק תל אביב בימי חול?	צ'ק-אין החל מ-15:00 וצ'ק-אאוט עד 11:00 בימים ראשון-שישי.	High
Policies & Terms	מהן שעות הצ'ק-אין והצ'ק-אאוט בשבתות ובחגים במלון לאונרדו בוטיק תל אביב?	בשבתות ובחגים הצ'ק-אין מתבצע מ-18:00 והצ'ק-אאוט עד 14:00.	High
Policies & Terms	האם מלון לאונרדו בוטיק תל אביב מאפשר צ'ק-אין מוקדם או צ'ק-אאוט מאוחר על-פי זמינות?	כן, ניתן לבקש הגעה מוקדמת או עזיבה מאוחרת בכפוף לזמינות ותוספת תשלום אפשרית.	Medium
Policies & Terms	מהו מדיניות הביטול וההחזר במלון לאונרדו בוטיק תל אביב בהזמנה גמישה?	במדיניות גמישה ניתן לבטל ללא חיוב עד 24-48 שעות לפני ההגעה, בהתאם לסוג התעריף. [VERIFY]	High
Policies & Terms	האם מלון לאונרדו בוטיק תל אביב גובה פיקדון ביטחון בעת ההגעה?	המלון אינו מפרסם דרישת פיקדון; כרטיס אשראי נדרש לביטחון על הוצאות. [VERIFY]	Low
Policies & Terms	מהי מדיניות מלון לאונרדו בוטיק תל אביב לגבי חיות מחמד וכלבי נחייה?	לא, חיות מחמד אינן מורשות; כלבי נחייה מתקבלים ללא תשלום ובעדיפות מלאה.	High
Policies & Terms	האם קיימת מגבלת גיל מינימלית לצ'ק-אין במלון לאונרדו בוטיק תל אביב?	כן, הגיל המינימלי לביצוע צ'ק-אין הוא 18 שנים.	Medium
Policies & Terms	האם ניתן לבצע צ'ק-אין אקספרס במלון לאונרדו בוטיק תל אביב?	כן, קיימת אפשרות לצ'ק-אין אקספרס מקוצר לשיפור חוויית ההגעה.	Medium
Policies & Terms	האם מלון לאונרדו בוטיק תל אביב מציע שירות שמירת חפצים לפני צ'ק-אין או לאחר צ'ק-אאוט?	כן, דלפק הקבלה ישמור מזוודות ללא עלות לפני ההגעה או לאחר העזיבה. [VERIFY]	Medium
Policies & Terms	מהו דמי החניה היומיים במלון לאונרדו בוטיק תל אביב והאם נדרש להזמין מקום מראש?	עלות חניה מקורה היא 80 ₪ ליום; יש להזמין מקום לפחות 24 שעות מראש בשל מספר מקומות מוגבל.	High
Location & Transportation	היכן בדיוק ממוקם מלון לאונרדו בוטיק תל אביב ברמת החייל?	המלון נמצא ברחוב הברזל 17, בלב רובע העסקים וההייטק רמת החייל בתל-אביב.	High
Location & Transportation	מהו מרחק הנסיעה מנמל התעופה בן-גוריון אל מלון לאונרדו בוטיק תל אביב?	המרחק כ-20 ק״מ, נסיעה ממוצעת של כ-25-30 דקות ברכב בהתאם לתנועה.	High
Location & Transportation	האם מלון לאונרדו בוטיק תל אביב מציע שירות הסעה יומי לחוף הילטון?	כן, המלון מפעיל שאטל חינם לחוף Hilton בהתאם ללוחות הזמנים המפורסמים.	Medium
Location & Transportation	באילו שעות יוצא שירות ההסעה של מלון לאונרדו בוטיק תל אביב אל חוף הים?	השאטל יוצא בשעה 11:00 וב-15:00; בסופי-שבוע יש נסיעה נוספת ב-20:00 לנמל תל-אביב.	Medium
Location & Transportation	האם במלון לאונרדו בוטיק תל אביב ניתן להזמין מוניות או שירות השכרת רכב דרך הקונסיירז'?	כן, צוות הקבלה ישמח להזמין מונית או לתאם השכרת רכב לפי דרישת האורח.	Medium
Location & Transportation	האם יש תחנת רכבת או אוטובוס במרחק הליכה ממלון לאונרדו בוטיק תל אביב?	כן, תחנת הרכבת בני-ברק ותחנות אוטובוס רבות ממוקמות בטווח הליכה קצר.	Medium
Location & Transportation	האם במלון לאונרדו בוטיק תל אביב קיימת חניה מקורה וכמה מקומות זמינים?	חניון מקורה קטן זמין במקום; מספר המקומות מוגבל וטעון הזמנה מראש.	Medium
Location & Transportation	אילו אטרקציות מרכזיות ממוקמות במרחק נסיעה קצר ממלון לאונרדו בוטיק תל אביב?	פארק הירקון, מרכז הירידים, קניון רמת אביב ותיאטרון הבימה נמצאים במרחק קצר.	Medium
Location & Transportation	האם מלון לאונרדו בוטיק תל אביב מספק שירותי ניווט או מפות לאורחים?	כן, בדלפק הקבלה ניתן לקבל מפות מודפסות והמלצות מסלול בעיר. [VERIFY]	Low
Activities & Entertainment	האם במלון לאונרדו בוטיק תל אביב יש חדר כושר מאובזר לשימוש האורחים?	כן, חדר כושר מציע ציוד אירובי, משקולות ומבט פנורמי על העיר.	High
Activities & Entertainment	מהן שעות פעילות חדר הכושר במלון לאונרדו בוטיק תל אביב?	חדר הכושר פתוח 24 שעות ביממה ונגיש באמצעות כרטיס החדר. [VERIFY]	Medium
Activities & Entertainment	האם מלון לאונרדו בוטיק תל אביב מציע שיעורי כושר פרטיים או קבוצתיים בתיאום מראש?	שיעורי אימון אישיים או קבוצתיים אפשריים בהזמנה מוקדמת ובתשלום נוסף. [VERIFY]	Low
Activities & Entertainment	האם במלון לאונרדו בוטיק תל אביב ניתן לשכור אופניים ולצאת לסיורים בעיר?	כן, ניתן להשכיר אופניים בדלפק הקבלה ולגלות את תל-אביב ברכיבה.	Low
Activities & Entertainment	אילו מתקני כנסים ואירועים זמינים במלון לאונרדו בוטיק תל אביב לקבוצות עסקיות?	המלון מציע שני אולמות ישיבות מודולריים, ציוד אודיו-ויזואלי ומרכז עסקי.	High
Activities & Entertainment	האם מלון לאונרדו בוטיק תל אביב מציע פעילויות ערב או הופעות חיות לאורחים?	לא, המלון אינו מפעיל תכנית בידור; צוות הקבלה ימליץ על מקומות בילוי סמוכים.	Low
Activities & Entertainment	האם קיימת מרפסת גג או אזור ישיבה חיצוני לנוף העיר במלון לאונרדו בוטיק תל אביב?	אין מרפסת גג ייעודית; האורחים נהנים מנופי עיר דרך חלונות הלובי והחדרים. [VERIFY]	Medium
Activities & Entertainment	האם טרקלין העסקים במלון לאונרדו בוטיק תל אביב פתוח 24 שעות ביממה?	לא, טרקלין העסקים סגור זמנית ולכן אינו פעיל 24 שעות בשלב זה.	Medium
Activities & Entertainment	האם מלון לאונרדו בוטיק תל אביב מציע שירותי ספא או עיסויים בקרבת מקום?	כן, הקונסיירז' יכול לתאם עיסויים בחדר או בספא חיצוני סמוך על פי דרישה.	Low
