Category	Question	Answer	Frequency Level
General Information	Is Wi-Fi free at Hotel Erfurt City Center by Leonardo Hotels?	Yes, Wi-Fi is free for all guests at Hotel Erfurt City Center by Leonardo Hotels, covering every guest room and all public areas.	High
General Information	What are the check-in and check-out times at Hotel Erfurt City Center by Leonardo Hotels?	At Hotel Erfurt City Center by Leonardo Hotels, check-in is from 15:00, and check-out is by 12:00 noon.	High
General Information	Does Hotel Erfurt City Center by Leonardo Hotels operate a 24-hour front desk?	Yes, the reception desk is staffed 24 hours a day, allowing arrivals and guest assistance at any time.	High
General Information	Does Hotel Erfurt City Center by Leonardo Hotels provide on-site parking and what is the daily fee?	Hotel Erfurt City Center by Leonardo Hotels offers secure on-site parking beneath the hotel for €19 per vehicle, per day.	High
General Information	Is Hotel Erfurt City Center by Leonardo Hotels a smoke-free property?	Yes, Hotel Erfurt City Center by Leonardo Hotels is a completely non-smoking hotel in all indoor areas.	Medium
General Information	Does Hotel Erfurt City Center by Leonardo Hotels offer accessible rooms for guests with reduced mobility?	Yes, one wheelchair-accessible guest room is available and should be reserved in advance.	Medium
General Information	Does the staff at Hotel Erfurt City Center by Leonardo Hotels speak multiple languages?	Yes, front-office staff speak several languages, including German and English, to assist international guests.	Medium
General Information	How many guest rooms are there at Hotel Erfurt City Center by Leonardo Hotels?	The property has 153 contemporary guest rooms across several categories.	Low
Accommodation & Room Services	What room categories are available at Hotel Erfurt City Center by Leonardo Hotels?	Room types include Comfort Double, Comfort Twin, Family Triple, Superior Double, Superior Twin, and one Junior Suite.	High
Accommodation & Room Services	Does Hotel Erfurt City Center by Leonardo Hotels offer family rooms or triple rooms?	Yes, a dedicated Family Triple Room is offered and can sleep up to three guests.	High
Accommodation & Room Services	Does Hotel Erfurt City Center by Leonardo Hotels have a junior suite?	Yes, Hotel Erfurt City Center by Leonardo Hotels features one spacious Junior Suite with a separate seating area.	Medium
Accommodation & Room Services	Do rooms at Hotel Erfurt City Center by Leonardo Hotels include a mini-fridge?	Yes, every guest room is equipped with a mini-fridge for personal drinks or snacks.	Medium
Accommodation & Room Services	Do rooms at Hotel Erfurt City Center by Leonardo Hotels have an in-room safe?	Yes, an electronic in-room safe is provided in all accommodation categories for securing valuables.	Medium
Accommodation & Room Services	Do rooms at Hotel Erfurt City Center by Leonardo Hotels have air conditioning?	No, guestrooms are not fitted with air conditioning; windows can be opened for natural ventilation.	High
Accommodation & Room Services	Are baby cots available on request at Hotel Erfurt City Center by Leonardo Hotels?	Yes, baby cots are available free of charge when requested in advance during the booking process.	Medium
Accommodation & Room Services	Can guests request a city-view or courtyard-view room at Hotel Erfurt City Center by Leonardo Hotels?	Yes, guests booking higher categories may request either a city-facing view or a quieter courtyard view, subject to availability.	Low
Food & Beverage	Is a daily breakfast buffet served at Hotel Erfurt City Center by Leonardo Hotels?	Yes, a varied buffet breakfast is served every morning in the hotel’s restaurant.	High
Food & Beverage	What are the breakfast serving hours at Hotel Erfurt City Center by Leonardo Hotels on weekdays?	On weekdays, the buffet is available from 06:00 until 10:00.	High
Food & Beverage	What are the breakfast serving hours at Hotel Erfurt City Center by Leonardo Hotels on weekends and public holidays?	On weekends and public holidays, breakfast is served from 07:00 to 11:00.	High
Food & Beverage	What is the price per person for the breakfast buffet at Hotel Erfurt City Center by Leonardo Hotels?	The breakfast buffet costs €19 per person, payable directly at the restaurant.	High
Food & Beverage	Does Hotel Erfurt City Center by Leonardo Hotels provide vegetarian, vegan, or gluten-free options at breakfast?	Yes, vegetarian, vegan, and gluten-free choices can be prepared on request; guests should advise the team in advance. [VERIFY]	Medium
