Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Salzburg Gablerbräu provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available throughout all guestrooms and public areas.	High
General Information	Is the reception desk at Leonardo Boutique Hotel Salzburg Gablerbräu staffed 24 hours a day?	Yes, the front desk is staffed continuously, providing 24-hour assistance to arriving or departing guests.	High
General Information	What are the official check-in and check-out times at Leonardo Boutique Hotel Salzburg Gablerbräu?	Check-in officially begins at 3:00 pm, while check-out must be completed by 12:00 noon.	High
General Information	How many guestrooms are there at Leonardo Boutique Hotel Salzburg Gablerbräu?	The property comprises 71 well-appointed guestrooms and suites in total.	Medium
General Information	Is Leonardo Boutique Hotel Salzburg Gablerbräu housed in a historic building on Linzer Gasse?	Yes, it occupies a centuries-old historic building located directly on pedestrian Linzer Gasse.	Medium
General Information	Does the multilingual team at Leonardo Boutique Hotel Salzburg Gablerbräu speak both English and German?	Yes, the courteous team is multilingual and serves guests fluently in both German and English.	Low
General Information	Does Leonardo Boutique Hotel Salzburg Gablerbräu participate in the Leonardo AdvantageCLUB loyalty programme?	Yes, guests may earn and redeem points through the Leonardo AdvantageCLUB loyalty programme.	Low
General Information	Is Leonardo Boutique Hotel Salzburg Gablerbräu a non-smoking property?	Yes, the entire hotel operates as a strictly non-smoking property.	Medium
General Information	Does Leonardo Boutique Hotel Salzburg Gablerbräu offer an outdoor terrace for guest relaxation?	Yes, an inviting outdoor terrace is available where guests can sit back and unwind.	Low
General Information	Are eco-friendly cleaning products used in guestrooms at Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, eco-friendly cleaning products are used in all guestrooms for sustainable housekeeping.	Low
Accommodation & Room Services	Are all rooms at Leonardo Boutique Hotel Salzburg Gablerbräu fully air-conditioned?	Yes, every guestroom is fully air-conditioned with individual climate control.	High
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel Salzburg Gablerbräu include a Nespresso coffee machine or similar tea-and-coffee facilities?	Yes, each room features a Nespresso coffee machine together with complimentary tea and coffee supplies.	Medium
Accommodation & Room Services	Is a minibar or refrigerator provided in every room at Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, every room is equipped with a mini-fridge minibar to keep drinks and snacks chilled.	High
Accommodation & Room Services	Are hypo-allergenic bedding and premium pillows available at Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, hypo-allergenic bedding and premium pillows can be provided on request for enhanced comfort.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Salzburg Gablerbräu supply complimentary toiletries and a rain shower in all bathrooms?	Yes, bathrooms include complimentary toiletries and a walk-in rain shower for guests’ convenience.	High
Accommodation & Room Services	Can guests request an iron and ironing board at Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, an iron and ironing board can be delivered to the room on request.	Low
Accommodation & Room Services	Are the rooms at Leonardo Boutique Hotel Salzburg Gablerbräu sound-proofed for additional comfort?	Yes, guestrooms are sound-proofed to ensure a restful and quiet stay.	Low
Accommodation & Room Services	Does the Rooftop Suite at Leonardo Boutique Hotel Salzburg Gablerbräu feature panoramic city views?	Yes, the 96 m² Rooftop Suite commands sweeping panoramic views over Salzburg’s Old Town and fortress.	Low
Accommodation & Room Services	Does Leonardo Boutique Hotel Salzburg Gablerbräu offer family rooms or suites suitable for larger groups?	Yes, generous Family Rooms and Suites are available to accommodate families or larger groups comfortably.	Medium
Accommodation & Room Services	Are cribs or extra beds available at Leonardo Boutique Hotel Salzburg Gablerbräu?	Cribs for children up to two years are available free of charge, while extra beds are not provided.	Low
Food & Beverage	Does Leonardo Boutique Hotel Salzburg Gablerbräu serve a daily buffet breakfast?	Yes, a plentiful daily buffet breakfast is served each morning in the restaurant.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Boutique Hotel Salzburg Gablerbräu?	Breakfast is served Monday to Friday from 07:00 until 10:00.	High
Food & Beverage	What are the weekend and holiday breakfast hours at Leonardo Boutique Hotel Salzburg Gablerbräu?	On Saturdays, Sundays and public holidays breakfast runs from 07:00 to 10:30.	High
Food & Beverage	What is the current price per person for the breakfast buffet at Leonardo Boutique Hotel Salzburg Gablerbräu?	The breakfast buffet is currently priced at €16 per person.	High
Food & Beverage	Does Leonardo Boutique Hotel Salzburg Gablerbräu operate an on-site bar serving drinks throughout the day and evening?	Yes, the stylish hotel bar serves hot and cold beverages throughout the day and into the evening.	Medium
Food & Beverage	May non-resident guests visit the bar at Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, non-resident visitors are welcome to enjoy drinks at the bar. [VERIFY]	Low
Food & Beverage	Does Leonardo Boutique Hotel Salzburg Gablerbräu provide a complimentary bottle of mineral water upon arrival?	Yes, a complimentary bottle of mineral water awaits guests in their room on arrival.	Medium
Food & Beverage	Are vegetarian or gluten-free options available at the breakfast buffet in Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, the breakfast buffet includes a selection of vegetarian and gluten-free items.	Low
Policies & Terms	What is the minimum age required to check in at Leonardo Boutique Hotel Salzburg Gablerbräu?	The minimum age for check-in is 18 years.	High
Policies & Terms	Is early check-in or late check-out available at Leonardo Boutique Hotel Salzburg Gablerbräu, and are additional fees applicable?	Early check-in or late check-out can be arranged subject to availability and may incur an additional fee.	Medium
Policies & Terms	What is the pet policy at Leonardo Boutique Hotel Salzburg Gablerbräu, including permitted animals and daily fee?	Yes, well-behaved dogs and cats are welcome for a fee of €20 per pet, per day.	High
Policies & Terms	Does Leonardo Boutique Hotel Salzburg Gablerbräu accept cash payments at the front desk?	Yes, the hotel accepts cash in addition to major credit and debit cards.	Low
Policies & Terms	Does Leonardo Boutique Hotel Salzburg Gablerbräu provide complimentary luggage storage before check-in or after check-out?	Yes, complimentary luggage storage is offered both before check-in and after check-out.	Medium
Policies & Terms	Is a city tourism tax payable at Leonardo Boutique Hotel Salzburg Gablerbräu, and if so, what is the current amount?	A local city tax is payable; the exact amount will be confirmed at check-in. [VERIFY]	Medium
Policies & Terms	Does Leonardo Boutique Hotel Salzburg Gablerbräu require a credit-card deposit or pre-authorisation at check-in?	A credit-card pre-authorisation may be taken on arrival to guarantee incidentals. [VERIFY]	Low
Policies & Terms	Can guests driving through the pedestrian zone receive an access code from Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, motorists can obtain an access code from reception to lower the bollard and reach the hotel by car.	Medium
Policies & Terms	Does Leonardo Boutique Hotel Salzburg Gablerbräu operate a smoke-free policy in all guestrooms and public areas?	Yes, smoking is prohibited in all guestrooms and public areas.	Medium
Location & Transportation	Is Leonardo Boutique Hotel Salzburg Gablerbräu situated within Salzburg’s Linzer Gasse pedestrian zone?	Yes, the hotel stands within the Linzer Gasse pedestrian zone in Salzburg’s historic centre.	High
Location & Transportation	How far is Leonardo Boutique Hotel Salzburg Gablerbräu from Salzburg Central Station?	Salzburg Central Station is approximately 2.6 km away, about 10 minutes by taxi or 15 minutes on foot.	High
Location & Transportation	What is the approximate distance between Leonardo Boutique Hotel Salzburg Gablerbräu and Salzburg Airport W. A. Mozart?	Salzburg Airport W. A. Mozart lies roughly 6.2 km from the hotel, a 15-minute drive.	Medium
Location & Transportation	Does Leonardo Boutique Hotel Salzburg Gablerbräu offer discounted parking at the nearby Mirabell-Congress or Linzer Gasse garages?	Yes, guests benefit from discounted parking—currently around €26 per day—at both Mirabell-Congress and Linzer Gasse garages.	High
Location & Transportation	Are electric vehicle charging stations available at the recommended garages for guests of Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, both recommended garages are equipped with electric vehicle charging stations.	Medium
Location & Transportation	Which major Salzburg landmarks are within walking distance of Leonardo Boutique Hotel Salzburg Gablerbräu?	Mirabell Palace, Mozart’s Birthplace, Salzburg Cathedral and Hohensalzburg Fortress are all reachable on foot.	Medium
Location & Transportation	Which public bus stop is closest to Leonardo Boutique Hotel Salzburg Gablerbräu, and how far is it on foot?	The nearest stop is Makartplatz, located about 210 metres—or a three-minute stroll—from the entrance.	Low
Location & Transportation	Can the concierge at Leonardo Boutique Hotel Salzburg Gablerbräu assist with taxi or car-rental arrangements?	Yes, the concierge team will gladly arrange taxi transfers or car-rental reservations for guests.	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Salzburg Gablerbräu provide an on-site terrace where guests can relax with city views?	Yes, an upper-level terrace allows guests to relax while enjoying pleasant city views.	Medium
Activities & Entertainment	Does the team at Leonardo Boutique Hotel Salzburg Gablerbräu offer tour or ticket assistance for Salzburg attractions and concerts?	Yes, the staff provide comprehensive tour and ticket assistance for local attractions, concerts and excursions.	Medium
Activities & Entertainment	Are guided walking tours of Salzburg available through Leonardo Boutique Hotel Salzburg Gablerbräu?	Yes, guided walking tours can be organised with trusted local partners through the concierge. [VERIFY]	Low
Activities & Entertainment	Does Leonardo Boutique Hotel Salzburg Gablerbräu have an on-site fitness centre or gym?	No, the property does not feature an on-site fitness centre or gym.	High
Activities & Entertainment	Is there an indoor pool, sauna, or spa facility at Leonardo Boutique Hotel Salzburg Gablerbräu?	No, the hotel does not offer an indoor pool, sauna or dedicated spa facility.	High
