Category	Question	Answer	Frequency Level
מידע כללי	האם במלון כנען יש אינטרנט-Wi-Fi אלחוטי חינם בכל שטחי המלון?	כן, רשת Wi-Fi מהירה וחינמית זמינה בכל החדרים והאזורים הציבוריים ללא צורך בסיסמה.	High
מידע כללי	האם דלפק הקבלה במלון כנען פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש ומעניק מענה טלפוני ופיזי 24 שעות ביממה.	High
מידע כללי	מהן שעות הצ’ק-אין והצ’ק-אאוט במלון כנען בימי חול, בשבתות ובמוצאי חגים?	צ’ק-אין בימי חול החל מ-15:00, צ’ק-אאוט עד 11:00; בשבתות ומוצאי חגים הכניסה החל מ-18:00 והעזיבה עד 14:00.	High
מידע כללי	האם מלון כנען מיועד למבוגרים בלבד, ואם כן מאיזה גיל?	כן, המלון מארח מבוגרים מגיל 16 ומעלה בלבד, לשהייה שקטה ורגועה.	High
מידע כללי	כמה חדרים וסוויטות יש במלון כנען?	במלון 119 חדרים וסוויטות מעוצבים המחוברים לנוף הגלילי.	Medium
מידע כללי	אילו שפות מדברים אנשי הצוות במלון כנען?	צוות המלון דובר עברית, אנגלית, צרפתית ואיטלקית ומסייע בשפות אלו בכל עת.	Medium
מידע כללי	האם במלון כנען קיימים חדרים ומתקנים מונגשים לאורחים עם מוגבלויות?	כן, ישנם חדרי נגישות, חניות נגישות ומעליות לשטחים הציבוריים, הבריכה והספא.	Medium
מידע כללי	האם במלון כנען יש אזור “צ’יל-אאוט” או טרקלין ייעודי לאורחים?	כן, בלובי קיים Chill-Out מרווח עם קמין ופינות ישיבה רגועות לאורחים.	Low
מידע כללי	האם מלון כנען מציע שירות שמירת חפצים לפני צ’ק-אין או לאחר צ’ק-אאוט?	כן, מחסן מזוודות מאובטח עומד לרשות האורחים ללא תשלום לפני ההגעה או לאחר העזיבה.	Medium
אירוח ושירותי חדרים	אילו סוגי חדרים וסוויטות זמינים להזמנה במלון כנען?	ניתן להזמין Slow Superior, Slow Deluxe, Junior Suite עם ג’קוזי, Slow Suite, Studio Slow, Presidential Suite וחדרים מונגשים.	High
אירוח ושירותי חדרים	האם בכל חדר במלון כנען יש מיזוג אוויר ובידוד רעשים לשהייה שקטה?	כן, כל החדרים ממוזגים וכוללים חלונות ודלתות מבודדי רעש לשהייה נינוחה.	Medium
אירוח ושירותי חדרים	האם חדרי מלון כנען כוללים מיני-בר, ערכת קפה/תה וכספת אישית?	כן, בכל חדר מיני-בר מצויד, מכונת קפה, קומקום חשמלי וכספת אלקטרונית אישית.	High
אירוח ושירותי חדרים	האם מלון כנען מספק חלוקי רחצה, נעלי בית ומוצרי טיפוח טבעיים ללא תשלום?	כן, החדרים מצוידים בחלוקי רחצה, נעלי בית ומוצרי טיפוח טבעיים מבית Canaan House.	Medium
אירוח ושירותי חדרים	האם ניתן להזמין שירות חדרים במלון כנען במשך 24 שעות ביממה?	Currently, שעות שירות החדרים מוגבלות ואינן פועלות סביב השעון. [VERIFY]	Medium
אירוח ושירותי חדרים	האם במלון כנען זמינים שירותי כביסה, ניקוי יבש וגיהוץ לאורחים?	כן, שירותי כביסה, ניקוי יבש וגיהוץ מוצעים בתוספת תשלום ובאיסוף ישיר מהחדר.	Medium
אירוח ושירותי חדרים	האם בכל חדר במלון כנען יש טלוויזיית LCD עם ערוצי כבלים?	כן, בחדרים מותקנת טלוויזיית Smart TV עם מגוון ערוצי Satellite וכבלים בינלאומיים.	Medium
אירוח ושירותי חדרים	האם ניתן לקבל מצעים היפואלרגניים או כריות נוספות במלון כנען לפי בקשה?	כן, מצעים היפואלרגניים וכריות נוספות מסופקים לפי בקשה מראש ובהתאם למלאי. [VERIFY]	Low
אירוח ושירותי חדרים	האם מלון כנען מעניק שירות סידור חדרים יומי (Housekeeping) לכל החדרים?	כן, ניקיון וסידור חדרים יומי כלול במחיר ומתבצע בשעות הבוקר-צהריים.	Medium
מזון ומשקאות	האם במלון כנען מוגשת ארוחת בוקר גלילית בסגנון מזנון עשיר?	כן, מוגשת ארוחת בוקר גלילית עשירה ומגוונת בחדר האוכל המרכזי.	High
מזון ומשקאות	מהן שעות ההגשה של ארוחת הבוקר במלון כנען?	הארוחה מוגשת מדי יום בין 07:00 ל-10:30 בבוקר.	High
מזון ומשקאות	האם מסעדת מלון כנען מציעה מנות טבעוניות, צמחוניות וללא גלוטן?	כן, התפריט העונתי כולל מבחר מנות טבעוניות, צמחוניות ואופציות נטולות גלוטן לפי בקשה.	Medium
מזון ומשקאות	האם בר היין 26.8 במלון כנען פעיל מדי יום, ואם כן מהן שעות הפעילות?	כן, הבר פתוח א‘-ה‘ 12:00-15:30 ו-18:00-23:00, ו‘ 11:00-15:00; סגור בשבת.	Medium
