Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו ירושלים מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, אינטרנט אלחוטי מהיר וללא עלות מכסה את כל שטחי המלון הציבוריים והחדרים.	High
General Information	מהן שעות פעילות דלפק הקבלה במלון לאונרדו ירושלים?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומספק מענה אדיב בכל עת.	High
General Information	האם מלון לאונרדו ירושלים מתאים למשפחות עם ילדים?	כן, מועדוני ילדים ונוער, חדרי משפחה ובריכה מקנים חוויית אירוח ידידותית למשפחות.	High
General Information	באילו שפות ניתן לקבל שירות במלון לאונרדו ירושלים?	כן, צוות המלון מעניק שירות בארבע שפות עיקריות: עברית, אנגלית, ערבית ורוסית.	Medium
General Information	האם במלון לאונרדו ירושלים קיימת גישה מלאה לנכים וחדרים נגישים?	כן, המלון נגיש כולו וכולל חדרים מותאמים, מעליות ורחבות כניסה לכיסאות גלגלים.	High
General Information	כמה חדרים יש במלון לאונרדו ירושלים וכיצד הם מתחלקים לקטגוריות?	במלון 398 יחידות בקטגוריות סופריור, סופריור-מרפסת, חדרי משפחה וסוויטות אקזקיוטיב מרווחות.	Medium
General Information	האם מלון לאונרדו ירושלים כולל מרכז כנסים או חדרי ישיבות מאובזרים?	כן, במתחם אולמות אירועים עם טכנולוגיית ועידות חדישה המתאימים לפגישות וכנסים שונים.	Medium
General Information	האם יש בית כנסת בתוך מלון לאונרדו ירושלים לשימוש האורחים?	כן, חדר בית כנסת עומד לרשות האורחים לתפילה ושימוש יומיומי נוח.	Low
General Information	האם מלון לאונרדו ירושלים מספק שירות Welcome Baby וחבילות לתינוקות?	כן, שירות Welcome Baby מעניק מיטת תינוק, אמבט תינוק ופריטים חיוניים נוספים בהזמנה מראש.	Low
Accommodation & Room Services	האם בכל חדרי מלון לאונרדו ירושלים יש מיזוג אוויר וחימום נשלטים עצמאית?	כן, כל החדרים מצוידים במערכת מיזוג וחימום אישית הנשלטת בקלות על-ידי האורח.	High
Accommodation & Room Services	האם חדרי מלון לאונרדו ירושלים כוללים ערכות קפה ותה ללא תשלום?	כן, בכל חדר ממתינה עמדה להכנת קפה ותה, לרבות קומקום וחליטות ללא עלות.	High
Accommodation & Room Services	האם במלון לאונרדו ירושלים זמינים חדרי סופריור עם מרפסת ונוף לעיר?	כן, ניתן להזמין חדרי סופריור-מרפסת המציעים נוף עירוני ירושלמי פתוח ומרגיע.	Medium
