Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Erfurt provide complimentary Wi-Fi throughout the property?	Yes, high-speed Wi-Fi is free of charge in all rooms and public areas.	High
General Information	What are the standard check-in and check-out times at NYX Hotel Erfurt?	Check-in begins at 15:00, while check-out is required by 12:00 noon.	High
General Information	Is the reception at NYX Hotel Erfurt staffed 24 hours a day?	Yes, the front desk is manned around the clock for any guest need.	High
General Information	Does NYX Hotel Erfurt have multilingual staff at the front desk?	Yes, reception staff speak German, English, and additional languages to assist visitors.	Medium
General Information	Does NYX Hotel Erfurt offer on-site parking for hotel guests?	Yes, a limited underground car park is available directly at the hotel for a daily fee.	High
General Information	Are meeting and conference facilities available at NYX Hotel Erfurt?	Yes, several fully equipped meeting rooms and event spaces can be reserved in advance.	Medium
General Information	Is NYX Hotel Erfurt a family-friendly property?	Yes, children are welcome and extra beds or cribs can be arranged on request.	Medium
General Information	Does NYX Hotel Erfurt provide accessible rooms and facilities for guests with reduced mobility?	Yes, barrier-free guestrooms, step-free access, and adapted public facilities are available.	Medium
General Information	Is luggage storage available before check-in or after check-out at NYX Hotel Erfurt?	Yes, complimentary luggage storage is offered at reception for early arrivals or late departures.	Medium
Accommodation & Room Services	Are the guestrooms at NYX Hotel Erfurt equipped with air-conditioning?	Yes, every guestroom includes individually controlled air-conditioning.	High
Accommodation & Room Services	Does every room at NYX Hotel Erfurt feature a minibar or small fridge?	Yes, a stocked minibar fridge is provided in all accommodation categories.	High
Accommodation & Room Services	Are tea and coffee making facilities provided in the rooms at NYX Hotel Erfurt?	Yes, each room comes with an electric kettle plus complimentary tea and coffee. [VERIFY]	Medium
Accommodation & Room Services	Does NYX Hotel Erfurt supply complimentary toiletries in all bathrooms?	Yes, eco-friendly bath amenities are supplied free of charge in every private bathroom.	High
Accommodation & Room Services	Are hairdryers available in the rooms at NYX Hotel Erfurt?	Yes, a wall-mounted or handheld hairdryer is standard in every bathroom.	High
Accommodation & Room Services	Can guests at NYX Hotel Erfurt request hypoallergenic bedding or extra pillows?	Yes, hypoallergenic bedding and additional pillows can be requested through housekeeping at any time.	Medium
Accommodation & Room Services	Is room service available 24 hours a day at NYX Hotel Erfurt?	No, room service is currently not offered; snacks are available at the bar. [VERIFY]	Low
Accommodation & Room Services	Does NYX Hotel Erfurt offer an in-room safe for valuables?	Yes, each room contains a laptop-size safe with electronic lock.	Medium
Accommodation & Room Services	Is daily housekeeping service included for rooms at NYX Hotel Erfurt?	Yes, rooms are cleaned and refreshed daily unless guests opt for the green choice.	High
Food & Beverage	Does NYX Hotel Erfurt serve a daily buffet breakfast?	Yes, an extensive hot and cold buffet breakfast is prepared each morning.	High
Food & Beverage	What are the breakfast hours at NYX Hotel Erfurt?	Breakfast is served 06:30–10:30 Monday–Friday and 07:00–11:00 on weekends. [VERIFY]	High
Food & Beverage	Are vegetarian or vegan breakfast options available at NYX Hotel Erfurt?	Yes, dedicated vegetarian and vegan items are included on the buffet every day.	Medium
Food & Beverage	Does NYX Hotel Erfurt have an on-site bar?	Yes, the stylish NYX Bar is located on the ground floor near reception.	High
Food & Beverage	Can non-residents visit the bar at NYX Hotel Erfurt?	Yes, the bar welcomes outside guests, subject to available seating and house rules.	Medium
Food & Beverage	Does NYX Hotel Erfurt provide gluten-free menu items on request?	Yes, gluten-free bread and dishes can be prepared when requested in advance.	Medium
Food & Beverage	Is lunch or dinner service offered at the restaurant of NYX Hotel Erfurt?	Yes, the on-site restaurant serves an à-la-carte dinner menu and light lunches.	Medium
