Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Galway offer complimentary high-speed Wi-Fi throughout all guest areas?	Yes, complimentary high-speed Wi-Fi is available in every guestroom and all public spaces.	High
General Information	Is the front desk at Leonardo Hotel Galway staffed 24 hours a day for guest assistance?	Yes, the reception desk is manned around the clock to assist guests at any time.	High
General Information	What are the standard check-in and check-out times at Leonardo Hotel Galway?	Standard check-in begins at 15:00, while check-out is required by 11:00 on departure day.	High
General Information	How many guestrooms are available at Leonardo Hotel Galway?	The property comprises 130 stylishly refurbished guestrooms across several room categories.	Medium
General Information	Does Leonardo Hotel Galway provide family-friendly accommodation options?	Yes, spacious family rooms comfortably accommodate two adults and two children under twelve.	Medium
General Information	Are fully accessible, wheelchair-friendly facilities available at Leonardo Hotel Galway?	Yes, wheelchair-accessible rooms, lifts to all floors and adapted public areas are provided.	High
General Information	Is Leonardo Hotel Galway certified by the Green Tourism Programme for sustainability?	Yes, the hotel proudly holds a Gold Green Tourism Badge for certified sustainable practices.	Medium
General Information	Does Leonardo Hotel Galway operate as a 100 % non-smoking property?	Yes, the entire building is designated non-smoking to ensure a fresh environment.	Medium
General Information	Does Leonardo Hotel Galway offer connecting rooms for larger families or groups?	Yes, a number of guestrooms feature connecting doors ideal for families or groups.	Low
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Galway feature individual air-conditioning and heating controls?	Yes, every guestroom includes individually adjustable air-conditioning and heating for personalised comfort.	High
Accommodation & Room Services	Are Leonardo Hotel Galway rooms equipped with the signature DREAM beds?	Yes, all rooms are furnished with the brand’s signature DREAM beds for superior sleep quality.	Medium
Accommodation & Room Services	Does every room at Leonardo Hotel Galway include tea- and coffee-making facilities?	Yes, each room provides an electric kettle with complimentary tea and coffee supplies.	High
Accommodation & Room Services	Is a mini-fridge provided in the guestrooms at Leonardo Hotel Galway?	Yes, guestrooms are equipped with a convenient mini-fridge to store refreshments.	Medium
Accommodation & Room Services	Are complimentary toiletries supplied in the bathrooms at Leonardo Hotel Galway?	Yes, bathrooms include complimentary toiletries alongside invigorating power showers and fluffy towels.	High
Accommodation & Room Services	Does Leonardo Hotel Galway provide in-room safes for valuables?	Yes, electronic in-room safes are available for securely storing guest valuables.	Medium
Accommodation & Room Services	Is room service available at Leonardo Hotel Galway, and what are the operating hours?	Yes, room service is offered daily from 15:00 until 21:00 for convenient in-room dining.	Medium
Accommodation & Room Services	Does Leonardo Hotel Galway offer professional laundry and dry-cleaning services?	Yes, same-day professional laundry and dry-cleaning services can be arranged through reception.	Medium
Accommodation & Room Services	Are wheelchair-accessible guestrooms with adapted bathrooms available at Leonardo Hotel Galway?	Yes, adapted wheelchair-accessible rooms with roll-in showers are available upon advance request.	Medium
Food & Beverage	Does Leonardo Hotel Galway serve a daily buffet breakfast, and what are the breakfast hours?	Yes, a plentiful buffet breakfast is served 07:00–10:00 weekdays and 08:00–11:00 weekends and public holidays.	High
Food & Beverage	Does the restaurant at Leonardo Hotel Galway offer lunch and dinner service?	Yes, the in-house restaurant serves lunch from 12:00 to 17:00 and dinner until 21:30.	High
Food & Beverage	Does Leonardo Hotel Galway provide a dedicated children’s menu in the restaurant?	Yes, a specially curated children’s menu is available to satisfy younger diners.	Medium
Food & Beverage	Does Leonardo Hotel Galway’s bar feature an outdoor beer garden overlooking the River Corrib?	Yes, the bar opens onto an outdoor beer garden with relaxing views of the River Corrib.	Medium
Food & Beverage	Is Lavazza coffee served at Leonardo Hotel Galway’s bar or lounge?	Yes, guests can enjoy freshly brewed Lavazza coffee in the bar and lounge areas.	Medium
Food & Beverage	Can group dining for up to 80 guests be arranged at Leonardo Hotel Galway’s restaurant?	Yes, private group dining for as many as eighty guests can be organized with prior notice.	Low
Food & Beverage	Are the lunch service hours at Leonardo Hotel Galway’s restaurant from 12:00 to 17:00?	Yes, lunch is served daily between 12:00 and 17:00 exactly as stated.	Low
Food & Beverage	Are bar closing times at Leonardo Hotel Galway extended until 00:30 on Fridays and Saturdays?	Yes, the bar remains open until 00:30 on Friday and Saturday evenings for late-night enjoyment.	Low
Food & Beverage	Is room service at Leonardo Hotel Galway available daily from 15:00 to 21:00 for in-room dining?	Yes, daily in-room dining is provided from 15:00 to 21:00. [duplicate]	Medium
Policies & Terms	What is Leonardo Hotel Galway’s policy on pets and service animals?	No, pets are not accepted; only registered service animals are welcomed without additional fee.	High
Policies & Terms	Does Leonardo Hotel Galway provide express check-in and express check-out services?	Yes, expedited express check-in and express check-out are available for added convenience.	Medium
Policies & Terms	Is secure luggage storage available at Leonardo Hotel Galway before check-in or after check-out?	Yes, complimentary secure luggage storage is offered both before arrival and after departure.	High
Policies & Terms	Is on-site parking available at Leonardo Hotel Galway and what is the daily charge?	Yes, adjacent Spanish Arch Car Park offers guest parking at approximately €12 per 24-hour period.	High
Policies & Terms	Does Leonardo Hotel Galway operate as a smoke-free hotel?	Yes, the hotel enforces a strict smoke-free policy throughout all areas.	Medium
Policies & Terms	Does Leonardo Hotel Galway offer a front-desk safe for guest valuables?	Yes, a secure front-desk safe is available for valuables guests prefer not to keep in-room.	Medium
Policies & Terms	What is the latest time guests can check in at Leonardo Hotel Galway?	Check-in is accepted up to 23:00; arrivals later than this cannot be guaranteed.	Medium
Policies & Terms	Does Leonardo Hotel Galway participate in the Green Tourism Program and what does this mean for guests?	Yes, participation ensures energy-efficient operations, waste reduction and enhanced sustainability throughout a guest’s stay.	Low
Policies & Terms	Are credit-card pre-authorisations required upon arrival at Leonardo Hotel Galway?	Yes, a credit-card pre-authorisation is taken on arrival to cover potential incidentals. [VERIFY]	Low
Location & Transportation	Is Leonardo Hotel Galway situated on Quay Street overlooking the Spanish Arch and Galway Bay?	Yes, the property is located on Quay Street with views of the Spanish Arch and Galway Bay.	High
Location & Transportation	How many minutes’ walk is Leonardo Hotel Galway from Galway Train Station?	Galway Train Station can be reached in approximately ten minutes on foot from the hotel.	High
Location & Transportation	Is Eyre Square shopping district within ten minutes’ walk of Leonardo Hotel Galway?	Yes, Eyre Square’s shopping district lies less than a ten-minute walk away.	High
