Category	Question	Answer	Frequency Level
General Information	Does Leonardo Suites Hotel Mallorca Calvia offer complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary unlimited high-speed Wi-Fi is available throughout all guest rooms and public spaces.	High
General Information	Is the front desk at Leonardo Suites Hotel Mallorca Calvia staffed 24 hours a day?	Yes, the reception desk operates 24 hours a day to assist guests at any moment.	High
General Information	Does Leonardo Suites Hotel Mallorca Calvia operate on an all-inclusive basis?	Yes, an all-inclusive program is available, alongside room-only and self-catering options.	High
General Information	How many suites are available at Leonardo Suites Hotel Mallorca Calvia?	The property comprises 89 spacious one-bedroom suites, each with a private balcony.	Medium
General Information	Are multilingual team members available at Leonardo Suites Hotel Mallorca Calvia?	Yes, multilingual team members speak English, Spanish and additional languages for international guests.	Medium
General Information	Does Leonardo Suites Hotel Mallorca Calvia provide dedicated meeting rooms for private events?	Yes, dedicated, fully equipped meeting rooms can be reserved for private events and gatherings.	Medium
General Information	Is there a rooftop bar at Leonardo Suites Hotel Mallorca Calvia?	Yes, a rooftop bar crowns the building, though opening dates are seasonal.	Medium
General Information	Does Leonardo Suites Hotel Mallorca Calvia feature a chill-out terrace overlooking the Mediterranean Sea?	Yes, a relaxed chill-out terrace faces the Mediterranean, providing sea views and lounge seating.	Low
General Information	Is Leonardo Suites Hotel Mallorca Calvia a 100 % non-smoking property?	Yes, the entire hotel, including suites and outdoor areas, is strictly non-smoking.	Medium
General Information	Are concierge and tour-desk services available at Leonardo Suites Hotel Mallorca Calvia?	Yes, concierge and a staffed tour desk arrange reservations, excursions and personalized itineraries.	Medium
Accommodation & Room Services	Do all suites at Leonardo Suites Hotel Mallorca Calvia include a fully equipped kitchen with refrigerator, microwave and stovetop?	Yes, every suite has a kitchenette with refrigerator, microwave, two-ring stovetop and cookware.	High
Accommodation & Room Services	Are kettles and toasters provided in the kitchenettes at Leonardo Suites Hotel Mallorca Calvia?	Yes, electric kettles and bread toasters are supplied as standard in all kitchenettes.	Medium
Accommodation & Room Services	Does every accommodation at Leonardo Suites Hotel Mallorca Calvia feature a private balcony?	Yes, each suite extends to a furnished private balcony for fresh air and relaxation.	High
Accommodation & Room Services	Is air-conditioning available in the rooms at Leonardo Suites Hotel Mallorca Calvia?	Yes, individually controlled air-conditioning ensures a comfortable climate in every accommodation.	High
Accommodation & Room Services	Are complimentary toiletries and a hair-dryer supplied in the bathrooms at Leonardo Suites Hotel Mallorca Calvia?	Yes, bathrooms are stocked with toiletries and feature an integrated wall-mounted hair-dryer.	High
Accommodation & Room Services	Are in-room safes provided in the suites at Leonardo Suites Hotel Mallorca Calvia?	Yes, an electronic laptop-sized safe is installed in every suite for valuables.	High
Accommodation & Room Services	Can guests request an iron and ironing board at Leonardo Suites Hotel Mallorca Calvia?	Yes, housekeeping will promptly deliver an iron and ironing board upon guest request.	Medium
Accommodation & Room Services	Is daily housekeeping included for all apartments at Leonardo Suites Hotel Mallorca Calvia?	Yes, daily housekeeping services refresh the suite, make beds and change towels as needed.	Medium
Accommodation & Room Services	Are baby cots or extra beds available at Leonardo Suites Hotel Mallorca Calvia?	Yes, complimentary baby cots or additional beds can be arranged prior to arrival, subject to availability.	High
Food & Beverage	Does Leonardo Suites Hotel Mallorca Calvia serve a daily buffet breakfast?	Yes, an extensive hot and cold buffet breakfast is served every morning in the restaurant.	High
Food & Beverage	Are vegetarian and vegan options available at the restaurant of Leonardo Suites Hotel Mallorca Calvia?	Yes, clearly labelled vegetarian and vegan selections are prepared daily within the buffet spread.	High
Food & Beverage	Does Leonardo Suites Hotel Mallorca Calvia cater for gluten-free diets on request?	Yes, gluten-free bread and dishes are available when requested in advance.	Medium
Food & Beverage	Is there a daytime snack bar at Leonardo Suites Hotel Mallorca Calvia?	Yes, a casual snack bar offers light meals, ice-creams and drinks during daytime hours.	Medium
Food & Beverage	Does the main restaurant at Leonardo Suites Hotel Mallorca Calvia offer lunch and dinner within the all-inclusive plan?	Yes, buffet lunch and dinner are fully included for guests booked on the all-inclusive plan.	Medium
Food & Beverage	Is a poolside bar available at Leonardo Suites Hotel Mallorca Calvia?	Yes, a convenient poolside bar dispenses cocktails, soft drinks and snacks beside the water.	Medium
Food & Beverage	May guests prepare their own meals in the in-suite kitchen at Leonardo Suites Hotel Mallorca Calvia?	Yes, guests are welcome to prepare personal meals using the in-suite kitchen facilities.	High
Food & Beverage	Can non-residents access the bar facilities at Leonardo Suites Hotel Mallorca Calvia?	Currently, bar access is primarily reserved for in-house guests; external visitors should request prior authorisation. [VERIFY]	Low
Food & Beverage	What are the usual breakfast service hours at Leonardo Suites Hotel Mallorca Calvia?	Information is currently not available. [VERIFY]	Medium
Policies & Terms	What are the standard check-in and check-out times at Leonardo Suites Hotel Mallorca Calvia?	Check-in begins at 15:00, and check-out must be completed by 10:30.	High
Policies & Terms	Does Leonardo Suites Hotel Mallorca Calvia allow early check-in or late check-out?	Early arrival or late departure may be arranged for a surcharge, depending on availability. [VERIFY]	Medium
Policies & Terms	Is a minimum age of 18 required to check-in at Leonardo Suites Hotel Mallorca Calvia?	Yes, at least one guest per room must be 18 years old to check-in.	High
Policies & Terms	Are pets permitted at Leonardo Suites Hotel Mallorca Calvia?	No, pets are not permitted anywhere within the hotel premises.	High
Policies & Terms	Is on-site parking available at Leonardo Suites Hotel Mallorca Calvia?	Limited on-site parking is indicated; advance confirmation is recommended due to restricted spaces. [VERIFY]	High
Policies & Terms	What is the hotel’s cancellation policy for flexible and non-refundable rates at Leonardo Suites Hotel Mallorca Calvia?	Flexible bookings may be cancelled within the stated deadline free of charge, whereas non-refundable rates forfeit the full prepayment. [VERIFY]	High
Policies & Terms	Does Leonardo Suites Hotel Mallorca Calvia require a security deposit upon arrival?	Information is currently not available. [VERIFY]	Medium
Policies & Terms	What local tourism tax applies to stays at Leonardo Suites Hotel Mallorca Calvia?	Yes, the Balearic Islands Sustainable Tourism Tax applies, ranging from €0.83 to €3.30 per person per night depending on season and duration.	Medium
Policies & Terms	Are group bookings subject to special conditions at Leonardo Suites Hotel Mallorca Calvia?	Yes, reservations of several rooms may be subject to special prepayment and cancellation terms. [VERIFY]	Low
Location & Transportation	How far is Leonardo Suites Hotel Mallorca Calvia from Son Maties Beach?	Son Maties Beach lies approximately 150 metres away, reachable in about two minutes on foot.	High
Location & Transportation	What is the walking distance from Leonardo Suites Hotel Mallorca Calvia to Magaluf Beach?	Magaluf Beach is roughly 300 metres away, an easy five-minute walk from the hotel.	High
Location & Transportation	How long does it take to reach Palma de Mallorca Airport from Leonardo Suites Hotel Mallorca Calvia by car?	The airport is around 16.7 kilometres away, normally a 20-minute drive by taxi or car.	High
Location & Transportation	Does Leonardo Suites Hotel Mallorca Calvia arrange airport transfers or shuttle services?	The hotel does not run a scheduled shuttle, but concierge can arrange private airport transfers on request. [VERIFY]	Medium
Location & Transportation	Does Leonardo Suites Hotel Mallorca Calvia offer on-site car-rental services?	Yes, an on-site car-rental desk assists guests with vehicle hire arrangements.	Medium
Location & Transportation	Are attractions such as Katmandu Park within walking distance of Leonardo Suites Hotel Mallorca Calvia?	Yes, Katmandu Park is about 600 metres away, making it comfortably walkable in ten minutes.	Medium
Location & Transportation	How far is Golf Santa Ponsa from Leonardo Suites Hotel Mallorca Calvia?	Golf Santa Ponsa is situated approximately 3.8 kilometres away, around ten minutes by car.	Medium
Location & Transportation	Does Leonardo Suites Hotel Mallorca Calvia provide information on local tours and excursions?	Yes, the tour desk supplies detailed information and bookings for excursions, boat trips and activities.	Medium
Location & Transportation	Is private taxi service readily available outside Leonardo Suites Hotel Mallorca Calvia?	Yes, licensed taxis regularly wait outside the entrance, ensuring prompt service at all hours. [VERIFY]	Low
Activities & Entertainment	Does Leonardo Suites Hotel Mallorca Calvia have an outdoor swimming pool?	Yes, a large outdoor swimming pool is available for leisure and relaxation.	High
Activities & Entertainment	Is there a separate children’s pool at Leonardo Suites Hotel Mallorca Calvia?	Yes, a shallow children’s section within the main pool allows safe supervised play.	High
