Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel Maastricht City Center hold a 4-star boutique rating?	Yes, it holds an officially recognised 4-star boutique rating under Dutch hotel standards.	High
General Information	How many rooms does Leonardo Boutique Hotel Maastricht City Center offer in total?	There are 105 thoughtfully designed guestrooms and suites available across the property.	High
General Information	Is complimentary high-speed Wi-Fi available throughout Leonardo Boutique Hotel Maastricht City Center?	Yes, high-speed wireless internet is complimentary in all rooms and public spaces.	High
General Information	Does Leonardo Boutique Hotel Maastricht City Center operate a 24-hour front desk?	Yes, a welcoming multilingual reception team is on duty 24 hours every day.	High
General Information	What are the official check-in and check-out times at Leonardo Boutique Hotel Maastricht City Center?	Check-in begins at 15:00, while check-out is required by 12:00 noon.	High
General Information	Is Leonardo Boutique Hotel Maastricht City Center entirely non-smoking?	Yes, the hotel enforces a strict smoke-free policy in every room and area.	High
General Information	Does Leonardo Boutique Hotel Maastricht City Center provide multilingual staff assistance?	Yes, front-desk staff converse fluently in Dutch, English, German and French to assist guests.	Medium
General Information	Are meeting or conference facilities available at Leonardo Boutique Hotel Maastricht City Center?	Yes, the stylish ground-floor Purple Red Meeting Lounge accommodates up to 30 participants.	Medium
General Information	Does Leonardo Boutique Hotel Maastricht City Center participate in any eco-certification or sustainability program?	Yes, the property is Green Key-certified and follows verified sustainability best practices.	Medium
General Information	What is the minimum age required to check in at Leonardo Boutique Hotel Maastricht City Center?	The minimum registered guest age accepted for check-in is 18 years.	Medium
Accommodation & Room Services	Which room categories are offered at Leonardo Boutique Hotel Maastricht City Center?	Comfort, Comfort Windowless, Superior, Deluxe and Family Rooms are available to reserve.	High
Accommodation & Room Services	Do guestrooms at Leonardo Boutique Hotel Maastricht City Center feature premium bedding and a pillow menu?	Yes, every room provides premium linens together with a selectable pillow-menu for personalised comfort.	High
Accommodation & Room Services	Is air-conditioning available in all accommodations at Leonardo Boutique Hotel Maastricht City Center?	Yes, all accommodations include individually controlled air-conditioning for year-round climate comfort.	High
Accommodation & Room Services	Are in-room refrigerators or minibars provided at Leonardo Boutique Hotel Maastricht City Center?	Yes, each guestroom features a minibar-style refrigerator stocked for personal use.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel Maastricht City Center supply hypo-allergenic bedding on request?	Yes, hypo-allergenic bedding can be arranged in advance for sensitive sleepers.	Medium
Accommodation & Room Services	Is an espresso maker or electric kettle available in every room at Leonardo Boutique Hotel Maastricht City Center?	Yes, rooms offer an electric kettle with espresso and premium tea amenities provided.	Medium
Accommodation & Room Services	Can extra beds or baby cots be arranged at Leonardo Boutique Hotel Maastricht City Center, and if so, how should they be requested?	Yes, baby cots (€5) or rollaway beds (€25–€26 nightly) may be pre-booked subject to availability.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Maastricht City Center offer window-less “Comfort” rooms, and what should guests expect from this layout?	Yes, “Comfort Windowless” rooms lack exterior windows yet deliver full amenities and soft ambient lighting.	Medium
Accommodation & Room Services	Is daily housekeeping provided automatically or only upon request at Leonardo Boutique Hotel Maastricht City Center?	Currently, rooms are serviced on request via the in-house app to support sustainability goals.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel Maastricht City Center provide laundry and dry-cleaning services?	Yes, same-day laundry and professional dry-cleaning are available at an additional charge.	Medium
Food & Beverage	Is a daily buffet breakfast served at Leonardo Boutique Hotel Maastricht City Center?	Yes, an extensive hot-and-cold buffet breakfast is prepared fresh every morning.	High
Food & Beverage	What are the weekday and weekend breakfast service hours at Leonardo Boutique Hotel Maastricht City Center?	Breakfast is served daily from 07:00 until 10:30, identical on weekdays and weekends.	High
Food & Beverage	What is the current price per person for breakfast at Leonardo Boutique Hotel Maastricht City Center?	The buffet is currently priced at €17.50 per adult or child, payable on site.	High
Food & Beverage	Are vegetarian, vegan, or organic breakfast options available at Leonardo Boutique Hotel Maastricht City Center?	Yes, the buffet includes vegetarian, vegan and largely organic produce for varied dietary needs.	Medium
Food & Beverage	Can breakfast be delivered to the room at Leonardo Boutique Hotel Maastricht City Center?	Yes, breakfast can be served in-room through the hotel’s convenient room-service option.	Medium
Food & Beverage	Does Leonardo Boutique Hotel Maastricht City Center operate an on-site bar or lounge for guests?	Yes, a relaxed lobby bar offers crafted cocktails, wines and speciality coffees throughout the day.	Medium
Food & Beverage	Are gluten-free menu choices offered at Leonardo Boutique Hotel Maastricht City Center’s breakfast buffet?	Gluten-free selections are available upon prior request. [VERIFY]	Low
Food & Beverage	May non-resident visitors join registered guests for breakfast at Leonardo Boutique Hotel Maastricht City Center, and is a reservation required?	Non-resident guests may join with advance reservation and payment at the standard breakfast rate. [VERIFY]	Low
