Category	Question	Answer	Frequency Level
General Information	Does Leonardo Royal Hotel Mallorca Palmanova Bay provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas for unlimited devices.	High
General Information	Is the reception at Leonardo Royal Hotel Mallorca Palmanova Bay staffed 24 hours a day?	Yes, the front desk operates around the clock, ensuring assistance at any hour of the day or night.	High
General Information	What are the official check-in and check-out times at Leonardo Royal Hotel Mallorca Palmanova Bay?	Check-in officially begins at 15:00 while check-out is required by 10:00 in the morning.	High
General Information	How many studios and apartments are there at Leonardo Royal Hotel Mallorca Palmanova Bay?	The property offers 170 accommodation units, comprising spacious sea-view studios and family apartments.	Medium
General Information	Is Leonardo Royal Hotel Mallorca Palmanova Bay a completely non-smoking property?	Yes, all interior areas and guestrooms are strictly non-smoking, with smoking permitted only in designated outdoor zones.	High
General Information	Does the team at Leonardo Royal Hotel Mallorca Palmanova Bay speak multiple languages?	Yes, multilingual staff members speak English, Spanish, German, French and other major European languages.	Medium
General Information	Is Leonardo Royal Hotel Mallorca Palmanova Bay considered family-friendly?	Yes, its kids’ club, splash pool, spacious apartments and daily entertainment make it warmly family-oriented.	High
General Information	What accessible facilities are available for guests with reduced mobility at Leonardo Royal Hotel Mallorca Palmanova Bay?	Accessible lifts, step-free entrances and adapted public areas facilitate movement; wheelchair-adapted rooms are available on request.	Medium
Accommodation & Room Services	Are kitchenettes with refrigerator and microwave standard in every accommodation at Leonardo Royal Hotel Mallorca Palmanova Bay?	Yes, every studio, apartment and suite includes a fully equipped kitchenette with refrigerator, microwave and basic utensils.	High
Accommodation & Room Services	Do all rooms at Leonardo Royal Hotel Mallorca Palmanova Bay feature private balconies with sea or partial sea views?	Yes, each unit provides a furnished private balcony granting panoramic full or partial views of Palmanova Bay.	Medium
Accommodation & Room Services	Is air-conditioning included in all studios and apartments at Leonardo Royal Hotel Mallorca Palmanova Bay?	Yes, individually controlled air-conditioning is fitted in every accommodation type and is included in the rate.	High
Accommodation & Room Services	Does Leonardo Royal Hotel Mallorca Palmanova Bay provide in-room tea and coffee making facilities?	Yes, electric kettles with coffee and tea amenities are supplied in every kitchenette for guests’ convenience.	Medium
Accommodation & Room Services	Are in-room safes available for guests at Leonardo Royal Hotel Mallorca Palmanova Bay?	Yes, each accommodation is equipped with a secure, complimentary electronic safe for valuables.	Medium
Accommodation & Room Services	Can guests request an iron and ironing board while staying at Leonardo Royal Hotel Mallorca Palmanova Bay?	Yes, irons and ironing boards can be requested from housekeeping and delivered promptly to the room. [VERIFY]	Medium
