Category	Question	Answer	Frequency Level
General Information	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition provide free Wi-Fi for guests?	Yes, complimentary high-speed Wi-Fi is available throughout all guest rooms and public areas.	High
General Information	Is the reception at Hotel Corpus Christi Lisboa – Leonardo Limited Edition staffed 24 hours a day?	Yes, the reception desk is staffed 24 hours a day, with assistance available at any time.	High
General Information	What are the check-in and check-out times at Hotel Corpus Christi Lisboa – Leonardo Limited Edition?	Check-in begins at 3:00 pm, and check-out is by 12:00 pm.	High
General Information	Is Hotel Corpus Christi Lisboa – Leonardo Limited Edition a non-smoking hotel?	Yes, Hotel Corpus Christi Lisboa – Leonardo Limited Edition is a non-smoking property; smoking is not permitted in guest rooms or public areas.	High
General Information	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition have air-conditioning throughout the property?	Yes, modern air-conditioning is installed throughout guest rooms, restaurants, the bar, and all public areas.	High
General Information	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition have multilingual staff to assist international guests?	Yes, multilingual front-of-house staff speak Portuguese, English, and additional languages to assist international travelers.	Medium
General Information	Is there an elevator at Hotel Corpus Christi Lisboa – Leonardo Limited Edition for step-free access to guest rooms?	Yes, the hotel has an elevator providing step-free access between reception and all guest floors.	Medium
General Information	How many rooms does Hotel Corpus Christi Lisboa – Leonardo Limited Edition have in total?	Hotel Corpus Christi Lisboa – Leonardo Limited Edition has 132 rooms and suites in total.	Medium
General Information	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition offer on-site parking for guests?	No, Hotel Corpus Christi Lisboa – Leonardo Limited Edition does not operate its own car park; guests can use nearby public garages.	High
Accommodation & Room Services	What room categories are available at Hotel Corpus Christi Lisboa – Leonardo Limited Edition?	Room categories include Comfort, Superior, Deluxe, and Suite accommodations, offering a range of sizes and views.	High
Accommodation & Room Services	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition offer suites?	Yes, suites are available for guests who need extra living space and additional in-room comforts.	High
Accommodation & Room Services	Are connecting rooms available at Hotel Corpus Christi Lisboa – Leonardo Limited Edition for families or groups?	Yes, selected room types can be configured as connecting rooms for families or small groups.	Medium
Accommodation & Room Services	Is air-conditioning provided in every guest room at Hotel Corpus Christi Lisboa – Leonardo Limited Edition?	Yes, all guest rooms are individually air-conditioned for year-round comfort.	High
Accommodation & Room Services	What in-room amenities are provided at Hotel Corpus Christi Lisboa – Leonardo Limited Edition?	Information is currently not available. [VERIFY]	Medium
Accommodation & Room Services	Are tea and coffee making facilities supplied in the rooms at Hotel Corpus Christi Lisboa – Leonardo Limited Edition?	Information is currently not available. [VERIFY]	Medium
Food & Beverage	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition serve a daily breakfast buffet?	Yes, a generous breakfast buffet is served each morning with hot and cold selections.	High
Food & Beverage	Does Hotel Corpus Christi Lisboa – Leonardo Limited Edition have an on-site restaurant serving Portuguese cuisine?	Yes, the on-site restaurant serves contemporary Portuguese cuisine prepared with seasonal local ingredients.	High
