Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Salzburg City Center provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the reception at Leonardo Hotel Salzburg City Center staffed 24 hours a day?	Yes, the front desk operates 24 hours daily for arrivals and assistance.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Salzburg City Center?	Check-in begins at 3:00 pm and check-out is required by 12:00 noon.	High
General Information	How many guestrooms are available at Leonardo Hotel Salzburg City Center?	The hotel offers 86 contemporary guestrooms and suites across several categories.	Medium
General Information	Is Leonardo Hotel Salzburg City Center a fully non-smoking hotel?	Yes, it is designated as a completely non-smoking property, including all rooms.	Medium
General Information	Does Leonardo Hotel Salzburg City Center offer accessible public areas and rooms for guests with reduced mobility?	Yes, lifts, public spaces and specially adapted guestrooms accommodate guests with reduced mobility.	High
General Information	Are multilingual team members available at the front desk of Leonardo Hotel Salzburg City Center?	Yes, multilingual staff members are available at reception to assist international travellers.	Medium
General Information	Is air-conditioning provided in all guest areas at Leonardo Hotel Salzburg City Center?	Yes, centrally controlled air-conditioning is installed throughout guestrooms and public spaces.	Low
General Information	Does Leonardo Hotel Salzburg City Center have on-site underground parking with electric-vehicle charging points?	Yes, the secure underground car park includes electric-vehicle charging stations for guests.	Low
General Information	Does Leonardo Hotel Salzburg City Center participate in the Leonardo AdvantageCLUB loyalty programme?	Yes, guests can earn and redeem points through the Leonardo AdvantageCLUB programme.	Medium
Accommodation & Room Services	Which room categories—Standard, Superior or Junior Suite—are available at Leonardo Hotel Salzburg City Center?	Standard Rooms, Superior Rooms and Junior Suites with kitchenette are all bookable.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Salzburg City Center include a mini-fridge or minibar?	Yes, every accommodation provides a refrigerator-style minibar for refreshments.	High
Accommodation & Room Services	Are coffee and tea-making facilities provided in every room at Leonardo Hotel Salzburg City Center?	Information is currently not available. [VERIFY]	Medium
Accommodation & Room Services	Does the Junior Suite at Leonardo Hotel Salzburg City Center feature a private kitchenette?	Yes, each Junior Suite includes a convenient private kitchenette for light meals.	Medium
Accommodation & Room Services	Are family rooms available for guests travelling with children at Leonardo Hotel Salzburg City Center?	Yes, spacious Superior Triple and Quadruple family rooms welcome guests travelling with children.	High
Accommodation & Room Services	Does Leonardo Hotel Salzburg City Center offer fully accessible guestrooms with adapted bathrooms?	Yes, wheelchair-accessible rooms feature step-free access and roll-in showers with grab bars.	High
Accommodation & Room Services	Is daily housekeeping included for all stays at Leonardo Hotel Salzburg City Center?	Yes, housekeeping service is provided daily, with frequency adjustable upon guest request.	Medium
Accommodation & Room Services	Is an in-room safe provided in every accommodation at Leonardo Hotel Salzburg City Center?	Yes, a laptop-size electronic safe is installed in every guestroom.	High
Accommodation & Room Services	Does Leonardo Hotel Salzburg City Center provide outsourced laundry and dry-cleaning services?	Yes, outsourced laundry and same-day dry-cleaning are available for an additional fee.	High
Accommodation & Room Services	Can guests request baby cribs at Leonardo Hotel Salzburg City Center, and is there a charge?	Yes, baby cribs are available on request and provided free of charge.	Medium
Food & Beverage	Does Leonardo Hotel Salzburg City Center serve a daily international breakfast buffet?	Yes, an extensive international buffet breakfast is served every morning in the restaurant.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Hotel Salzburg City Center?	Breakfast is served Monday to Friday from 7:00 am until 10:00 am.	High
Food & Beverage	What are the weekend and bank-holiday breakfast hours at Leonardo Hotel Salzburg City Center?	On Saturdays, Sundays and bank holidays breakfast runs from 7:00 am to 10:30 am.	High
Food & Beverage	Does the breakfast buffet at Leonardo Hotel Salzburg City Center include gluten-free and lactose-free options?	Yes, the buffet clearly labels several gluten-free and lactose-free items.	Medium
Food & Beverage	Is a lobby bar available for guests to enjoy beverages throughout the day at Leonardo Hotel Salzburg City Center?	Yes, a cosy lobby bar pours hot drinks, wines and cocktails throughout the day.	Medium
Food & Beverage	Are vegetarian or vegan selections offered at the breakfast buffet of Leonardo Hotel Salzburg City Center?	Yes, vegetarian dishes are always available and vegan items can be arranged on request. [VERIFY]	Medium
Food & Beverage	Can non-resident visitors dine at the bar of Leonardo Hotel Salzburg City Center?	Currently, walk-in visitors are welcome to enjoy the lobby bar subject to space. [VERIFY]	Low
Food & Beverage	What is the per-person cost of the breakfast buffet at Leonardo Hotel Salzburg City Center?	The daily buffet is priced at €16 per person.	Medium
Food & Beverage	Does Leonardo Hotel Salzburg City Center offer room-service dining?	No, the hotel does not currently provide in-room dining service. [VERIFY]	Low
Policies & Terms	What is the minimum age required for check-in at Leonardo Hotel Salzburg City Center?	The minimum legal age to check in is 18 years.	High
Policies & Terms	Does Leonardo Hotel Salzburg City Center accept pets, and what fee applies per stay?	Yes, pets are accepted on request for a one-time fee of €20 per stay.	High
Policies & Terms	Are children of all ages welcome at Leonardo Hotel Salzburg City Center, and how are they charged?	Yes, children are welcome; ages 0–12 stay free when sharing existing bedding, 13 and over count as adults.	High
Policies & Terms	Does Leonardo Hotel Salzburg City Center provide complimentary baggage storage before check-in or after check-out?	Yes, complimentary luggage storage is available both before arrival and after departure.	High
Policies & Terms	What is the cancellation or pre-payment policy at Leonardo Hotel Salzburg City Center?	Cancellation and pre-payment terms vary by selected rate plan, from fully flexible to non-refundable options.	Medium
Policies & Terms	Is early check-in or late check-out available at Leonardo Hotel Salzburg City Center, and are fees involved?	Yes, early arrival or later departure can be arranged subject to availability and an additional fee.	Medium
Policies & Terms	Are different conditions applied to group bookings of more than five rooms at Leonardo Hotel Salzburg City Center?	Yes, group reservations of six rooms or more are subject to special terms and possible deposits.	Medium
Policies & Terms	Which credit-card brands are accepted for payment at Leonardo Hotel Salzburg City Center?	Visa, Mastercard, American Express, Diners Club, JCB, Maestro and EC-Card are all accepted.	Medium
Policies & Terms	Is smoking permitted anywhere within Leonardo Hotel Salzburg City Center?	No, smoking is forbidden in all indoor areas and guestrooms.	Medium
Policies & Terms	Does Leonardo Hotel Salzburg City Center request a photo ID and credit card upon arrival?	Yes, a valid photo ID and credit card are required at check-in for security.	High
Location & Transportation	How long does it take to walk from Leonardo Hotel Salzburg City Center to Salzburg’s historic Old Town?	The scenic pedestrian route through the Mönchsberg tunnel reaches Old Town in about ten minutes.	High
Location & Transportation	Which bus line from Salzburg Airport stops directly outside Leonardo Hotel Salzburg City Center?	Information is currently not available. [VERIFY]	Low
Location & Transportation	What is the distance from Leonardo Hotel Salzburg City Center to Mozart’s Birthplace on Getreidegasse?	Mozart’s Birthplace lies approximately 750 metres from the hotel entrance.	High
Location & Transportation	Does Leonardo Hotel Salzburg City Center provide on-site underground parking, and what is the nightly fee?	Yes, underground parking is available on site at a cost of €19 per night.	High
Location & Transportation	Are electric-vehicle charging stations available in the car park at Leonardo Hotel Salzburg City Center?	Yes, dedicated charging points for electric cars are provided within the hotel car park.	Low
Location & Transportation	Which major cultural attractions can be reached within a 15-minute walk of Leonardo Hotel Salzburg City Center?	Hohensalzburg Fortress, Salzburg Museum, Salzburg Cathedral and Mirabell Palace are all reachable on foot within fifteen minutes.	Medium
Location & Transportation	Can Leonardo Hotel Salzburg City Center arrange taxi or private car transfers upon request?	Yes, reception will gladly book taxis or private car transfers on request. [VERIFY]	Low
Location & Transportation	Is the hotel situated near hiking trails leading up to Fortress Hohensalzburg and Mönchsberg?	Yes, trailheads onto Mönchsberg and up to the fortress start just behind the property.	Medium
