Category	Question	Answer	Frequency Level
General Information	האם מלון NYX תל אביב מציע אינטרנט אלחוטי חינם ברחבי המלון?	כן, אינטרנט אלחוטי מהיר וחינמי זמין ללא תשלום בכל החדרים והאזורים הציבוריים.	High
General Information	האם דלפק הקבלה במלון NYX תל אביב פעיל 24 שעות ביממה?	כן, דלפק הקבלה פועל מסביב לשעון ומאויש 24-שעות ביממה לקבלת אורחים וסיוע.	Medium
General Information	מהן שעות הצ׳ק-אין והצ׳ק-אאוט הסטנדרטיות בימי חול במלון NYX תל אביב?	צ׳ק-אין בימי חול מתחיל ב-15:00 ואילו צ׳ק-אאוט נדרש עד 12:00 בצהריים.	High
General Information	האם קיימות שעות צ׳ק-אין וצ׳ק-אאוט שונות במלון NYX תל אביב בשבתות ובחגים יהודיים?	כן, בשבתות וחגים יהודיים הכניסה מתאפשרת מ-18:00 והעזיבה עד 14:00.	Medium
General Information	האם מלון NYX תל אביב מתאים לאירוח משפחות עם ילדים בכל הגילאים?	כן, המלון מקבל בברכה משפחות; ילדים בכל הגילאים מוזמנים להתארח בחדרי האירוח.	Medium
General Information	האם במלון NYX תל אביב קיימות מעליות ונגישות מלאה לאורחים עם מוגבלויות?	כן, ארבע מעליות נגישות וכבישים רחבים מבטיחים גישה מלאה לאורחים עם מוגבלויות.	High
General Information	כמה חדרים כוללת כללית מלון NYX תל אביב ומהו קונספט העיצוב שלו?	המלון כולל 190 חדרים המעוצבים בהשראת אמנות רחוב אורבנית עכשווית צבעונית וצעירה.	Low
General Information	האם אורחי עסקים נהנים מטרקלין או חללי עבודה ייעודיים במלון NYX תל אביב?	כן, קיימים חללי עבודה וטרקלין עסקים ייעודי, אם כי הטרקלין סגור זמנית לשדרוגים.	Medium
General Information	האם במלון NYX תל אביב קיימת אבטחה וסידורי בטיחות סביב השעון?	כן, מאבטחים ומערכות בטיחות פועלים 24/7, כולל מצלמות ומפתח אלקטרוני לחדרים.	Medium
Accommodation & Room Services	האם חדרי מלון NYX תל אביב מצוידים במיזוג אוויר ובבידוד אקוסטי לשינה שקטה?	כן, כל חדר מצויד במיזוג אוויר עצמאי ובקירות מבודדי רעש לשינה שקטה.	High
Accommodation & Room Services	האם בכל חדר במלון NYX תל אביב קיים מיני-בר או מקרר קטן לשימוש האורחים?	כן, בחדרים מותקן מקרר קטן ריק לשימוש אישי; תכולת מיני-בר אינה מסופקת. [VERIFY]	Medium
Accommodation & Room Services	האם חדרי מלון NYX תל אביב כוללים ערכת קפה ותה אישית?	כן, מכונת נספרסו עם קפסולות וערכת קפה-תה זמינות בכל חדר ללא תשלום.	Medium
Accommodation & Room Services	האם ניתן להזמין שירות חדרים במלון NYX תל אביב, ואם כן באילו שעות השירות פעיל?	כן, שירות חדרים זמין מדי יום בין השעות 12:00-22:00 למשלוח מאכלים ושתייה.	High
Accommodation & Room Services	האם במלון NYX תל אביב קיימים חדרים המותאמים לנכים, כולל מאחזי בטיחות בחדר הרחצה?	כן, חמש יחידות אירוח מונגשות כוללות פתחים רחבים ומאחזי בטיחות בחדרי הרחצה.	High
Accommodation & Room Services	האם מלון NYX תל אביב מציע מצעים היפואלרגניים או כריות נוספות לפי דרישה?	ניתן לבקש מראש מצעים היפואלרגניים וכריות נוספות, בהתאם למלאי המלון. [VERIFY]	Low
Accommodation & Room Services	האם חדרי מלון NYX תל אביב כוללים חלוקי רחצה ומוצרי טואלטיקה משלימים?	כן, חלוקי רחצה רכים ומוצרי טואלטיקה איכותיים מסופקים בכל חדר כחלק מהאירוח.	Medium
Accommodation & Room Services	האם ניתן לקבל עריסה לתינוק בחדר במלון NYX תל אביב, ומה העלות לכך?	כן, עריסת תינוק זמינה לפי בקשה בעלות ‎₪55 ללילה, בכפוף לזמינות.	High
Accommodation & Room Services	האם בחדרי מלון NYX תל אביב יש כספת אישית ויציאות USB לטעינה?	כן, כספת אלקטרונית אישית מוצבת בכל חדר; יציאות USB לטעינה זמינות במספר קטגוריות חדרים. [VERIFY]	Medium
Food & Beverage	האם במלון NYX תל אביב מוגשת ארוחת-בוקר בסגנון בופה, ומהן שעות ההגשה בימי חול?	כן, ארוחת-בוקר בופה מוגשת בימי חול מ-06:30 עד 10:30 בחדר-האוכל.	High
Food & Beverage	מהן שעות ארוחת-הבוקר במלון NYX תל אביב בימי שישי, שבת וחגים?	בשישי מוגש הבופה 07:00-11:00; בשבת ובחגים 07:00-12:00 לארוחה נינוחה יותר.	High
Food & Beverage	האם מלון NYX תל אביב מציע אפשרויות טבעוניות, צמחוניות או ללא גלוטן בארוחת-הבוקר?	כן, ניתן למצוא מבחר מנות טבעוניות, צמחוניות וללא גלוטן על המזנון בהזמנה מוקדמת. [VERIFY]	Medium
Food & Beverage	האם קיים בר גג במלון NYX תל אביב, ומהן שעות הפעילות שלו?	כן, בר הגג פועל בדרך-כלל 18:00-24:00 וכולל קוקטיילים ונוף קו-הרקיע.	High
Food & Beverage	האם ניתן להיכנס לבר של מלון NYX תל אביב גם ללא לינה במלון?	כן, אורחים שאינם לנים במלון רשאים להיכנס לבר בכפוף למקום פנוי ותשלום. [VERIFY]	Low
Food & Beverage	האם במלון NYX תל אביב פועל בית-קפה או דוכן קפה בלובי במהלך היום?	כן, בית-קפה בלובי מגיש משקאות חמים ונשנושים לאורך רוב שעות היום.	Medium
Food & Beverage	האם חדר-האוכל במלון NYX תל אביב כשר או שאינו כשר?	לא, חדר-האוכל והמטבח אינם כשרים; המלון פועל ללא תעודת כשרות רשמית.	High
Food & Beverage	האם מלון NYX תל אביב מציע תפריט ארוחות ערב או ברנץ׳ בתשלום נוסף?	כן, ניתן להזמין בתשלום נוסף תפריט ערב ובראנץ׳ במסעדת המלון או בבר. [VERIFY]	Low
Food & Beverage	האם במלון NYX תל אביב קיימת תפריט ילדים ייעודי בארוחת-הבוקר או במסעדת המלון?	תפריט ילדים ייעודי לארוחות הבוקר או המסעדה טרם מפורסם רשמית. [VERIFY]	Low
Food & Beverage	האם בר מרפסת הגג במלון NYX תל אביב מארח אירועי מוזיקה חיה או מסיבות פופ-אפ?	כן, מרפסת הגג מארחת בערבים נבחרים מופעי מוזיקה חיה ואירועי פופ-אפ.	Medium
Policies & Terms	מהי מדיניות הביטול הגמישה להזמנה ישירה במלון NYX תל אביב?	מדיניות ביטול להזמנות ישירות משתנה לפי תעריף; ברוב המסלולים ניתן לבטל עד 48 שעות לפני ההגעה ללא קנס. [VERIFY]	Medium
Policies & Terms	מהי מדיניות מלון NYX תל אביב לגבי אירוח חיות מחמד, כולל משקל מרבי ותשלום נלווה?	כן, כלב או חתול במשקל עד ‎6 ק״ג ניתן לארח בחדר בתוספת תשלום סמלי.	High
Policies & Terms	מהו הגיל המינימלי הנדרש לביצוע צ׳ק-אין במלון NYX תל אביב?	הגיל המינימלי לביצוע צ׳ק-אין הוא 18 שנה עם תעודה מזהה תקפה.	High
Policies & Terms	האם מלון NYX תל אביב מאפשר צ׳ק-אין מוקדם או צ׳ק-אאוט מאוחר, וכרוכה בכך עלות נוספת?	כן, כניסה מוקדמת או יציאה מאוחרת מתאפשרות על-בסיס זמינות ובתוספת תשלום. [VERIFY]	Medium
Policies & Terms	מהן התנאים להזמנת קבוצה של יותר מארבעה חדרים במלון NYX תל אביב?	בעת הזמנת יותר מארבעה חדרים חלים תנאים ותוספות ייחודיים שעליהם יש לתאם מראש עם מחלקת המכירות.	High
