Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Utrecht City Center offer complimentary Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Utrecht City Center staffed 24 hours a day?	Yes, the reception team is on duty around the clock to assist arrivals, departures and guest requests.	High
General Information	How many guestrooms does Leonardo Hotel Utrecht City Center feature?	The hotel comprises 90 well-appointed guestrooms and suites across five floors.	Medium
General Information	What is the official star rating of Leonardo Hotel Utrecht City Center?	The property holds an officially recognised four-star rating under the Dutch Hotelstars system.	Medium
General Information	Does Leonardo Hotel Utrecht City Center provide multilingual staff assistance?	Yes, front-of-house colleagues speak Dutch, English and German, ensuring clear communication for international guests.	Medium
General Information	Is Leonardo Hotel Utrecht City Center a completely smoke-free hotel?	Yes, smoking is prohibited throughout all rooms and indoor public spaces.	High
General Information	Does Leonardo Hotel Utrecht City Center hold an eco-certification such as the Green Key label?	Yes, the hotel is proudly certified by the Green Key sustainability programme.	Medium
General Information	Is there an on-site Internet & Coffee Lounge at Leonardo Hotel Utrecht City Center?	Yes, a welcoming 24-hour Internet & Coffee Lounge offers complimentary coffee, tea and Wi-Fi.	Medium
General Information	Does Leonardo Hotel Utrecht City Center have elevators, or is access by stairs only?	Yes, guest floors are reachable by elevator, so stairs are not the sole access option.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Utrecht City Center include tea and coffee-making facilities?	Yes, every room provides an electric kettle with complimentary tea and coffee supplies.	High
Accommodation & Room Services	Are minibars or small refrigerators available in the rooms at Leonardo Hotel Utrecht City Center?	Yes, selected categories feature a small refrigerator suitable for chilled drinks and snacks.	Medium
Accommodation & Room Services	Does Leonardo Hotel Utrecht City Center offer air-conditioned accommodation?	Yes, air-conditioning is fitted in Club, Deluxe and other upgraded room types.	Medium
Accommodation & Room Services	Are hair-dryers provided in every room at Leonardo Hotel Utrecht City Center?	Yes, a full-size hair-dryer is supplied in every private bathroom for guest convenience.	High
Accommodation & Room Services	Does Leonardo Hotel Utrecht City Center supply complimentary toiletries in the bathrooms?	Yes, bathrooms are stocked with complimentary toiletries that are replenished as required.	High
Accommodation & Room Services	Are hypoallergenic bedding or extra pillows available on request at Leonardo Hotel Utrecht City Center?	Information is currently not available. [VERIFY]	Low
Accommodation & Room Services	Is daily housekeeping at Leonardo Hotel Utrecht City Center automatic, or performed only upon request?	Currently, guestrooms are serviced only upon guest request as part of the property’s environmental initiative.	Medium
Accommodation & Room Services	Do rooms at Leonardo Hotel Utrecht City Center feature in-room safes for valuables?	Yes, all accommodation offers an in-room safe large enough for a laptop and personal items.	Medium
Accommodation & Room Services	Are wheelchair-accessible rooms or other accessible facilities available at Leonardo Hotel Utrecht City Center?	Information is currently not available. [VERIFY]	Low
Food & Beverage	Does Leonardo Hotel Utrecht City Center serve a daily buffet breakfast?	Yes, an extensive hot-and-cold buffet breakfast is presented each morning in the restaurant.	High
Food & Beverage	What are the weekday breakfast hours at Leonardo Hotel Utrecht City Center?	Breakfast is served Monday through Friday from 07:00 to 10:00.	High
Food & Beverage	What are the weekend breakfast hours at Leonardo Hotel Utrecht City Center?	On Saturdays and Sundays breakfast runs from 08:00 to 11:00.	High
Food & Beverage	Does Leonardo Hotel Utrecht City Center offer vegetarian or vegan choices at breakfast?	Information is currently not available. [VERIFY]	Medium
Food & Beverage	Is there an on-site restaurant for lunch or dinner at Leonardo Hotel Utrecht City Center?	Yes, an on-site restaurant offers a selection of seasonal dishes for lunch and dinner service.	Medium
Food & Beverage	Does Leonardo Hotel Utrecht City Center operate a 24-hour coffee lounge for guests?	Yes, the Coffee Lounge remains open 24 hours a day for complimentary hot beverages.	Medium
Food & Beverage	Can children enjoy breakfast at a reduced rate at Leonardo Hotel Utrecht City Center?	Yes, children benefit from a discounted breakfast rate of approximately €12.50 per child.	Low
Food & Beverage	Does Leonardo Hotel Utrecht City Center provide room service for food and beverages?	Yes, room service is available, allowing guests to dine in the privacy of their room.	Medium
Food & Beverage	Are gluten-free products available at the breakfast buffet of Leonardo Hotel Utrecht City Center?	Information is currently not available. [VERIFY]	Low
Policies & Terms	What are the standard check-in and check-out times at Leonardo Hotel Utrecht City Center?	Check-in begins at 15:00, and check-out is requested by 12:00 noon.	High
Policies & Terms	Is early check-in or late check-out available at Leonardo Hotel Utrecht City Center?	Early arrival or late departure may be arranged on request, subject to availability and possible fees. [VERIFY]	Medium
Policies & Terms	What is the minimum age required to check in at Leonardo Hotel Utrecht City Center?	The minimum check-in age is 18 years.	High
Policies & Terms	Does Leonardo Hotel Utrecht City Center require a security deposit or pre-authorisation at arrival?	Yes, a credit-card pre-authorisation is taken at check-in to cover incidentals during the stay.	Medium
Policies & Terms	What is the cancellation policy for individual bookings at Leonardo Hotel Utrecht City Center?	Cancellation terms depend on the chosen rate; flexible rates normally allow free cancellation within the stated deadline. [VERIFY]	High
Policies & Terms	Are pets permitted to stay at Leonardo Hotel Utrecht City Center?	No, pets are not permitted, with the exception of certified assistance animals where applicable.	High
Policies & Terms	Does Leonardo Hotel Utrecht City Center offer baggage storage before check-in or after check-out?	Yes, complimentary luggage storage is available both before arrival and after departure.	Medium
Policies & Terms	What group booking conditions apply when reserving more than nine rooms at Leonardo Hotel Utrecht City Center?	When booking ten or more rooms, special group policies and additional charges apply.	Low
Policies & Terms	Which payment methods are accepted at Leonardo Hotel Utrecht City Center?	The hotel accepts American Express, Visa, Mastercard, Maestro and cash payments.	Medium
