Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Antwerpen offer complimentary high-speed Wi-Fi throughout the entire property?	Yes, complimentary high-speed Wi-Fi is provided free of charge in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Antwerpen staffed 24 hours a day?	Yes, the reception desk operates around the clock, ensuring assistance is available 24 hours a day.	High
General Information	How many guest rooms and suites does Leonardo Hotel Antwerpen feature?	The property comprises 108 contemporary rooms and suites across several accommodation categories.	Medium
General Information	What official star rating has been assigned to Leonardo Hotel Antwerpen?	The hotel holds an officially certified four-star rating under the Hotelstars Union scheme.	Medium
General Information	In which year was Leonardo Hotel Antwerpen last fully renovated?	The entire hotel underwent a complete redesign and was fully renovated in 2020.	Low
General Information	Is Leonardo Hotel Antwerpen a 100 % smoke-free property?	Yes, all indoor areas are strictly non-smoking, making the property completely smoke-free.	Medium
General Information	Do the staff at Leonardo Hotel Antwerpen speak multiple languages?	Yes, team members speak several languages, including English, Dutch, French, German and Spanish.	Low
General Information	Is Leonardo Hotel Antwerpen certified by Green Key or another eco-friendly program?	Yes, the property is Green Key certified, recognising its ongoing sustainable-hospitality practices.	Low
General Information	Does Leonardo Hotel Antwerpen provide business facilities such as a public internet workstation or meeting room?	Yes, reception can arrange fax and photocopying, while guests may work at lobby workstations; no dedicated meeting room is available.	Medium
General Information	Is an elevator available to all guest floors at Leonardo Hotel Antwerpen?	Yes, a modern elevator provides step-free access to every guest floor.	Medium
Accommodation & Room Services	Are all guest rooms at Leonardo Hotel Antwerpen equipped with individually controlled air-conditioning and heating?	Yes, every room features individually adjustable air-conditioning and heating for personalised comfort throughout the year.	High
Accommodation & Room Services	Does Leonardo Hotel Antwerpen provide tea- and coffee-making facilities in every room?	Yes, complimentary in-room tea- and coffee-making facilities are provided in all accommodation types.	Medium
Accommodation & Room Services	Are minibars or refrigerators included in the rooms at Leonardo Hotel Antwerpen?	Yes, each guest room contains a small refrigerator or minibar stocked for guests’ convenience.	Medium
Accommodation & Room Services	Can hypo-allergenic bedding be requested at Leonardo Hotel Antwerpen?	Yes, hypo-allergenic bedding is available on request and supplied subject to availability.	Low
Accommodation & Room Services	Are baby cots available at Leonardo Hotel Antwerpen and what is the nightly charge?	Yes, baby cots are available for €10 per night and should be reserved in advance.	Medium
