Category	Question	Answer	Frequency Level
General Information	האם מלון The Jaffa מציע אינטרנט אלחוטי חינם בכל שטחי המלון?	כן, אינטרנט אלחוטי מהיר וחינמי זמין בכל החדרים והשטחים הציבוריים, ללא צורך בסיסמה נוספת.	High
General Information	האם דלפק הקבלה במלון The Jaffa פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24/7 ומעניק שירות מלא, כולל צ’ק-אין מאוחר וסיוע קונסיירז’.	High
General Information	כמה חדרים וסוויטות יש במלון The Jaffa וכיצד הם מתחלקים בין האגף ההיסטורי לאגף המודרני?	במלון 120 חדרים וסוויטות בסך הכול, המחולקים בין אגף היסטורי מהמאה ה-19 ואגף מודרני עכשווי; הכמות המדויקת בכל אגף אינה נחשפת לציבור. [VERIFY]	Medium
General Information	האם מלון The Jaffa מותאם לאורחים עם מוגבלויות וכולל חדרים נגישים?	כן, במלון חדרים נגישים, מעליות ומתקנים מותאמים הכוללים מעקות, כיורים מונמכים ועמדות כניסה רחבות.	High
General Information	האם מלון The Jaffa מוגדר כמלון ללא-עישון בכל האזורים הציבוריים והחדרים?	כן, כל החדרים והאזורים הפנימיים הם ללא-עישון בהתאם לתקנות הבריאות.	High
General Information	האם מלון The Jaffa כשר או מציע תפריט כשר?	לא, המלון איננו כשר ואינו מגיש מטבח כשר.	High
General Information	האם צוות מלון The Jaffa מעניק שירות קונסיירז' אישי ואפשרות לתכנון חוויות בעיר?	כן, צוות הקונסיירז' מתכנן סיורים, מסעדות וניידות אישית בהתאם לבקשת האורח.	Medium
General Information	האם ניתן לקיים אירועים פרטיים או עסקיים בחלל The Chapel של מלון The Jaffa?	כן, The Chapel מארח אירועים יוקרתיים, כולל חתונות, קוקטיילים ומפגשי הנהלה אינטימיים.	Medium
General Information	האם מלון The Jaffa משתייך לקולקציית היוקרה Fattal Limited Edition ומחזיק בדירוג חמישה כוכבים?	כן, הוא חלק מקולקציית Fattal Limited Edition ונושא סיווג חמישה כוכבים רשמי. [VERIFY]	Low
Accommodation & Room Services	האם בחדרי מלון The Jaffa יש מיני-בר או מקרר קטן לשימוש האורחים?	כן, כל חדר מצויד במיני-בר מעוצב ובמקרר קטן לאחסון משקאות אישיים.	High
Accommodation & Room Services	האם חדרי מלון The Jaffa מצוידים במכונת קפה או בערכה להכנת תה?	כן, בחדרים יש מכונת קפה איכותית וערכת תה עם מבחר קפסולות וחליטות.	Medium
Accommodation & Room Services	האם מקלחות הגשם ומוצרי הטיפוח במלון The Jaffa כלולים בתעריף החדר?	כן, חדרי הרחצה כוללים מקלחת גשם מפנקת ומוצרי טיפוח יוקרתיים ללא תוספת תשלום.	Medium
Accommodation & Room Services	האם מלון The Jaffa מציע חדרים נגישים לבעלי מוגבלויות, לרבות מקלחות מאובזרות?	כן, יש חדרים עם דלתות רחבות, מקלחות מאובזרות ומתקני עזר לניידות בטוחה.	High
Accommodation & Room Services	האם שירות החדרים במלון The Jaffa פועל 24 שעות ביממה?	כן, שירות חדרים זמין מסביב לשעון ומציע תפריט קולינרי מגוון לכל שעות היום.	High
Accommodation & Room Services	האם ניתן לבחור במלון The Jaffa בין מיטות קינג-סייז למיטות טווין בעת ההזמנה?	כן, בעת ההזמנה ניתן לבחור חדר עם מיטת קינג-סייז או שתי מיטות טווין, בכפוף לזמינות.	Medium
Accommodation & Room Services	האם מלון The Jaffa מספק עריסות לתינוקות ומהי העלות לכך?	כן, עריסה זמינה לפי בקשה בעלות של 55 ₪ ללילה, בכפוף לזמינות.	Medium
Accommodation & Room Services	האם ניתן לבחור להתארח באגף ההיסטורי או באגף המודרני של מלון The Jaffa?	כן, האורחים רשאים לבחור מראש בין החוויה ההיסטורית לבין האווירה המודרנית.	Low
Accommodation & Room Services	האם קיימות סוויטות במלון The Jaffa עם מרפסת פרטית ונוף לים התיכון?	כן, מספר סוויטות פרמיום כוללות מרפסות פרטיות הצופות אל הים התיכון.	Low
Food & Beverage	האם במלון The Jaffa מוגשת ארוחת בוקר עשירה בסגנון בופה, ואם כן מהן שעות ההגשה?	כן, מוגש בופה בוקר עשיר עם אפשרויות à la carte מדי יום בין 07:30-11:30 בחצר ההיסטורית.	High
Food & Beverage	האם מסעדת Giardino במלון The Jaffa פתוחה לארוחת ערב ומהו קונספט המטבח שלה?	כן, Giardino פתוחה 18:30-23:00 ומציעה מטבח ים-תיכוני עכשווי בהשראת צפון איטליה.	Medium
Food & Beverage	האם מלון The Jaffa אינו כשר ומגיש מנות שאינן כשרות?	כן, המטבח במלון אינו כשר ומגיש מנות חלביות ובשריות ללא הפרדה.	High
Food & Beverage	האם בריכת החוץ של מלון The Jaffa מלווה בבר משקאות וכיבוד קל?	כן, לצד הבריכה פועל בר עונתי המציע קוקטיילים, נשנושים וסלטים קלים.	Medium
Food & Beverage	האם טרקלין השש-בש במלון The Jaffa מציע מבחר קוקטיילים ויינות יוקרתיים?	Currently, מידע רשמי על טרקלין שש-בש ותפריטו אינו זמין. [VERIFY]	Low
Food & Beverage	האם ניתן להזמין במלון The Jaffa מנות à la carte בנוסף לבופה ארוחת הבוקר?	כן, לצד הבופה מוצע תפריט à la carte בתעריף נפרד לאורחים המעוניינים.	Low
Food & Beverage	האם מסעדות מלון The Jaffa פתוחות גם לאורחים שאינם לנים במלון?	כן, המסעדות מקבלות סועדים חיצוניים בכפוף להזמנה מראש ולתפוסה. [VERIFY]	Medium
Food & Beverage	האם צוות הקולינריה של מלון The Jaffa מספק שירותי קייטרינג לאירועים ב-The Chapel?	כן, צוות המלון מספק קייטרינג מותאם אישית לכל אירוע הנערך ב-The Chapel. [VERIFY]	Low
Policies & Terms	מהן שעות הצ'ק-אין והצ'ק-אאוט הסטנדרטיות במלון The Jaffa?	צ'ק-אין החל מ-15:00, צ'ק-אאוט עד 12:00 בצהריים.	High
Policies & Terms	האם מלון The Jaffa מאפשר צ'ק-אין מוקדם או צ'ק-אאוט מאוחר וכפוף לזמינות?	כן, הגעה מוקדמת או עזיבה מאוחרת אפשרית על בסיס זמינות ובתשלום נוסף.	High
Policies & Terms	מהי מדיניות הביטול של מלון The Jaffa להזמנות גמישות?	ביטול ללא חיוב אפשרי עד מועד שתואר בעת ההזמנה; תנאים מדויקים משתנים לפי סוג התעריף.	High
Policies & Terms	האם מלון The Jaffa מאפשר שהיית חיות מחמד או כלבי שירות בלבד?	לא, חיות מחמד אינן מורשות, אך כלבי שירות מתקבלים בהתאם לחוק.	High
Policies & Terms	מהו הגיל המינימלי לביצוע צ'ק-אין במלון The Jaffa?	הגיל המינימלי לצ'ק-אין הוא 18 שנים, עם הצגת תעודה מזהה.	Medium
Policies & Terms	האם ילדים עד גיל 12 שוהים ללא תוספת תשלום במלון The Jaffa כאשר משתמשים במיטות קיימות?	כן, ילדים עד 12 יכולים לשהות ללא חיוב נוסף במיטות הקיימות בחדר ההורים.	Medium
Policies & Terms	האם תושבי ישראל מחויבים בתשלום מע״מ בעת שהייה במלון The Jaffa?	כן, אזרחים ותושבי ישראל מחויבים במע״מ בהתאם לחוק המקומי.	Medium
Policies & Terms	האם החניה במלון The Jaffa כרוכה בתשלום יומי ומהו התעריף?	כן, חניה תת-קרקעית רובוטית זמינה בעלות 85 ₪ ליום, בכפוף לזמינות.	High
Policies & Terms	אילו אמצעי תשלום מקבל מלון The Jaffa בעת הצ'ק-אין?	המלון מקבל כרטיסי אשראי AmEx, Visa, MasterCard, Diners, Discover וכן מזומן בשקלים.	Medium
