Category	Question	Answer	Frequency Level
General Information	מהו מודל האירוח של מלון יו קורל ביץ' קלאב אילת – האם זהו מלון אולטרה הכול כלול?	כן, המלון פועל במתכונת אולטרה-הכול-כלול הכוללת חמש ארוחות, משקאות ופעילויות ללא תשלום נוסף.	High
General Information	האם מלון יו קורל ביץ' קלאב אילת מציע אינטרנט אלחוטי חינם בכל רחבי המלון?	כן, אינטרנט אלחוטי מהיר וחינמי זמין בכל החדרים והאזורים הציבוריים.	High
General Information	האם דלפק הקבלה של מלון יו קורל ביץ' קלאב אילת פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש ומעניק שירות לאורחים במשך 24 שעות ביממה.	Medium
General Information	מהם זמני הצ'ק-אין והצ'ק-אאוט במלון יו קורל ביץ' קלאב אילת?	צ'ק-אין החל מ-15:00, ובשבתות וחגים לאחר 18:00; צ'ק-אאוט עד 11:00 בבוקר.	High
General Information	האם במלון יו קורל ביץ' קלאב אילת קיימים חדרים ושירותים נגישים לאורחים עם מוגבלויות?	כן, קיימים חדרים נגישים, מעליות, חניות נגישות ושירותים מותאמים לאורחים עם מוגבלויות.	Medium
General Information	האם במלון יו קורל ביץ' קלאב אילת עומדת לרשות האורחים חניה, והאם היא ללא תשלום?	כן, חניה פרטית בשטח המלון מוצעת ללא תשלום וללא צורך בהזמנה מוקדמת.	High
General Information	כמה חדרים כוללים מתקני מלון יו קורל ביץ' קלאב אילת?	המלון כולל 282 חדרים וסוויטות בקטגוריות שונות.	Low
General Information	האם מלון יו קורל ביץ' קלאב אילת מתאים לאירוח משפחות עם ילדים בכל הגילאים?	כן, התפיסה המשפחתית מודגשת עם מועדוני ילדים, פעילויות יומיות ושירות Welcome Baby לתינוקות.	High
General Information	אילו שפות מדברים אנשי הצוות במלון יו קורל ביץ' קלאב אילת?	אנשי הצוות מדברים עברית, אנגלית, ערבית, רוסית, צרפתית וספרדית באופן שוטף ומסביר פנים.	Medium
Accommodation & Room Services	אילו סוגי חדרים וסוויטות זמינים במלון יו קורל ביץ' קלאב אילת?	היצע החדרים כולל U סופריור, חדר משפחה, ג'וניור סוויטה משפחתית, דלקס טאוור, דלקס טאוור פונה לים, סוויטת רויאל וחדר U סופריור עם בריכה פרטית.	High
Accommodation & Room Services	האם חדרי מלון יו קורל ביץ' קלאב אילת כוללים מיני-בר?	כן, בכל החדרים מוצב מיני-בר מצויד לרווחת האורחים.	High
Accommodation & Room Services	האם בחדרי מלון יו קורל ביץ' קלאב אילת יש אפשרות להכנת קפה ותה?	מידע זה אינו מפורט במקורות המאושרים ועל כן נדרש אימות. [VERIFY]	Medium
Accommodation & Room Services	האם ניתן להזמין חדרים הפונים לים או לבריכה במלון יו קורל ביץ' קלאב אילת?	כן, קטגוריית דלקס טאוור פונה לים וחלק מהחדרים משקיפים לבריכה על פי זמינות.	Medium
Accommodation & Room Services	האם קיימים חדרים מחוברים למשפחות גדולות במלון יו קורל ביץ' קלאב אילת?	כן, בחלק מהקטגוריות קיימת אפשרות לחדרים מחוברים המוזמנים מראש.	Low
Accommodation & Room Services	האם מלון יו קורל ביץ' קלאב אילת מספק מיטות תינוק, ומהי העלות?	כן, ניתן להזמין לול תינוק בעלות ‎₪55 ללילה בכפוף לזמינות.	High
Accommodation & Room Services	האם כל חדרי מלון יו קורל ביץ' קלאב אילת ממוזגים וכוללים Wi-Fi ללא תשלום?	כן, כל החדרים ממוזגים ומחוברים לרשת Wi-Fi חינמית.	High
Accommodation & Room Services	האם בחדרי מלון יו קורל ביץ' קלאב אילת יש כספת אישית ומוצרי טיפוח חינמיים?	כן, בכל חדר מותקנת כספת אישית ומסופקים מוצרי טיפוח ללא תוספת תשלום.	Medium
Accommodation & Room Services	מהי התפוסה המרבית של חדר המשפחה במלון יו קורל ביץ' קלאב אילת?	חדר המשפחה מיועד לשני מבוגרים ושני ילדים – עד ארבעה אורחים. [VERIFY]	Low
Food & Beverage	כמה ארוחות ביום כלולות בחבילת האולטרה הכול כלול של מלון יו קורל ביץ' קלאב אילת?	החבילה כוללת חמש ארוחות מגוונות ביום, מן הבוקר ועד חצות.	High
