Category	Question	Answer	Frequency Level
General Information	Does Leonardo Oranje Hotel Leeuwarden provide free high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public spaces.	High
General Information	Is the reception at Leonardo Oranje Hotel Leeuwarden staffed 24 hours a day?	Yes, the front desk is manned around the clock for late-night arrivals and any urgent assistance.	High
General Information	How many guestrooms are available at Leonardo Oranje Hotel Leeuwarden?	The property features 78 stylish, non-smoking guestrooms and suites.	Medium
General Information	Is Leonardo Oranje Hotel Leeuwarden a completely non-smoking property?	Yes, the entire interior of the hotel is strictly non-smoking.	High
General Information	Does Leonardo Oranje Hotel Leeuwarden offer facilities that are accessible for guests with reduced mobility?	Yes, step-free access, lifts and adapted rooms ensure comfort for guests with reduced mobility.	High
General Information	Is Leonardo Oranje Hotel Leeuwarden certified by Green Key or another sustainability program?	Yes, the hotel holds Green Key certification for its verified eco-friendly operations.	Medium
General Information	Can guests store their luggage at Leonardo Oranje Hotel Leeuwarden before check-in or after check-out?	Yes, secure luggage storage is available free of charge for early arrivals and late departures.	Medium
General Information	Does Leonardo Oranje Hotel Leeuwarden provide multilingual staff at the front desk?	Yes, reception staff speak Dutch, English and German, assisting international travellers with ease.	Medium
Accommodation & Room Services	Are the guestrooms at Leonardo Oranje Hotel Leeuwarden equipped with individual air-conditioning and heating controls?	Yes, every room offers individually controlled air-conditioning and heating for personalised comfort.	High
Accommodation & Room Services	Does every room at Leonardo Oranje Hotel Leeuwarden include a minibar or small refrigerator?	Yes, each guestroom contains a stocked minibar or refrigerator for refreshments.	Medium
Accommodation & Room Services	Are tea- and coffee-making facilities provided in the rooms at Leonardo Oranje Hotel Leeuwarden?	Yes, complimentary espresso or kettle facilities with tea and coffee are placed in all rooms.	Medium
Accommodation & Room Services	Does Leonardo Oranje Hotel Leeuwarden supply complimentary toiletries and bathrobes in all bathrooms?	Yes, premium bath amenities and soft bathrobes are provided at no extra cost in every bathroom.	Medium
Accommodation & Room Services	Can guests request a room with a private balcony at Leonardo Oranje Hotel Leeuwarden?	Yes, a limited number of rooms feature a private furnished balcony and can be pre-requested.	Medium
Accommodation & Room Services	Does Leonardo Oranje Hotel Leeuwarden offer hypo-allergenic bedding or extra pillows on request?	Yes, hypo-allergenic bedding and additional pillows are available upon request for sensitive sleepers.	Low
Accommodation & Room Services	Is 24-hour room service available at Leonardo Oranje Hotel Leeuwarden?	Yes, round-the-clock room service delivers meals, snacks and drinks at any hour.	Medium
Accommodation & Room Services	Are laundry and dry-cleaning services provided by Leonardo Oranje Hotel Leeuwarden, including same-day service?	Yes, professional laundry and same-day dry-cleaning can be arranged through housekeeping.	High
Food & Beverage	Does Leonardo Oranje Hotel Leeuwarden serve a daily breakfast buffet?	Yes, an extensive buffet breakfast is prepared fresh every morning in the restaurant.	High
Food & Beverage	What are the weekday and weekend breakfast hours at Leonardo Oranje Hotel Leeuwarden?	Breakfast is served Monday–Friday 07:00–10:30 and Saturday–Sunday 07:00–11:00.	Medium
Food & Beverage	Does Leonardo Oranje Hotel Leeuwarden cater for vegetarian or vegan dietary requirements?	Yes, the kitchen gladly prepares vegetarian and vegan dishes when notified in advance.	Medium
Food & Beverage	Are gluten-free breakfast options available at Leonardo Oranje Hotel Leeuwarden on request?	Yes, gluten-free breads and cereals are provided on request at the breakfast buffet.	Medium
Food & Beverage	Does Leonardo Oranje Hotel Leeuwarden feature an on-site bar or lounge for drinks and light snacks?	Yes, a cosy lobby bar offers cocktails, coffees and light bites throughout the day.	High
Food & Beverage	Is room-service dining, including breakfast-in-room, offered at Leonardo Oranje Hotel Leeuwarden?	Yes, full dining and breakfast-in-room are available through the room-service menu.	Medium
Food & Beverage	Does the bar at Leonardo Oranje Hotel Leeuwarden include a terrace for al-fresco service when weather permits?	Yes, the bar opens onto a sunny terrace for open-air drinks whenever weather allows.	Low
Food & Beverage	Can children dine free of charge or with a reduced-price menu at Leonardo Oranje Hotel Leeuwarden’s restaurant?	Information is currently not available. [VERIFY]	Low
Policies & Terms	What is the standard check-in time at Leonardo Oranje Hotel Leeuwarden?	Check-in begins at 15:00.	High
Policies & Terms	What is the standard check-out time at Leonardo Oranje Hotel Leeuwarden?	Check-out is required by 12:00 noon.	High
Policies & Terms	Does Leonardo Oranje Hotel Leeuwarden offer express or private check-in and check-out services?	Yes, express and private check-in/check-out can be arranged through the reception team.	Medium
Policies & Terms	What is the flexible-rate cancellation policy at Leonardo Oranje Hotel Leeuwarden?	Flexible bookings may be cancelled without charge up to 24 hours before the scheduled arrival. [VERIFY]	High
Policies & Terms	Does Leonardo Oranje Hotel Leeuwarden allow pets to stay, and is there an additional nightly fee?	Yes, pets are welcome on request for a supplement of €20 per night.	High
Policies & Terms	What is the minimum age requirement for check-in at Leonardo Oranje Hotel Leeuwarden?	The lead guest must be at least 18 years old to check in.	Medium
Policies & Terms	Does Leonardo Oranje Hotel Leeuwarden provide baggage storage for early arrivals or late departures?	Yes, complimentary baggage storage is available before arrival or after departure. [duplicate]	Medium
Policies & Terms	Are special group booking conditions applicable when reserving more than five rooms at Leonardo Oranje Hotel Leeuwarden?	Yes, reservations of more than eight rooms are subject to separate group terms and conditions.	Low
Location & Transportation	How many minutes’ walk is Leonardo Oranje Hotel Leeuwarden from Leeuwarden Central Station?	It is roughly a 2-minute walk, about 170 metres, from the station entrance.	High
Location & Transportation	Is on-site private parking available at Leonardo Oranje Hotel Leeuwarden, and what is the nightly charge?	Yes, secure on-site garage parking is offered for €15 per night, subject to availability.	High
Location & Transportation	Does Leonardo Oranje Hotel Leeuwarden have electric-vehicle charging stations in its car park?	Yes, dedicated electric-vehicle charging points are installed in the garage.	Medium
Location & Transportation	Is a shuttle or complimentary pick-up service from Leeuwarden railway station provided by Leonardo Oranje Hotel Leeuwarden?	Yes, a complimentary pick-up from Leeuwarden Station can be arranged when arrival details are provided in advance.	Medium
Location & Transportation	What is the typical travel time from Leonardo Oranje Hotel Leeuwarden to Amsterdam Schiphol Airport by car?	The journey normally takes around 1 hour 45 minutes, depending on traffic conditions.	Low
Location & Transportation	Can guests rent bicycles directly from Leonardo Oranje Hotel Leeuwarden to explore the city?	Yes, the front desk arranges bicycle hire through a nearby partner, with swift delivery.	High
Location & Transportation	Does Leonardo Oranje Hotel Leeuwarden offer assistance with taxi or car-hire arrangements?	Yes, the concierge is pleased to book taxis or organise car-hire services on request.	Medium
Location & Transportation	Is Leonardo Oranje Hotel Leeuwarden within walking distance of the Fries Museum and the Oldehove Tower?	Yes, the Fries Museum is about a 5-minute walk and the Oldehove Tower about 10 minutes on foot.	Medium
Activities & Entertainment	Does Leonardo Oranje Hotel Leeuwarden arrange guided walking tours of Leeuwarden’s historic centre?	Yes, guided walking tours of the old town can be organised by the concierge for an additional fee.	Medium
Activities & Entertainment	Can guests hire bicycles on site at Leonardo Oranje Hotel Leeuwarden for cycling day-trips?	Yes, bicycles can be hired through reception for city rides or full-day excursions.	High
Activities & Entertainment	Is there a golf course within a short distance of Leonardo Oranje Hotel Leeuwarden, and can the concierge assist with tee-time bookings?	Yes, a nearby golf course is within easy reach, and the concierge will arrange tee-time reservations.	Low
Activities & Entertainment	Does Leonardo Oranje Hotel Leeuwarden feature an outdoor sun terrace where guests can relax?	Yes, guests may unwind on the outdoor sun terrace adjoining the lounge and bar.	Medium
Activities & Entertainment	Are board games or puzzles available for children and families staying at Leonardo Oranje Hotel Leeuwarden?	Yes, complimentary board games and puzzles can be borrowed from reception for family entertainment.	Low
Activities & Entertainment	Can Leonardo Oranje Hotel Leeuwarden’s concierge provide cycling route maps and local sightseeing tips?	Yes, the concierge offers detailed cycling maps and personalised sightseeing recommendations free of charge.	Medium
Activities & Entertainment	Does Leonardo Oranje Hotel Leeuwarden offer bike-and-stay packages or special cycling promotions?	Information is currently not available. [VERIFY]	Low
Activities & Entertainment	Are private meeting or event spaces at Leonardo Oranje Hotel Leeuwarden suitable for social celebrations as well as business conferences?	Yes, versatile event rooms with natural daylight adapt easily to business meetings or festive celebrations.	Medium
