Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Dublin Christchurch provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Hotel Dublin Christchurch staffed 24 hours a day?	Yes, the reception desk is staffed around the clock to assist guests at any hour.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Dublin Christchurch?	Check-in begins at 15:00, while check-out is required by 11:00.	High
General Information	How many guest rooms does Leonardo Hotel Dublin Christchurch offer?	The property comprises 182 contemporary guest rooms across multiple categories.	Medium
General Information	Are family rooms available at Leonardo Hotel Dublin Christchurch?	Yes, spacious dedicated family rooms accommodating parents with children can be reserved.	Medium
General Information	Does Leonardo Hotel Dublin Christchurch offer accessible rooms and facilities for guests with reduced mobility?	Yes, fully accessible guestrooms and step-free public areas are available upon request.	Medium
General Information	Is Leonardo Hotel Dublin Christchurch a completely non-smoking hotel?	Yes, the entire hotel operates a strict non-smoking policy in all areas.	Medium
General Information	Does Leonardo Hotel Dublin Christchurch employ multilingual team members at reception?	Yes, reception includes multilingual staff able to assist international travellers courteously.	Low
General Information	Has Leonardo Hotel Dublin Christchurch been awarded a sustainability accreditation such as the Gold Green Tourism Badge?	Yes, the hotel proudly holds the Gold Green Tourism Badge for sustainability.	Medium
Accommodation & Room Services	Which room categories are available at Leonardo Hotel Dublin Christchurch (double, twin, super-king, executive, family)?	Available categories include Standard Double, Twin, Super-King, Executive Super-King, and Family rooms.	Medium
Accommodation & Room Services	Do guestrooms at Leonardo Hotel Dublin Christchurch include in-room tea and coffee-making facilities?	Yes, every room features an electric kettle and a Nespresso or tea-coffee dock.	High
Accommodation & Room Services	Can guests request complimentary baby cots or infant beds at Leonardo Hotel Dublin Christchurch?	Yes, complimentary baby cots or infant beds can be provided on prior request.	Low
Accommodation & Room Services	Are complimentary toiletries provided in every en-suite bathroom at Leonardo Hotel Dublin Christchurch?	Yes, en-suite bathrooms are stocked with complimentary spa-inspired toiletries and fluffy towels.	Medium
Accommodation & Room Services	Does Leonardo Hotel Dublin Christchurch offer a laundry and dry-cleaning service for in-house guests?	Yes, same-day laundry and professional dry-cleaning services are offered for in-house guests.	Medium
Accommodation & Room Services	What are the daily room-service operating hours at Leonardo Hotel Dublin Christchurch?	Currently, room-service is available for breakfast 07:00–10:00 and for meals until 21:30.	Low
Accommodation & Room Services	Do executive rooms at Leonardo Hotel Dublin Christchurch feature super-king beds, 55″ televisions and Nespresso machines?	Yes, Executive rooms include a super-king DREAM bed, 55-inch casting TV and Nespresso machine.	Low
Accommodation & Room Services	Are portable fans or individual climate-control units available in the rooms at Leonardo Hotel Dublin Christchurch?	Yes, portable fans and in-room heating provide individual climate comfort when required.	Low
Accommodation & Room Services	Is free bottled water and an electric kettle provided in all rooms at Leonardo Hotel Dublin Christchurch?	Yes, complimentary bottled mineral water and an electric kettle are provided in all rooms.	Low
Food & Beverage	What time is breakfast served at Leonardo Hotel Dublin Christchurch on weekdays and at weekends?	Breakfast is served 06:45–10:30 Monday–Friday and 07:00–11:00 on weekends and public holidays.	High
Food & Beverage	Does Leonardo Hotel Dublin Christchurch offer a full buffet breakfast, and is there a supplementary charge?	Yes, a full hot and cold buffet breakfast is offered daily for a supplemental fee.	High
Food & Beverage	Does the Bar & Grill at Leonardo Hotel Dublin Christchurch provide an all-day dining menu?	Yes, the Bar & Grill presents an informal all-day dining menu from noon onward.	Medium
Food & Beverage	What are the opening hours of the Bar at Leonardo Hotel Dublin Christchurch from Sunday to Thursday and on weekends?	The bar pours drinks Sunday–Thursday 08:00–01:30 and Friday–Saturday 09:00–01:30.	Medium
Food & Beverage	Does Leonardo Hotel Dublin Christchurch offer room-service breakfast between 07:00 and 10:00?	Yes, freshly prepared breakfast can be delivered to guestrooms between 07:00 and 10:00.	Medium
Food & Beverage	Are vegetarian, vegan or other special dietary options available at the restaurants of Leonardo Hotel Dublin Christchurch?	Yes, vegetarian, vegan and allergen-aware options are available at both buffet and restaurant.	Medium
Food & Beverage	Until what time are dinner orders accepted at the restaurant in Leonardo Hotel Dublin Christchurch?	Dinner orders are accepted in the restaurant until 21:30 nightly.	Low
