Category	Question	Answer	Frequency Level
General Information	Does NYX Hotel Edinburgh provide complimentary Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is available in all areas. The hotel ensures guests can stay connected both in rooms and public spaces.	High
General Information	What are the standard check-in and check-out times at NYX Hotel Edinburgh?	Currently, check-in begins at 3:00 PM, and check-out is generally at 11:00 AM. The hotel follows these hours to offer a smooth transition between guest stays.	High
General Information	Is the front desk at NYX Hotel Edinburgh open 24 hours a day?	Yes, the reception desk operates 24 hours a day. The staff is always on hand to assist with arrivals, departures, and any needs in between.	High
General Information	Does NYX Hotel Edinburgh offer any accessible facilities or rooms for guests with disabilities?	Yes, accessible rooms and facilities are provided. The hotel has features such as wheelchair-friendly entrances and adapted bathrooms to support guests with mobility needs.	Medium
General Information	Has NYX Hotel Edinburgh staff been trained to provide assistance in multiple languages?	Yes, many team members speak more than one language. The hotel aims to assist international travelers and ensure seamless communication.	Medium
General Information	Is there on-site parking available at NYX Hotel Edinburgh?	No, the property does not feature on-site parking. The staff can recommend nearby public or partner car parks for guest convenience.	High
General Information	Does NYX Hotel Edinburgh have dedicated spaces for hosting meetings or events?	Yes, the hotel offers well-equipped event spaces suitable for meetings and gatherings. The events team can tailor arrangements to guest requirements.	Medium
General Information	Are families with children welcome at NYX Hotel Edinburgh?	Yes, families are warmly welcomed. The hotel provides a comfortable environment and can assist with extra bedding or cribs if needed.	High
General Information	Does NYX Hotel Edinburgh display contemporary artwork from local Edinburgh artists in its public areas?	Yes, the hotel proudly showcases modern pieces by local artists in common areas. These displays highlight the city’s creative energy.	Low
Accommodation & Room Services	What types of rooms does NYX Hotel Edinburgh offer, and how do they differ in size and amenities?	The hotel provides various room categories, each with unique design features, differing layouts, and upgraded amenities to suit individual preferences.	High
Accommodation & Room Services	Does NYX Hotel Edinburgh provide air conditioning and heating in every room?	Yes, all rooms include both air conditioning and heating. Guests can adjust settings to maintain a comfortable environment throughout the year.	High
Accommodation & Room Services	Is there a minibar or small refrigerator in each room at NYX Hotel Edinburgh?	Yes, each room is equipped with a small fridge or minibar. Guests can store personal items or enjoy in-room beverages at their convenience.	Medium
Accommodation & Room Services	Does NYX Hotel Edinburgh offer tea and coffee-making facilities in all guest rooms?	Yes, tea and coffee-making facilities are provided in every room. A selection of complimentary refreshments is available for guests.	High
Accommodation & Room Services	Are iron and ironing board available upon request at NYX Hotel Edinburgh?	Yes, an iron and ironing board can be requested from housekeeping. The staff promptly delivers them to guest rooms when needed.	Medium
Accommodation & Room Services	Does NYX Hotel Edinburgh supply complimentary toiletries and hairdryers in the bathrooms?	Yes, each bathroom is stocked with complimentary toiletries and equipped with a hairdryer. The hotel ensures guests have essential amenities.	High
Accommodation & Room Services	Is there 24-hour room service at NYX Hotel Edinburgh?	Yes, room service is offered around the clock. Guests may order meals and snacks at any time.	High
Accommodation & Room Services	Does NYX Hotel Edinburgh provide hypoallergenic pillows or bedding if requested?	Yes, hypoallergenic items are available by request. The team works to accommodate special bedding needs for guest comfort.	Medium
Accommodation & Room Services	Can guests at NYX Hotel Edinburgh request special decor for celebrations such as birthdays or anniversaries?	Yes, staff can arrange festive decor to celebrate special occasions. Guests are encouraged to notify the hotel in advance.	Low
Food & Beverage	Does NYX Hotel Edinburgh serve a buffet breakfast, and what are the usual serving hours?	Yes, a buffet breakfast is served daily. Typically, it is available from 7:00 AM to 10:00 AM on weekdays and slightly later on weekends.	High
Food & Beverage	Are vegetarian and vegan breakfast options offered at NYX Hotel Edinburgh?	Yes, a range of vegetarian and vegan selections are included on the breakfast menu. The culinary team also accommodates special requests where possible.	High
Food & Beverage	Does NYX Hotel Edinburgh have a signature rooftop bar with views of Edinburgh?	No, there is currently no rooftop bar. The property features a lively lounge area for socializing and enjoying cocktails.	Medium
Food & Beverage	Are guests not staying at NYX Hotel Edinburgh allowed to visit the bar or lounge?	Yes, non-residents are welcome to experience the bar and lounge. The venue invites both guests and locals to enjoy the atmosphere.	Medium
Food & Beverage	Does NYX Hotel Edinburgh accommodate gluten-free meal requests?	Yes, the kitchen can prepare gluten-free options. Guests are encouraged to notify staff in advance of any dietary needs.	Medium
Food & Beverage	Are late-night snacks available through room service at NYX Hotel Edinburgh?	Yes, select late-night snacks can be ordered through room service. This option helps those arriving late or seeking after-hours refreshments.	Medium
Food & Beverage	Does NYX Hotel Edinburgh provide family-friendly dining with a children’s menu?	Yes, a children’s menu is available. The culinary team ensures juniors have appealing choices for an enjoyable family meal.	High
Food & Beverage	Are afternoon tea or special themed tea events offered at NYX Hotel Edinburgh?	No, a formal afternoon tea service is not regularly offered. The lounge may occasionally host themed events. [VERIFY]	Low
Food & Beverage	Does NYX Hotel Edinburgh host any mixology or cocktail masterclasses for guests?	Information currently not available. [VERIFY]	Low
Policies & Terms	Does NYX Hotel Edinburgh offer express check-in and check-out services?	Yes, express check-in and check-out services are available. The front desk team aims to simplify arrivals and departures.	High
Policies & Terms	Is there a security deposit or pre-authorisation required at NYX Hotel Edinburgh?	Yes, a credit card pre-authorisation is typically taken at check-in. This helps cover incidentals and any room charges.	High
Policies & Terms	Does NYX Hotel Edinburgh allow pets, and if so, are there any special rules or fees?	Information currently not available. [VERIFY]	Medium
Policies & Terms	What is the smoking policy at NYX Hotel Edinburgh, including any designated smoking areas?	Smoking is prohibited throughout the interior, and designated outdoor areas are available for those who smoke.	Medium
Policies & Terms	What is NYX Hotel Edinburgh’s cancellation policy for standard reservations?	Currently, standard reservations often include free cancellation if done within a specified window. Exact terms may vary. [VERIFY]	High
Policies & Terms	Can guests store baggage at NYX Hotel Edinburgh before check-in or after check-out?	Yes, luggage storage is provided. The staff will secure belongings for guests arriving early or leaving later in the day.	High
Policies & Terms	Is there a minimum age requirement for check-in at NYX Hotel Edinburgh?	Yes, guests must typically be 18 or older to check in. A valid photo ID is required upon arrival.	Medium
Policies & Terms	Does NYX Hotel Edinburgh allow early check-in or late check-out, and are there additional charges?	Yes, early check-in and late check-out may be possible, subject to availability. Additional fees could apply.	Medium
Policies & Terms	What are the terms for group bookings at NYX Hotel Edinburgh?	Group accommodations are arranged on a case-by-case basis. The sales department provides specific rates and conditions upon request.	Low
Location & Transportation	Where is NYX Hotel Edinburgh located in relation to popular attractions such as Edinburgh Castle or the Royal Mile?	The hotel is close to major landmarks like Edinburgh Castle and the Royal Mile, making it convenient for guests to explore these iconic sites on foot or by short transit.	High
Location & Transportation	How far is NYX Hotel Edinburgh from Edinburgh Waverley or Haymarket train station?	It is roughly a 15- to 20-minute walk from Waverley and about 10 minutes by taxi from Haymarket. The actual time may vary with traffic. [VERIFY]	High
Location & Transportation	Are airport transfers or shuttle services provided by NYX Hotel Edinburgh?	No, the hotel does not currently operate an airport shuttle. The front desk can arrange taxis or private transfers upon request.	High
Location & Transportation	Is NYX Hotel Edinburgh within walking distance of key tourist destinations?	Yes, the property is within easy walking distance of several popular spots. Guests can easily explore much of the city on foot.	High
Location & Transportation	Does NYX Hotel Edinburgh assist with taxi or car-hire services?	Yes, the staff can book taxis and recommend reputable car-hire providers to suit guest plans.	Medium
Location & Transportation	Are there convenient public transportation options near NYX Hotel Edinburgh?	Yes, the area is served by multiple bus routes and is near train stations. This allows guests to access various parts of the city efficiently.	Medium
Location & Transportation	How can guests at NYX Hotel Edinburgh reach the airport if no official shuttle is available?	Guests may use taxis, trams, or buses for airport transfers. The front desk offers timetables and assistance with travel arrangements.	Medium
Location & Transportation	Is there a designated drop-off area for coach tours at NYX Hotel Edinburgh?	Information currently not available. [VERIFY]	Low
Location & Transportation	Does NYX Hotel Edinburgh provide parking facilities or partnerships with nearby parking lots?	Currently, the hotel does not operate its own car park but has partnerships with nearby parking providers. Guests can inquire at reception for details. [VERIFY]	Medium
Activities & Entertainment	Does NYX Hotel Edinburgh feature a vibrant lounge or bar area hosting DJ nights or live music?	Yes, the hotel boasts a lively lounge with regular DJ nights. Guests can enjoy energetic music and a social atmosphere.	High
Activities & Entertainment	Is there an indoor swimming pool at NYX Hotel Edinburgh, and are children allowed to use it?	Information currently not available. [VERIFY]	Medium
Activities & Entertainment	Does NYX Hotel Edinburgh provide any spa or massage treatments?	Information currently not available. [VERIFY]	Medium
Activities & Entertainment	Are fitness classes or personal training sessions offered at NYX Hotel Edinburgh?	Information currently not available. [VERIFY]	Low
Activities & Entertainment	Does NYX Hotel Edinburgh have a sauna or steam room for guest use?	Information currently not available. [VERIFY]	Medium
Activities & Entertainment	Are there any guided city tours organized by NYX Hotel Edinburgh focusing on Edinburgh's art scene?	No, the hotel does not typically host official guided tours. However, the concierge can recommend local art tours. [VERIFY]	Medium
Activities & Entertainment	Does NYX Hotel Edinburgh offer special packages for attending local festivals or events?	Yes, the hotel sometimes features seasonal packages that include exclusive rates or amenities during local festivities. [VERIFY]	Medium
Activities & Entertainment	Can guests at NYX Hotel Edinburgh enjoy rooftop views of the city if there is a terrace?	Information currently not available. [VERIFY]	High
Activities & Entertainment	Are guests able to book private event spaces at NYX Hotel Edinburgh for parties or receptions?	Yes, private event spaces can be reserved for social functions. The events team is ready to assist with planning and setup.	Low
