Category	Question	Answer	Frequency Level
General Information	What star classification does The g Hotel hold?	It is officially rated as a luxurious 5-star property by Fáilte Ireland.	High
General Information	How many guestrooms and suites are available at The g Hotel?	The hotel offers 101 spacious guestrooms and suites in a variety of categories.	High
General Information	What are the official check-in and check-out times at The g Hotel?	Check-in begins at 3:30 pm, while check-out is requested by 12:00 pm midday.	High
General Information	Does The g Hotel provide complimentary high-speed Wi-Fi throughout the property?	Yes, high-speed Wi-Fi is free of charge in all rooms and public areas.	High
General Information	Is reception at The g Hotel staffed 24 hours a day?	Yes, the front-desk and concierge team are on duty around the clock.	High
General Information	Does The g Hotel employ multilingual staff to assist international guests?	Yes, team members speak English, Spanish and French to assist international travellers.	Low
General Information	Does The g Hotel participate in a recognised sustainability or eco-certification programme?	Yes, the property holds a Silver Green Tourism Badge for sustainable practices.	Medium
General Information	Was The g Hotel designed by the world-renowned milliner Philip Treacy?	Yes, the hotel’s dramatic interiors were created by celebrated Irish designer Philip Treacy.	Medium
General Information	Does The g Hotel offer complimentary on-site parking for residents?	Yes, residents enjoy free underground parking with lift access to reception.	High
Accommodation & Room Services	Are guestrooms at The g Hotel equipped with individually controlled air-conditioning and heating?	Yes, every room features air-conditioning and a wall thermostat for personalised climate control.	High
Accommodation & Room Services	Does every room at The g Hotel feature tea- and coffee-making facilities?	Yes, complimentary tea and coffee-making amenities are provided in all accommodations.	Medium
Accommodation & Room Services	Are fully stocked minibars provided in rooms at The g Hotel?	No, rooms contain an empty mini-fridge but no pre-stocked minibar service.	High
Accommodation & Room Services	Does The g Hotel supply complimentary ESPA toiletries, bathrobes and slippers in all bathrooms?	Yes, bathrooms are stocked with ESPA toiletries and include plush robes and slippers gratis.	Medium
Accommodation & Room Services	Can guests request hypo-allergenic bedding or extra pillows at The g Hotel?	Yes, hypo-allergenic bedding, extra pillows or duvets can be requested through housekeeping.	Low
Accommodation & Room Services	Does The g Hotel offer 24-hour in-room dining service?	Yes, in-room dining is available day and night, with separate daytime and overnight menus.	High
Accommodation & Room Services	Is in-room streaming (such as Netflix) available on televisions at The g Hotel?	Yes, smart TVs support personal streaming services, including Netflix login functionality.	Medium
Accommodation & Room Services	Are ironing boards and irons provided in rooms or on request at The g Hotel?	Yes, a steam iron and full-size ironing board are standard in every guestroom.	Medium
Accommodation & Room Services	Are blackout drapes and sound-proofing features standard in rooms at The g Hotel?	Yes, guestrooms include blackout curtains and sound-proofed construction to ensure restful sleep.	Low
Food & Beverage	Does The g Hotel serve a daily full Irish breakfast, and is it included in certain room rates?	Yes, a generous Full Irish breakfast is served each morning and is included with selected packages.	High
Food & Beverage	What are the usual breakfast service hours at The g Hotel?	Breakfast is served 7:00 am–11:00 am on weekdays and 7:30 am–12:00 pm at weekends.	Medium
Food & Beverage	Does the GEO restaurant at The g Hotel serve lunch and dinner to both residents and non-residents?	Yes, GEO welcomes both hotel guests and visitors for lunch and evening dinner service.	High
Food & Beverage	Are vegetarian, vegan and gluten-free menu choices available at The g Hotel?	Yes, the culinary team gladly prepares vegetarian, vegan and gluten-free dishes on request.	High
Food & Beverage	Does The g Hotel provide a dedicated children’s menu in its restaurant or lounges?	Yes, a varied children’s menu is offered in the restaurant and Signature Lounges.	Medium
Food & Beverage	Is traditional afternoon tea available at The g Hotel, and how can guests reserve it?	Yes, afternoon tea is served 1:00 pm–4:00 pm daily; advance booking via phone or website is recommended.	Medium
Food & Beverage	Does The g Hotel feature an in-house cocktail bar within its Signature Lounges?	Yes, an elegant cocktail bar operates within the hotel’s distinctive Signature Lounges.	High
Food & Beverage	Are non-resident guests welcome to dine or enjoy drinks at The g Hotel’s venues?	Yes, non-resident patrons are warmly welcomed for dining, afternoon tea or drinks.	Low
