Category	Question	Answer	Frequency Level
General Information	Does Leonardo Boutique Hotel San Sebastián provide complimentary high-speed Wi-Fi throughout the property?	Yes, complimentary high-speed Wi-Fi is available in all guestrooms and public areas.	High
General Information	Is the front desk at Leonardo Boutique Hotel San Sebastián staffed 24 hours a day?	Yes, the reception desk operates around the clock, ensuring assistance is always available.	High
General Information	What are the official check-in and check-out times at Leonardo Boutique Hotel San Sebastián?	Check-in begins at 3:00 pm, while check-out is required by 12:00 noon.	High
General Information	How many guestrooms does Leonardo Boutique Hotel San Sebastián offer?	The boutique property houses 27 elegantly appointed guestrooms and suites.	Low
General Information	Is Leonardo Boutique Hotel San Sebastián a 100 % non-smoking hotel?	Yes, the entire building is designated non-smoking, including rooms and common areas.	High
General Information	Does Leonardo Boutique Hotel San Sebastián have multilingual staff available to assist international guests?	Yes, the team includes multilingual staff who communicate fluently in English and Spanish.	Medium
General Information	Is there an on-site elevator at Leonardo Boutique Hotel San Sebastián for easy access to upper floors?	Yes, a modern elevator provides effortless access to all guestroom floors.	Medium
General Information	Does Leonardo Boutique Hotel San Sebastián offer concierge or guest-assistance services?	Yes, dedicated concierge services are available to arrange tours, dining and transport needs.	Medium
General Information	Are fax or photocopying facilities available at Leonardo Boutique Hotel San Sebastián for business travellers?	Yes, fax and photocopying services can be arranged through the reception team.	Low
Accommodation & Room Services	Are all guestrooms at Leonardo Boutique Hotel San Sebastián fully air-conditioned?	Yes, every guestroom features individually controlled air-conditioning for year-round comfort.	High
Accommodation & Room Services	Do rooms at Leonardo Boutique Hotel San Sebastián feature soundproofing and blackout curtains for restful sleep?	Yes, guestrooms include sound-insulated walls and blackout curtains to ensure undisturbed rest.	Medium
Accommodation & Room Services	Does every room at Leonardo Boutique Hotel San Sebastián include a private en-suite bathroom with a rainfall shower?	Yes, each room has a private bathroom equipped with a rainfall walk-in shower.	Low
Accommodation & Room Services	Are flat-screen televisions with digital or satellite channels provided in all rooms at Leonardo Boutique Hotel San Sebastián?	Yes, all accommodations are fitted with large flat-screen TVs offering digital channels.	High
Accommodation & Room Services	Does Leonardo Boutique Hotel San Sebastián supply complimentary toiletries in the bathrooms?	Yes, indulgent complimentary toiletries are provided and replenished by housekeeping.	Low
Accommodation & Room Services	Are baby cots or cribs available on request at Leonardo Boutique Hotel San Sebastián?	Yes, complimentary baby cots can be provided upon prior request and availability.	Low
Accommodation & Room Services	Are dedicated work desks provided in all rooms at Leonardo Boutique Hotel San Sebastián?	Yes, each guestroom includes a practical work desk with convenient lighting.	Medium
Accommodation & Room Services	Does Leonardo Boutique Hotel San Sebastián offer daily housekeeping and linen service?	Yes, attentive daily housekeeping refreshes linens and towels for every stay.	Low
Accommodation & Room Services	Are select rooms at Leonardo Boutique Hotel San Sebastián available with landmark or mountain views?	Yes, certain categories afford inspiring views of city landmarks or surrounding mountains.	Low
Food & Beverage	Does Leonardo Boutique Hotel San Sebastián serve a daily buffet breakfast on site?	Yes, a generous Basque-inspired buffet breakfast is served each morning in-house.	High
Food & Beverage	What are the breakfast service hours at Leonardo Boutique Hotel San Sebastián on weekdays and weekends?	Breakfast is served 7:30 am–10:30 am Monday-Friday and 7:30 am–11:00 am on weekends.	Medium
Food & Beverage	Does the breakfast at Leonardo Boutique Hotel San Sebastián include vegetarian or plant-based options?	Yes, an appealing selection of vegetarian and plant-based dishes is presented daily.	Low
Food & Beverage	Are gluten-free items available upon request at the breakfast buffet of Leonardo Boutique Hotel San Sebastián?	Yes, gluten-free alternatives are readily available; guests may advise staff when ordering.	Medium
Food & Beverage	Does Leonardo Boutique Hotel San Sebastián prioritise locally sourced Basque ingredients for its breakfast selection?	Yes, the culinary team highlights fresh, locally sourced Basque produce throughout the buffet.	Low
