Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Madrid City Center provide complimentary high-speed Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is provided throughout all guest areas and rooms.	High
General Information	Is the front desk at Leonardo Hotel Madrid City Center staffed 24 hours a day?	Yes, the reception is staffed around the clock for arrivals at any hour.	High
General Information	How many guest rooms are available at Leonardo Hotel Madrid City Center?	The property offers 153 contemporary guest rooms across Comfort, Superior and Deluxe categories.	Medium
General Information	Does Leonardo Hotel Madrid City Center have multilingual staff to assist international guests?	Yes, multilingual team members speak Spanish and English and assist international visitors with ease.	Medium
General Information	Is Leonardo Hotel Madrid City Center a fully non-smoking property?	Yes, it operates as a fully non-smoking hotel with smoke-free rooms and public areas.	High
General Information	Does Leonardo Hotel Madrid City Center offer on-site private parking for guests?	Yes, secure on-site outdoor and underground parking spaces are available for guests.	High
General Information	What is the daily charge for parking at Leonardo Hotel Madrid City Center?	Parking is currently priced at €25.30 per vehicle, per day.	High
General Information	Are accessible rooms and facilities available at Leonardo Hotel Madrid City Center for guests with reduced mobility?	Yes, four specially adapted rooms and step-free accessible facilities are available.	High
General Information	Are purpose-built meeting and conference spaces available at Leonardo Hotel Madrid City Center?	Yes, two purpose-built meeting rooms with modern AV technology can be reserved.	Medium
Accommodation & Room Services	Do guest rooms at Leonardo Hotel Madrid City Center feature individual air-conditioning and heating controls?	Yes, every room features individually controlled air-conditioning and heating for personal comfort.	High
Accommodation & Room Services	Is a mini-refrigerator included in every room at Leonardo Hotel Madrid City Center?	Yes, a compact refrigerator is provided in all guest rooms.	High
Accommodation & Room Services	Are coffee- and tea-making facilities provided in the rooms at Leonardo Hotel Madrid City Center?	Yes, rooms include a coffee/tea maker with complimentary supplies for convenience.	High
Accommodation & Room Services	Does Leonardo Hotel Madrid City Center supply complimentary toiletries in every bathroom?	Yes, bathrooms are stocked with free branded toiletries refreshed by housekeeping.	High
Accommodation & Room Services	Are baby cots available on request at Leonardo Hotel Madrid City Center?	Yes, complimentary baby cots are available on request, subject to availability.	Medium
Accommodation & Room Services	Are work desks and flat-screen TVs standard amenities in all rooms at Leonardo Hotel Madrid City Center?	Yes, all rooms provide a dedicated work desk and large flat-screen television.	Medium
Accommodation & Room Services	Do some rooms at Leonardo Hotel Madrid City Center offer views over Calle de Alberto Aguilera?	Yes, selected rooms offer pleasant city views onto Calle de Alberto Aguilera.	Low
Accommodation & Room Services	Is daily housekeeping service provided for every room at Leonardo Hotel Madrid City Center?	Yes, thorough daily housekeeping service is provided to every occupied room.	High
Accommodation & Room Services	Does Leonardo Hotel Madrid City Center offer a laundry or dry-cleaning service for guests?	Yes, professional same-day laundry and dry-cleaning services can be arranged.	Medium
Food & Beverage	Does Leonardo Hotel Madrid City Center serve a daily buffet breakfast?	Yes, a generous hot-and-cold buffet breakfast is served each morning.	High
