Category	Question	Answer	Frequency Level
General Information	האם מלון הרודס פאלאס אילת מעמיד לרשות האורחים אינטרנט אלחוטי חינמי בכל שטחי המלון?	כן, אינטרנט אלחוטי מהיר וחינמי נגיש בכל החדרים והמרחבים הציבוריים ללא הגבלת זמן.	High
General Information	האם דלפק הקבלה במלון הרודס פאלאס אילת פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24⁄7 ומספק סיוע אדיב בכל עת למבקרים.	High
General Information	האם מלון הרודס פאלאס אילת מותאם לאירוח משפחות עם ילדים בכל הגילאים?	כן, המתחם מציע חדרי משפחה, מועדוני ילדים ופעוטות ופעילויות בידור יומיות מותאמות לכל גיל.	High
General Information	האם במלון הרודס פאלאס אילת קיימים מתקנים ונגישות לאורחים עם מוגבלויות?	כן, קיימות מעליות, שבילי גישה, חניות וכמה חדרים נגישים המוזמנים מראש בהתאם לצורך.	High
General Information	האם צוות מלון הרודס פאלאס אילת דובר שפות מרובות כגון עברית, אנגלית, רוסית וערבית?	כן, הצוות רב-לשוני וכולל דוברי עברית, אנגלית, רוסית, ערבית ועוד שפות אירופאיות.	Medium
General Information	האם במלון הרודס פאלאס אילת קיימת חניה פרטית במקום ומהו התעריף היומי?	כן, חניון פאלאס ללא תשלום על בסיס מקום פנוי וחניון בוטיק סמוך בעלות ‎₪35 ליום.	High
General Information	האם מלון הרודס פאלאס אילת מציע עמדת טעינה לרכבים חשמליים בחניון?	כן, יש עמדת טעינה ייעודית בתשלום באמצעות אפליקציה חיצונית בחניון המלון.	High
General Information	האם למלון הרודס פאלאס אילת גישה ישירה לחוף ים פרטי?	כן, שביל פנימי מוביל ישירות מחצר המלון אל חוף הים הפרטי הצמוד.	High
General Information	האם מלון הרודס פאלאס אילת כולל מרכז עסקים וחדרי ישיבות לאירועים וכנסים?	כן, קומת העסקים מציעה טרקלין SKY, חדרי ישיבות ואולמות כנסים מאובזרים טכנולוגית.	Medium
Accommodation & Room Services	האם בכל חדרי מלון הרודס פאלאס אילת קיימים מיני-בר או מקרר קטן לשימוש האורחים?	כן, כל יחידות האירוח מצוידות במיני-בר מקורר לרשות האורחים לאורך השהייה.	High
Accommodation & Room Services	האם חדרי מלון הרודס פאלאס אילת מצוידים בקומקום להכנת תה וקפה?	כן, ברוב החדרים ממתינים קומקום, שקיות תה וקפה נמס לשימוש חופשי. [VERIFY]	Medium
