Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Zurich Airport provide complimentary Wi-Fi throughout the hotel?	Yes, complimentary high-speed Wi-Fi is available throughout all guestrooms, lobby areas and function spaces.	High
General Information	Is the front desk at Leonardo Hotel Zurich Airport staffed 24 hours a day?	Yes, the reception desk is staffed around the clock, ensuring 24-hour assistance for all arriving and departing guests.	High
General Information	What are the official check-in and check-out times at Leonardo Hotel Zurich Airport?	Check-in officially begins at 3:00 pm, while check-out is required by 12:00 noon on the day of departure.	High
General Information	How many guest rooms does Leonardo Hotel Zurich Airport offer and in which year was the property opened?	The property features 116 contemporary guest rooms and first welcomed guests in March 2020.	Medium
General Information	Does Leonardo Hotel Zurich Airport have multilingual staff to assist international guests?	Yes, multilingual team members are on duty to assist international travellers in several widely spoken languages.	Medium
General Information	Are dedicated co-working spaces available in the lobby of Leonardo Hotel Zurich Airport?	Yes, stylish “Rooms by Leonardo” co-working zones are integrated within the lobby for productive guest work sessions.	Medium
General Information	What is the Hotelstars Union rating of Leonardo Hotel Zurich Airport?	The property holds an official four-star classification awarded by Hotelstars Union.	Low
General Information	Does Leonardo Hotel Zurich Airport operate on a cash-free payment basis?	Yes, all on-site transactions are cash-free, with major credit and digital cards accepted for payment.	Low
Accommodation & Room Services	Are guestrooms at Leonardo Hotel Zurich Airport equipped with individual air-conditioning and heating controls?	No, guestrooms use an eco-friendly centrally managed air-conditioning and heating system rather than individual controls.	High
Accommodation & Room Services	Do all rooms at Leonardo Hotel Zurich Airport include an in-room espresso maker or coffee machine?	Yes, every guest room is equipped with an espresso coffee machine for complimentary in-room hot beverages.	High
Accommodation & Room Services	Is a fully stocked minibar provided in every room at Leonardo Hotel Zurich Airport?	Yes, a stocked minibar offering chilled beverages and light snacks is provided in each guest room.	High
Accommodation & Room Services	Do bathrooms at Leonardo Hotel Zurich Airport feature rainfall showers and complimentary toiletries?	Yes, bathrooms feature walk-in rainfall showers complemented by premium complimentary toiletries for guest convenience.	High
Accommodation & Room Services	Are the windows and walls of Leonardo Hotel Zurich Airport rooms soundproofed for quiet rest?	Yes, rooms are fully sound-insulated with double-glazed windows, ensuring a peaceful, aircraft-noise-free sleep environment.	Medium
Accommodation & Room Services	Are blackout drapes or curtains standard in all rooms at Leonardo Hotel Zurich Airport?	Yes, blackout drapes are installed in every room, allowing guests complete control over external light.	Medium
Accommodation & Room Services	Does Leonardo Hotel Zurich Airport offer daily housekeeping as well as laundry and dry-cleaning services?	Yes, daily housekeeping is included and professional laundry and dry-cleaning services can be arranged promptly on request.	High
Accommodation & Room Services	Is limited room service available at Leonardo Hotel Zurich Airport, and during what hours can it be ordered?	Yes, limited room service is available during evening dining hours, generally between 17:00 and 22:00. [VERIFY]	Low
Food & Beverage	Does Leonardo Hotel Zurich Airport serve a daily buffet breakfast, and what are the usual service hours?	Yes, a generous buffet breakfast is served every morning from 6:00 am until 10:30 am.	High
Food & Beverage	Is the on-site restaurant at Leonardo Hotel Zurich Airport open for dinner service to hotel guests?	Yes, the restaurant normally serves dinner daily, with the kitchen operating from 5:00 pm to 10:00 pm.	High
Food & Beverage	Does Leonardo Hotel Zurich Airport accommodate vegetarian or vegan dietary preferences in its restaurant menus?	Yes, vegetarian and vegan dishes are clearly marked and readily available on the restaurant’s menus.	Medium
