Category	Question	Answer	Frequency Level
General Information	Does Leonardo Hotel Dortmund offer free Wi-Fi throughout the property?	Yes, complimentary Wi-Fi is provided throughout the property.	High
General Information	Does Leonardo Hotel Dortmund have a 24-hour front desk service?	Yes, a 24-hour front desk is available.	High
General Information	What are the check-in and check-out times at Leonardo Hotel Dortmund?	Check-in is from 15:00, and check-out is until 12:00.	High
General Information	Is there on-site parking available at Leonardo Hotel Dortmund, and is there a fee?	Yes, on-site parking is available for a daily fee.	High
General Information	Does Leonardo Hotel Dortmund provide multilingual staff for international guests?	Yes, multilingual staff are on hand to assist international visitors.	Medium
General Information	Is Leonardo Hotel Dortmund accessible for guests with limited mobility?	Yes, the premises are equipped with accessible facilities, including suitable guestrooms.	Medium
General Information	Does Leonardo Hotel Dortmund have an elevator for accessing guest floors?	Yes, an elevator is available to access all guest floors.	Low
General Information	Does Leonardo Hotel Dortmund offer luggage storage for early arrivals or late departures?	Yes, luggage storage is provided for guests arriving before check-in or departing after check-out.	Medium
Accommodation & Room Services	What types of rooms does Leonardo Hotel Dortmund offer to guests?	Comfort, Superior, and Suite accommodations are available.	High
Accommodation & Room Services	Do all rooms at Leonardo Hotel Dortmund include air conditioning?	Yes, air conditioning is featured in every room.	High
Accommodation & Room Services	Does Leonardo Hotel Dortmund provide tea and coffee-making facilities in each room?	Yes, tea and coffee-making facilities are supplied in all guestrooms.	High
Accommodation & Room Services	Are hairdryers and complimentary toiletries available in every guestroom at Leonardo Hotel Dortmund?	Yes, each room is equipped with a hairdryer and complimentary toiletries.	Medium
Accommodation & Room Services	Does Leonardo Hotel Dortmund offer in-room dining or room service?	Yes, in-room dining with room service is offered.	High
Accommodation & Room Services	Does Leonardo Hotel Dortmund provide a safety deposit box in each accommodation?	Yes, a safety deposit box is included in all rooms.	Medium
Accommodation & Room Services	Are there any hypoallergenic or special bedding options at Leonardo Hotel Dortmund?	Yes, hypoallergenic bedding is available upon request.	Medium
Accommodation & Room Services	Can guests request extra pillows at Leonardo Hotel Dortmund if needed?	Yes, additional pillows can be requested from housekeeping.	Low
Food & Beverage	Does Leonardo Hotel Dortmund serve a daily buffet breakfast?	Yes, a daily buffet breakfast is served.	High
Food & Beverage	What are the breakfast hours at Leonardo Hotel Dortmund?	Breakfast is usually served from 6:30 to 10:30 on weekdays and from 7:00 to 11:00 on weekends.	High
Food & Beverage	Does Leonardo Hotel Dortmund offer vegetarian or vegan menu options?	Yes, vegetarian and vegan choices are available on request.	Medium
Food & Beverage	Can Leonardo Hotel Dortmund accommodate guests with special dietary requirements, such as gluten-free meals?	Yes, special dietary requests, including gluten-free meals, can be arranged with advance notice.	Medium
Food & Beverage	Does Leonardo Hotel Dortmund have a bar on-site?	Yes, there is an on-site bar.	High
Food & Beverage	Are children welcome to dine at the restaurant within Leonardo Hotel Dortmund?	Yes, children are welcome to dine when accompanied by an adult.	Medium
Food & Beverage	Does Leonardo Hotel Dortmund offer Sunday brunch or themed dining events?	Information is currently not available. [VERIFY].	Low
Food & Beverage	Does Leonardo Hotel Dortmund offer room service for late-night snacks?	Yes, room service is available, but late-night hours may be limited. [VERIFY].	Low
Policies & Terms	What is the pet policy at Leonardo Hotel Dortmund?	Pets are welcome for an additional fee.	High
Policies & Terms	Is smoking allowed at Leonardo Hotel Dortmund?	No, smoking is not permitted in any rooms or public areas.	High
Policies & Terms	Does Leonardo Hotel Dortmund have a minimum age requirement for check-in?	Yes, guests must be at least 18 years old to check in.	Medium
Policies & Terms	What is the cancellation policy at Leonardo Hotel Dortmund?	Cancellation options vary by rate category; flexible bookings generally allow free cancellation before a specified deadline.	High
Policies & Terms	Does Leonardo Hotel Dortmund offer free cancellation on all room rates?	No, free cancellation is not included with all rates; some are non-refundable.	Medium
Policies & Terms	Are express check-in or check-out services available at Leonardo Hotel Dortmund?	Information is currently not available. [VERIFY].	Low
Policies & Terms	Can guests request early check-in or late check-out at Leonardo Hotel Dortmund?	Yes, early check-in and late check-out may be arranged subject to availability and an additional charge.	High
Policies & Terms	Does Leonardo Hotel Dortmund require a security deposit upon arrival?	Information is currently not available. [VERIFY].	Medium
Location & Transportation	Is Leonardo Hotel Dortmund located near the city center?	Yes, it is situated close to the city center, within walking distance of main attractions.	High
Location & Transportation	How far is Leonardo Hotel Dortmund from Dortmund Central Station?	It is around 700 meters away, which is about a 10-minute walk.	High
