Category	Question	Answer	Frequency Level
General Information	האם מלון לאונרדו פלאזה חיפה מציע חיבור Wi-Fi אלחוטי חינם בכל רחבי המלון?	כן, חיבור Wi-Fi מהיר וחינמי זמין בכל החדרים, הטרקלינים והשטחים הציבוריים ללא תשלום נוסף.	High
General Information	מהן שעות הצ’ק-אין והצ’ק-אאוט הסטנדרטיות במלון לאונרדו פלאזה חיפה?	צ’ק-אין בימים א׳-ו׳ החל מ-15:00 (שבת וחגים מ-18:00), וצ’ק-אאוט עד 11:00 בימים א׳-ו׳ או עד 16:00 בשבתות וחגים.	High
General Information	האם דלפק הקבלה של מלון לאונרדו פלאזה חיפה פעיל 24 שעות ביממה?	כן, דלפק הקבלה מאויש 24 שעות ביממה ומספק סיוע אדיב בכל צורך של האורחים.	High
General Information	האם מלון לאונרדו פלאזה חיפה מתאים למשפחות ומציע מתקנים לילדים?	כן, המלון ידידותי למשפחות ומציע מועדון ילדים, בריכת פעוטות וחבילת Welcome Baby ללא תשלום.	High
General Information	האם במלון לאונרדו פלאזה חיפה קיימות תשתיות נגישות וחדרים מותאמים לאורחים עם מוגבלויות?	כן, קיימים חדרים נגישים, חניות ייעודיות, מעליות וגישה נוחה לבריכה ולמסעדה עבור אורחים עם מוגבלויות.	High
General Information	האם במלון לאונרדו פלאזה חיפה קיימת חניה במקום, ומהי עלות השירות?	כן, חניה תת-קרקעית זמינה במלון בעלות של כ-35 ש״ח ליום, בכפוף לזמינות.	High
General Information	האם מלון לאונרדו פלאזה חיפה מפעיל מרכז כנסים וטרקלין עסקים עבור אורחי עסקים?	כן, במלון מרכז כנסים מודרני וטרקלין עסקים עם נוף לים, אינטרנט מהיר וכיבוד קל.	Medium
General Information	האם צוות מלון לאונרדו פלאזה חיפה מעניק שירות במספר שפות לאורחים בינלאומיים?	כן, הצוות דובר עברית ואנגלית ומשתדל לסייע גם בשפות נוספות על-פי הצורך.	Medium
General Information	האם בבית-הכנסת של מלון לאונרדו פלאזה חיפה מתקיימות תפילות בסופי-שבוע?	כן, בבית-הכנסת שבמלון מתקיימות תפילות שבת עבור האורחים השומרי מסורת.	Low
Accommodation & Room Services	אילו סוגי חדרים וסוויטות זמינים במלון לאונרדו פלאזה חיפה?	סוגי החדרים כוללים Superior, Superior Balcony, Superior Sea View, Executive, Junior Suite, Deluxe Suite ועוד סוויטות יוקרתיות.	High
Accommodation & Room Services	האם כל חדר במלון לאונרדו פלאזה חיפה מצויד בערכה להכנת קפה ותה?	כן, בכל חדר ממתינה ערכה איכותית להכנת קפה ותה עם קומקום וסט כוסות.	High
Accommodation & Room Services	האם חדרי מלון לאונרדו פלאזה חיפה כוללים מיני-בר או מקרר קטן לשימוש האורחים?	כן, רוב החדרים מצוידים במיני-בר או מקרר קטן לשמירת משקאות וחטיפים.	Medium
Accommodation & Room Services	האם ניתן להזמין חדר או סוויטה במלון לאונרדו פלאזה חיפה עם מרפסת ונוף מלא לים?	כן, ניתן להזמין חדרים וסוויטות עם מרפסת פרטית ונוף ים מרהיב אל הים התיכון.	Medium
Accommodation & Room Services	האם מלון לאונרדו פלאזה חיפה מספק חבילת Welcome Baby ועריסות לתינוקות ללא תשלום?	כן, חבילת Welcome Baby הכוללת עריסה, אמבט תינוק וציוד נוסף ניתנת ללא תשלום בהזמנה מראש.	Low
Accommodation & Room Services	באילו שעות ניתן להזמין שירות חדרים במלון לאונרדו פלאזה חיפה?	שירות החדרים פעיל מדי יום בין 10:00 ל-22:00 להזמנת מאכלים ומשקאות לחדר.	Medium
Accommodation & Room Services	האם במלון לאונרדו פלאזה חיפה מסופקים מייבשי שיער, חלוקים ומוצרי טיפוח יוקרתיים בכל חדר?	כן, בכל חדר יש מייבש שיער, חלוקים רכים ומוצרי טיפוח איכותיים לרשות האורחים.	High
Accommodation & Room Services	האם מלון לאונרדו פלאזה חיפה מציע שירותי כביסה וגיהוץ בתשלום?	כן, שירותי כביסה, ניקוי יבש וגיהוץ זמינים בתשלום ומבוצעים באיסוף ישיר מהחדר.	Medium
